Date,Open,High,Low,Close,Volume
2020-11-26,10.0,14.695,7.851,14.055,68475.48
2020-11-27,14.239,16.449,10.819,12.33,38995.79
2020-11-28,12.248,14.491,11.8,13.6,13643.72
2020-11-29,13.48,15.936,12.774,15.595,35619.36
2020-11-30,15.595,20.463,15.595,18.765,79586.57
2020-12-01,18.7,19.905,15.729,17.856,40859.67
2020-12-02,17.67,25.152,16.74,22.41,61993.38
2020-12-03,22.328,26.242,20.136,24.939,80318.81
2020-12-04,24.962,25.575,18.63,19.591,69464.3
2020-12-05,19.55,26.076,18.9,26.03,66366.01
2020-12-06,25.715,26.124,19.8,21.65,63577.54
2020-12-07,21.741,26.099,21.001,23.447,55030.53
2020-12-08,23.318,23.729,16.2,17.465,106929.81
2020-12-09,17.2,19.829,15.097,18.342,250443.62
2020-12-10,18.342,18.597,15.764,16.0,81026.86
2020-12-11,15.99,17.283,13.089,14.891,327192.46
2020-12-12,14.891,17.596,14.891,16.153,84406.9
2020-12-13,16.276,20.319,15.773,19.7,73419.17
2020-12-14,19.475,24.799,16.962,21.113,126338.77
2020-12-15,21.307,22.928,19.813,21.737,65428.17
2020-12-16,21.616,23.303,17.283,21.766,67750.69
2020-12-17,21.918,23.724,18.494,20.001,57139.27
2020-12-18,20.006,23.529,17.761,23.529,36534.01
2020-12-19,23.534,27.76,21.6,22.101,88609.23
2020-12-20,22.245,22.245,18.517,19.584,82763.99
2020-12-21,19.58,20.73,15.378,16.866,66800.85
2020-12-22,17.023,19.149,14.555,18.355,70773.33
2020-12-23,18.435,18.489,9.16,14.459,76851.41
2020-12-24,14.535,16.704,12.654,16.704,82721.66
2020-12-25,16.735,16.953,15.128,16.279,33373.15
2020-12-26,16.2,16.32,14.548,14.883,25061.69
2020-12-27,14.946,16.9,14.063,15.397,32884.54
2020-12-28,15.39,18.198,15.181,16.911,43877.79
2020-12-29,16.939,17.194,14.519,15.604,26383.93
2020-12-30,15.605,18.055,15.24,16.535,32526.43
2020-12-31,16.513,19.41,15.501,19.278,39960.13
2021-01-01,19.278,20.192,17.842,20.174,32331.31
2021-01-02,20.2,20.669,16.794,18.2,26909.66
2021-01-03,18.2,21.82,16.446,21.272,38084.53
2021-01-04,21.272,27.909,18.293,27.655,111725.87
