Date,Open,High,Low,Close,Volume
2020-10-15,51.43,59.0,42.747,42.999,98648.87
2020-10-16,43.017,43.8,39.092,39.461,90836.412
2020-10-17,39.371,43.235,38.206,41.365,41971.143
2020-10-18,41.359,41.425,39.428,40.75,30917.953
2020-10-19,40.82,41.0,35.912,35.98,86475.936
2020-10-20,36.0,36.403,32.0,32.16,202653.504
2020-10-21,32.186,37.145,32.0,35.073,145648.768
2020-10-22,35.033,40.379,33.266,37.836,154369.978
2020-10-23,37.911,42.658,36.998,41.681,190627.951
2020-10-24,41.681,42.63,38.502,39.437,102431.608
2020-10-25,39.438,41.0,37.2,37.895,74622.933
2020-10-26,37.893,39.192,34.855,35.95,95472.309
2020-10-27,35.968,39.001,34.373,34.869,178571.486
2020-10-28,34.935,35.67,32.0,32.422,144227.574
2020-10-29,32.427,33.23,28.124,29.244,175965.908
2020-10-30,29.178,32.0,27.73,31.087,180251.719
2020-10-31,31.087,32.938,29.515,29.7,113411.559
2020-11-01,29.737,31.124,28.2,30.757,83150.52
2020-11-02,30.703,34.485,29.13,29.724,179642.325
2020-11-03,29.723,30.075,27.424,28.122,84414.77
2020-11-04,28.142,28.444,26.065,27.686,81620.589
2020-11-05,27.752,33.0,25.939,30.995,222270.509
2020-11-06,30.997,41.0,30.843,38.65,375996.381
2020-11-07,38.555,51.9,38.341,44.529,489983.21
2020-11-08,44.426,54.9,42.606,53.931,361623.58
2020-11-09,53.95,59.094,49.45,55.113,563452.114
2020-11-10,55.191,70.825,52.822,66.988,555485.003
2020-11-11,67.066,69.26,53.295,54.437,673820.577
2020-11-12,54.521,60.0,50.4,51.794,441454.103
2020-11-13,51.759,66.888,51.045,63.456,676038.281
2020-11-14,63.456,68.874,57.794,66.83,451967.266
2020-11-15,66.855,71.414,58.766,64.256,492772.891
2020-11-16,64.251,74.5,60.903,72.975,451995.496
2020-11-17,72.958,80.0,68.515,79.263,470703.668
2020-11-18,79.262,79.999,67.02,75.15,434314.725
2020-11-19,75.187,81.445,70.27,76.28,447059.089
2020-11-20,76.381,82.48,74.36,74.945,348080.239
2020-11-21,74.968,77.199,67.678,70.487,380532.672
2020-11-22,70.488,74.918,62.929,68.811,361693.248
2020-11-23,68.762,74.0,65.47,72.323,319425.103
2020-11-24,72.398,75.5,66.058,66.782,313765.237
2020-11-25,66.783,67.588,59.091,61.724,233074.563
2020-11-26,61.658,65.22,50.0,64.211,665069.421
2020-11-27,64.333,69.16,56.22,60.802,351791.304
2020-11-28,60.804,66.426,58.776,63.944,177631.843
2020-11-29,63.924,69.8,61.805,68.886,209866.303
2020-11-30,68.954,79.939,68.936,76.0,474161.163
2020-12-01,76.027,79.0,69.2,74.3,336342.681
2020-12-02,74.355,90.89,71.601,86.647,570704.936
2020-12-03,86.654,94.875,82.961,91.558,402175.915
2020-12-04,91.538,94.0,79.2,80.679,360257.707
2020-12-05,80.803,92.888,79.332,92.714,299675.807
2020-12-06,92.714,92.99,84.6,87.838,213076.066
2020-12-07,87.905,95.0,86.635,90.688,305654.067
2020-12-08,90.75,91.257,77.732,80.068,453341.44
2020-12-09,80.047,86.14,74.634,82.57,389196.455
2020-12-10,82.577,83.046,75.7,76.324,256332.506
2020-12-11,76.532,80.053,70.564,74.646,361608.813
2020-12-12,74.674,80.279,74.57,77.838,220629.477
2020-12-13,77.771,85.0,76.595,83.929,257884.945
2020-12-14,83.933,91.78,79.584,86.295,374587.776
2020-12-15,86.417,88.945,84.24,87.068,276144.376
2020-12-16,87.124,89.813,80.1,87.542,421722.347
2020-12-17,87.488,90.0,82.8,85.034,352813.409
2020-12-18,84.99,90.5,81.743,90.424,201038.938
2020-12-19,90.371,96.329,88.0,88.983,358830.652
2020-12-20,88.931,90.014,83.738,85.629,303379.643
2020-12-21,85.574,87.791,77.465,80.757,216921.794
2020-12-22,80.846,86.85,75.66,84.33,196557.306
2020-12-23,84.321,84.498,63.021,75.718,290937.503
2020-12-24,75.771,80.692,71.101,80.665,246810.94
2020-12-25,80.664,81.9,75.845,79.658,133486.946
2020-12-26,79.77,79.95,73.778,75.055,145347.577
2020-12-27,75.066,82.052,72.649,76.751,239273.934
2020-12-28,76.762,85.987,76.007,81.833,211680.819
2020-12-29,81.8,82.999,75.0,78.136,144129.278
2020-12-30,78.122,86.0,77.134,81.0,219116.313
2020-12-31,81.0,88.587,78.25,88.48,199212.074
2021-01-01,88.35,90.832,84.645,90.711,193634.035
2021-01-02,90.827,91.99,82.473,85.768,199756.529
2021-01-03,85.754,95.0,81.291,93.778,290702.541
2021-01-04,93.789,115.522,86.01,114.271,658257.708
2021-01-05,114.231,123.962,98.41,119.689,517557.043
2021-01-06,119.686,120.5,107.752,115.191,303818.954
2021-01-07,115.309,129.0,107.89,114.823,409727.426
2021-01-08,114.999,119.37,100.0,110.481,302116.471
2021-01-09,110.721,119.219,105.918,117.479,230440.996
