Date,Open,High,Low,Close,Volume
2021-02-24,6.5,25.46,6.5,17.822,7770303.642
2021-02-25,17.909,22.348,14.199,14.23,4233207.047
2021-02-26,14.229,15.836,11.09,11.67,911976.817
2021-02-27,11.67,14.131,11.245,11.67,511822.131
2021-02-28,11.67,11.93,8.544,9.425,672712.465
2021-03-01,9.425,14.281,9.31,13.8,1444976.903
2021-03-02,13.799,14.558,11.62,12.112,551853.758
2021-03-03,12.062,13.1,11.669,12.317,294541.008
2021-03-04,12.284,12.764,10.431,10.787,226974.235
2021-03-05,10.787,10.862,10.0,10.637,133188.195
2021-03-06,10.567,11.863,10.336,10.649,171010.089
2021-03-07,10.689,11.466,10.57,10.99,155893.082
2021-03-08,10.993,11.187,10.443,10.621,122434.328
2021-03-09,10.671,13.285,10.565,11.013,553095.087
2021-03-10,11.014,19.146,10.6,12.859,1846949.281
2021-03-11,12.859,15.29,11.577,12.899,2073069.068
2021-03-12,12.899,13.8,11.641,13.031,772292.815
2021-03-13,13.113,17.775,12.85,15.0,1341399.136
2021-03-14,15.0,15.247,13.59,13.702,474189.477
2021-03-15,13.706,13.828,11.98,12.822,476231.306
2021-03-16,12.816,13.7,11.859,12.895,279788.764
2021-03-17,12.941,13.949,12.374,12.916,248539.465
2021-03-18,12.916,14.545,12.814,12.99,352479.459
2021-03-19,12.95,13.49,12.7,13.026,202771.733
2021-03-20,13.026,13.296,11.75,12.068,340503.122
2021-03-21,12.071,12.947,11.571,11.861,246997.026
2021-03-22,11.86,12.011,11.01,11.507,174031.646
2021-03-23,11.585,11.85,10.671,10.922,181093.195
2021-03-24,10.93,11.827,10.518,10.697,260335.52
2021-03-25,10.696,11.674,9.776,10.9,294770.688
2021-03-26,10.901,12.1,10.8,11.329,293200.811
2021-03-27,11.368,12.0,11.05,11.281,151557.158
2021-03-28,11.282,11.9,11.0,11.215,137977.155
2021-03-29,11.221,11.749,11.05,11.467,157751.439
2021-03-30,11.479,11.668,11.088,11.304,180968.186
2021-03-31,11.31,11.424,10.652,10.868,181059.877
2021-04-01,10.868,11.2,10.6,10.675,143185.548
2021-04-02,10.675,11.1,10.405,10.79,165053.038
2021-04-03,10.79,11.3,10.169,10.181,202299.552
2021-04-04,10.175,10.537,9.991,10.51,135991.165
2021-04-05,10.48,10.6,10.1,10.207,157585.994
2021-04-06,10.218,13.49,10.177,10.936,709507.508
2021-04-07,10.936,15.521,10.224,11.528,2127676.926
2021-04-08,11.532,12.422,10.93,11.281,542309.912
2021-04-09,11.275,11.51,10.945,11.04,224982.579
2021-04-10,11.039,11.641,10.8,10.955,235538.38
2021-04-11,10.974,12.3,10.593,11.198,351695.151
2021-04-12,11.191,13.391,11.097,11.934,730108.842
2021-04-13,11.934,13.486,11.35,12.034,471995.287
2021-04-14,12.021,12.288,11.496,11.701,209893.364
2021-04-15,11.744,12.513,11.718,12.032,181409.753
2021-04-16,12.034,12.066,11.146,11.601,178072.771
2021-04-17,11.598,11.83,11.2,11.355,145970.394
2021-04-18,11.375,11.559,9.924,10.3,232535.667
2021-04-19,10.328,10.8,9.28,10.012,168928.55
2021-04-20,10.033,11.401,9.323,10.742,349940.701
2021-04-21,10.74,11.499,10.4,10.694,224394.993
2021-04-22,10.698,12.356,10.092,10.76,573680.111
2021-04-23,10.758,11.3,8.853,9.814,472908.768
2021-04-24,9.797,10.129,9.324,9.755,106830.439
