Date,Open,High,Low,Close,Volume
2020-04-25,0.0856,0.0931,0.0809,0.0824,20036955.25
2020-04-26,0.0823,0.0865,0.0806,0.0818,12276548.56
2020-04-27,0.0819,0.0859,0.0768,0.0853,11240386.81
2020-04-28,0.0856,0.0872,0.0815,0.0822,12821591.82
2020-04-29,0.0826,0.0898,0.0819,0.0859,13730385.5
2020-04-30,0.0859,0.089,0.079,0.0817,12481226.64
2020-05-01,0.0819,0.0999,0.0816,0.0935,23166951.11
2020-05-02,0.0931,0.0936,0.088,0.0922,11275786.25
2020-05-03,0.0921,0.0925,0.0859,0.0867,13158379.95
2020-05-04,0.0868,0.0965,0.081,0.0941,17016075.87
2020-05-05,0.0941,0.097,0.088,0.0901,11810962.58
2020-05-06,0.0899,0.0914,0.0852,0.0855,11709051.32
2020-05-07,0.0855,0.0886,0.0843,0.0857,10004755.7
2020-05-08,0.0856,0.0951,0.0855,0.0923,12602065.0
2020-05-09,0.0922,0.0936,0.0888,0.0894,10397496.56
2020-05-10,0.0895,0.0895,0.0736,0.0778,12090727.03
2020-05-11,0.0778,0.0794,0.0711,0.0757,9668466.21
2020-05-12,0.0756,0.0826,0.0756,0.0814,8573178.38
2020-05-13,0.0815,0.0863,0.0796,0.0852,9442030.31
2020-05-14,0.0853,0.0865,0.0799,0.082,8407004.46
2020-05-15,0.0821,0.0859,0.08,0.081,9102193.83
2020-05-16,0.081,0.087,0.0804,0.0862,7855927.33
2020-05-17,0.0861,0.0863,0.0831,0.0833,9246012.51
2020-05-18,0.0833,0.0852,0.0825,0.0841,6424954.45
2020-05-19,0.0841,0.089,0.0833,0.087,9004063.14
2020-05-20,0.0872,0.0904,0.0835,0.0848,10659949.71
2020-05-21,0.0848,0.108,0.0788,0.0922,39741605.8
2020-05-22,0.0919,0.104,0.0905,0.0947,22417721.79
2020-05-23,0.0943,0.0974,0.0923,0.0933,10325564.57
2020-05-24,0.0933,0.099,0.0897,0.09,12134434.13
2020-05-25,0.09,0.1025,0.0879,0.1003,11657261.33
2020-05-26,0.1001,0.1013,0.0917,0.0957,9083536.5
2020-05-27,0.0956,0.1013,0.093,0.0939,9401681.35
2020-05-28,0.0939,0.0969,0.092,0.0941,7352636.38
2020-05-29,0.0942,0.0986,0.0937,0.0966,7506668.95
2020-05-30,0.0965,0.1009,0.0955,0.1002,8565131.36
2020-05-31,0.1001,0.107,0.0964,0.0979,12332013.87
2020-06-01,0.0978,0.1058,0.09,0.1021,10594903.39
2020-06-02,0.102,0.1188,0.0936,0.1072,17616194.21
2020-06-03,0.1072,0.1182,0.1059,0.1101,14113694.51
2020-06-04,0.1101,0.1158,0.1053,0.113,10171374.43
2020-06-05,0.1134,0.1243,0.1112,0.1119,10789667.65
2020-06-06,0.1118,0.1146,0.1088,0.1104,6744429.29
2020-06-07,0.1102,0.129,0.1089,0.1249,17151639.71
2020-06-08,0.1249,0.1338,0.1187,0.1244,12373972.7
2020-06-09,0.1245,0.131,0.12,0.1248,5847820.47
2020-06-10,0.1247,0.1339,0.12,0.1242,5413484.1
2020-06-11,0.1237,0.1294,0.1067,0.1081,7235106.22
2020-06-12,0.1081,0.1182,0.1062,0.1172,3492674.18
2020-06-13,0.1171,0.1177,0.1117,0.1142,2457108.41
2020-06-14,0.1144,0.1215,0.112,0.1145,3638541.58
2020-06-15,0.1144,0.1155,0.0972,0.1095,6769401.41
2020-06-16,0.1095,0.1109,0.106,0.1104,4937096.39
2020-06-17,0.1104,0.1175,0.1088,0.1134,6485621.48
2020-06-18,0.1135,0.1234,0.1104,0.1119,7859046.13
2020-06-19,0.112,0.1157,0.1067,0.1107,5290141.64
2020-06-20,0.1106,0.1112,0.1068,0.1086,4199327.49
2020-06-21,0.1086,0.1128,0.1075,0.1078,4525203.34
2020-06-22,0.1079,0.112,0.1072,0.1092,5228813.0
2020-06-23,0.1091,0.1121,0.1075,0.1088,5189592.44
2020-06-24,0.1088,0.1105,0.1029,0.1041,6440909.5
2020-06-25,0.1041,0.1048,0.0978,0.1006,7182757.06
2020-06-26,0.1007,0.1018,0.0953,0.0971,5174687.08
2020-06-27,0.0971,0.1044,0.0889,0.0903,7231893.61
2020-06-28,0.0903,0.0956,0.0885,0.0927,5478928.57
2020-06-29,0.0926,0.0946,0.0895,0.0932,6326820.25
2020-06-30,0.0932,0.1015,0.0919,0.0966,8404113.0
2020-07-01,0.0969,0.0983,0.0945,0.0961,3914859.59
2020-07-02,0.0961,0.0993,0.0926,0.0941,3086485.67
2020-07-03,0.0941,0.101,0.0937,0.0981,4493412.29
2020-07-04,0.0982,0.1043,0.097,0.0994,4611055.59
2020-07-05,0.0997,0.103,0.0953,0.0981,3614807.78
2020-07-06,0.0981,0.1039,0.0981,0.1012,4861662.43
2020-07-07,0.1015,0.1077,0.0998,0.1071,6173073.18
2020-07-08,0.1072,0.1142,0.1059,0.1117,7136431.98
2020-07-09,0.1117,0.113,0.1003,0.1049,7327924.44
2020-07-10,0.1053,0.1155,0.1019,0.112,9959010.31
2020-07-11,0.112,0.1221,0.1107,0.1192,11098356.97
2020-07-12,0.1193,0.1209,0.1113,0.1146,10167841.99
2020-07-13,0.1146,0.1185,0.1088,0.1098,10658339.25
2020-07-14,0.1098,0.114,0.1057,0.1125,8783036.41
2020-07-15,0.1125,0.1174,0.1113,0.1146,10016731.74
2020-07-16,0.1146,0.116,0.103,0.1084,9477971.54
2020-07-17,0.1082,0.1114,0.1069,0.1094,7178258.83
2020-07-18,0.1094,0.1109,0.107,0.1102,6229120.87
2020-07-19,0.1102,0.1223,0.1092,0.1192,15193189.88
2020-07-20,0.1188,0.1288,0.1121,0.1139,16292612.89
2020-07-21,0.1139,0.1225,0.1128,0.1171,8857647.62
2020-07-22,0.1169,0.1242,0.1156,0.1185,9702750.97
2020-07-23,0.1185,0.122,0.1137,0.1178,8361021.34
2020-07-24,0.1177,0.1198,0.1135,0.1158,7168356.59
2020-07-25,0.1158,0.1209,0.1127,0.1132,5994551.93
2020-07-26,0.1131,0.1151,0.1034,0.1088,7962229.59
2020-07-27,0.1085,0.1096,0.0956,0.0975,9274951.53
2020-07-28,0.0975,0.1058,0.0972,0.1057,8014564.59
2020-07-29,0.1056,0.1075,0.1007,0.1013,6422571.83
2020-07-30,0.1014,0.107,0.1013,0.1067,4924207.5
2020-07-31,0.1068,0.1071,0.1008,0.1022,6711618.3
2020-08-01,0.102,0.1041,0.1,0.1028,5479842.81
2020-08-02,0.1026,0.1054,0.0938,0.1025,7602892.68
2020-08-03,0.1026,0.1053,0.1011,0.103,6175955.79
2020-08-04,0.1031,0.1045,0.1016,0.1042,5072288.97
2020-08-05,0.1042,0.1064,0.1027,0.105,6611058.43
2020-08-06,0.105,0.1064,0.1021,0.1056,6612983.53
2020-08-07,0.1056,0.1169,0.1045,0.115,10799314.47
2020-08-08,0.1148,0.1182,0.1117,0.113,7821872.54
2020-08-09,0.1131,0.123,0.1126,0.1225,9688532.42
2020-08-10,0.1225,0.1347,0.1125,0.1268,18335805.22
2020-08-11,0.1268,0.1271,0.1118,0.1162,10110613.61
2020-08-12,0.1162,0.1261,0.1113,0.1207,10171073.18
2020-08-13,0.1207,0.1293,0.116,0.1231,10671111.05
2020-08-14,0.1233,0.131,0.1202,0.1275,6692217.12
2020-08-15,0.1276,0.1297,0.1199,0.1226,4491355.88
2020-08-16,0.1225,0.126,0.1185,0.1242,4715337.72
2020-08-17,0.1245,0.1345,0.1222,0.1262,12780321.05
2020-08-18,0.1262,0.1419,0.12,0.1367,15016001.51
2020-08-19,0.1368,0.1383,0.121,0.1262,11116583.23
2020-08-20,0.1265,0.1335,0.1264,0.1303,5134986.53
2020-08-21,0.1299,0.1489,0.129,0.142,18473680.17
2020-08-22,0.1421,0.1615,0.1325,0.1488,21793515.38
2020-08-23,0.1482,0.1489,0.1387,0.1411,9447896.83
2020-08-24,0.1411,0.16,0.1393,0.151,13495088.87
2020-08-25,0.1517,0.1536,0.1291,0.134,10362816.97
2020-08-26,0.1339,0.1429,0.1298,0.1337,7638448.56
2020-08-27,0.1337,0.1356,0.119,0.1236,6951769.72
2020-08-28,0.1238,0.1314,0.1202,0.1264,3877372.44
2020-08-29,0.1264,0.1309,0.125,0.129,3916767.81
2020-08-30,0.129,0.1469,0.128,0.1378,11859304.33
2020-08-31,0.1377,0.143,0.1303,0.1347,4603125.54
2020-09-01,0.1348,0.1495,0.1308,0.1385,11325130.73
2020-09-02,0.1382,0.1477,0.125,0.1293,5090166.65
2020-09-03,0.1292,0.1306,0.0954,0.0981,7791069.12
2020-09-04,0.0983,0.1073,0.0968,0.1029,4755083.18
2020-09-05,0.1028,0.1055,0.0875,0.0908,5981017.19
2020-09-06,0.0905,0.0974,0.0863,0.0954,3258280.48
2020-09-07,0.0956,0.0967,0.0871,0.0937,3136219.17
2020-09-08,0.094,0.0955,0.0893,0.0919,2083747.58
2020-09-09,0.0917,0.1,0.0904,0.0957,3134284.65
2020-09-10,0.0959,0.1139,0.0959,0.1099,9100477.15
2020-09-11,0.1107,0.1159,0.1025,0.1121,6447056.07
2020-09-12,0.1117,0.1157,0.1084,0.1095,3355103.13
2020-09-13,0.1095,0.114,0.098,0.1034,4266404.51
2020-09-14,0.1034,0.108,0.101,0.1038,1977421.52
2020-09-15,0.104,0.1183,0.0972,0.0975,8053999.83
2020-09-16,0.0977,0.0995,0.0927,0.0982,2654466.76
2020-09-17,0.0982,0.1,0.095,0.0985,2130441.2
2020-09-18,0.0987,0.0996,0.0887,0.0909,3267203.57
2020-09-19,0.0909,0.093,0.0902,0.0917,1549272.93
2020-09-20,0.0916,0.0939,0.0888,0.0912,1697394.11
2020-09-21,0.091,0.0925,0.0769,0.0817,4136125.27
2020-09-22,0.0817,0.0851,0.0793,0.0837,1971524.65
