Date,Open,High,Low,Close,Volume
2020-12-30,20.18,29.88,7.602,9.599,1012607.557
2020-12-31,9.599,10.322,6.86,6.97,214314.461
2021-01-01,6.927,7.503,5.631,7.111,334914.138
2021-01-02,7.111,7.958,5.683,5.826,252007.578
2021-01-03,5.858,6.27,5.015,5.091,143080.566
2021-01-04,5.088,5.204,4.221,4.861,152279.124
2021-01-05,4.84,4.889,4.194,4.363,114901.684
2021-01-06,4.363,4.622,4.144,4.2,134363.66
2021-01-07,4.151,4.33,3.841,3.845,130754.724
2021-01-08,3.845,4.6,3.74,3.955,126254.25
2021-01-09,4.049,4.049,3.648,3.751,64809.134
2021-01-10,3.751,3.85,3.215,3.518,64450.945
2021-01-11,3.486,3.486,2.776,3.131,97101.332
2021-01-12,3.068,3.176,2.85,2.999,27598.705
2021-01-13,2.999,5.962,2.776,5.204,563043.49
2021-01-14,5.203,5.81,4.257,4.472,691903.307
2021-01-15,4.5,4.893,4.288,4.424,390151.216
2021-01-16,4.409,4.9,4.234,4.481,329031.366
2021-01-17,4.445,4.6,4.24,4.271,177446.445
2021-01-18,4.289,4.384,4.034,4.271,473236.328
2021-01-19,4.28,4.296,4.049,4.078,689445.238
2021-01-20,4.082,4.6,3.951,4.387,168361.319
2021-01-21,4.384,4.547,3.798,3.898,89575.997
2021-01-22,3.897,4.159,3.574,3.975,42536.744
2021-01-23,3.974,4.037,3.707,3.806,43272.787
2021-01-24,3.809,3.926,3.714,3.786,37222.553
2021-01-25,3.787,3.91,3.642,3.68,41635.609
2021-01-26,3.68,4.19,3.478,4.067,79694.579
2021-01-27,4.114,4.46,3.73,4.145,232060.025
2021-01-28,4.18,6.6,3.75,3.765,1400689.297
2021-01-29,3.799,4.57,3.555,3.749,439761.505
2021-01-30,3.775,3.855,3.582,3.736,123119.418
2021-01-31,3.727,3.89,3.569,3.627,84321.689
2021-02-01,3.632,3.86,3.415,3.743,152389.673
2021-02-02,3.747,3.838,3.641,3.793,83958.946
2021-02-03,3.799,4.3,3.602,3.977,168934.891
2021-02-04,3.977,3.99,3.611,3.792,186773.38
2021-02-05,3.806,4.092,3.71,3.975,138299.145
2021-02-06,3.975,4.555,3.881,4.162,287646.703
2021-02-07,4.152,4.495,3.936,4.21,166103.914
2021-02-08,4.214,4.917,4.213,4.879,270630.191
2021-02-09,4.88,4.999,4.597,4.813,324566.861
2021-02-10,4.813,5.901,4.813,5.444,367820.704
2021-02-11,5.476,6.45,5.27,6.387,243948.988
2021-02-12,6.387,6.944,5.884,6.556,381185.097
2021-02-13,6.555,8.113,6.536,7.263,451266.43
2021-02-14,7.263,7.556,6.1,6.337,302195.322
2021-02-15,6.337,6.601,5.29,6.063,219515.547
2021-02-16,6.063,6.899,5.741,6.49,224959.7
2021-02-17,6.451,6.85,5.797,6.513,185765.166
2021-02-18,6.54,10.668,6.54,8.662,1419582.622
2021-02-19,8.637,9.196,8.255,8.409,205066.793
2021-02-20,8.43,8.822,7.43,7.785,153740.124
2021-02-21,7.862,8.658,7.6,7.987,154157.41
2021-02-22,7.951,8.7,6.112,7.098,196330.155
2021-02-23,7.095,7.228,5.339,6.377,111050.293
2021-02-24,6.377,7.448,6.038,6.548,148472.305
2021-02-25,6.594,6.974,5.888,6.207,126034.613
2021-02-26,6.204,6.271,5.566,5.754,72127.278
2021-02-27,5.712,8.528,5.711,5.934,400465.132
2021-02-28,5.932,9.192,5.42,6.447,1722607.939
2021-03-01,6.447,7.198,6.184,6.794,395700.808
2021-03-02,6.793,6.994,6.24,6.438,136125.663
2021-03-03,6.467,7.9,6.322,6.896,336210.459
2021-03-04,6.896,7.069,6.241,6.453,156735.829
2021-03-05,6.414,6.61,6.033,6.494,113625.282
2021-03-06,6.49,7.6,6.172,6.775,160869.929
2021-03-07,6.786,7.52,6.694,6.871,210130.759
2021-03-08,6.871,7.141,6.683,7.0,104746.573
2021-03-09,7.014,7.399,6.971,7.39,210666.099
2021-03-10,7.372,11.208,7.002,7.465,1517104.16
2021-03-11,7.465,10.89,6.854,9.489,1609177.865
2021-03-12,9.489,9.99,8.32,8.99,568810.648
2021-03-13,8.966,17.8,8.599,12.23,2272047.883
2021-03-14,12.232,14.786,11.085,11.119,1172214.399
2021-03-15,11.121,12.208,10.0,10.532,503861.282
2021-03-16,10.57,11.5,9.601,10.538,342619.981
2021-03-17,10.537,11.794,10.079,10.798,376205.311
2021-03-18,10.807,11.79,10.325,11.029,249052.606
2021-03-19,11.011,11.216,10.676,10.753,132922.722
2021-03-20,10.704,10.794,10.146,10.194,166309.655
2021-03-21,10.174,10.755,9.569,9.59,214947.104
2021-03-22,9.591,10.459,9.01,9.387,236640.904
2021-03-23,9.346,9.67,8.8,8.952,137180.839
2021-03-24,8.95,9.654,8.429,8.632,120884.848
2021-03-25,8.63,10.998,7.545,9.192,1249293.141
2021-03-26,9.192,10.803,9.192,9.736,483822.075
2021-03-27,9.737,10.401,9.387,9.733,154238.478
2021-03-28,9.73,10.4,9.57,9.6,128836.241
2021-03-29,9.619,10.558,9.503,10.308,165626.213
2021-03-30,10.324,10.598,9.959,10.374,144681.956
2021-03-31,10.387,11.467,9.997,10.38,231193.714
2021-04-01,10.399,10.733,10.104,10.201,81027.331
2021-04-02,10.204,10.509,10.074,10.282,68898.405
2021-04-03,10.221,10.281,9.2,9.27,191466.703
2021-04-04,9.27,9.922,9.076,9.729,101742.162
2021-04-05,9.729,10.558,9.377,10.117,181400.2
2021-04-06,10.15,11.5,9.762,10.654,263923.531
2021-04-07,10.616,13.4,9.8,11.616,1058266.797
2021-04-08,11.688,11.688,10.024,10.459,1009214.372
2021-04-09,10.456,10.486,9.911,10.063,255744.867
2021-04-10,10.045,10.24,9.595,9.736,210223.732
2021-04-11,9.722,10.792,9.6,10.275,466299.401
2021-04-12,10.267,11.683,10.077,10.687,625755.576
2021-04-13,10.638,11.814,10.36,11.167,392809.609
2021-04-14,11.164,11.65,10.57,11.2,259613.144
2021-04-15,11.211,12.299,10.893,11.026,390482.904
2021-04-16,11.027,11.076,10.126,10.417,244294.446
2021-04-17,10.415,10.692,10.106,10.471,211263.666
2021-04-18,10.512,10.571,9.09,9.252,259459.639
2021-04-19,9.272,9.876,8.729,8.787,157562.52
2021-04-20,8.789,9.47,8.016,9.105,171127.212
2021-04-21,9.105,9.823,8.83,8.953,202651.599
2021-04-22,8.97,10.0,8.552,8.918,332531.385
2021-04-23,8.896,9.5,7.7,8.199,354990.961
2021-04-24,8.198,8.353,7.814,8.1,70445.423
