Date,Open,High,Low,Close,Volume
2020-04-25,2.748,2.962,2.668,2.871,3190424.065
2020-04-26,2.869,2.902,2.757,2.808,1513843.948
2020-04-27,2.808,2.834,2.651,2.767,962849.631
2020-04-28,2.767,2.85,2.706,2.793,1155468.96
2020-04-29,2.795,2.986,2.783,2.929,1832404.184
2020-04-30,2.93,3.077,2.695,2.734,2694763.707
2020-05-01,2.733,2.933,2.732,2.828,1182842.253
2020-05-02,2.828,2.897,2.797,2.873,612877.751
2020-05-03,2.873,2.909,2.73,2.774,849094.587
2020-05-04,2.777,2.803,2.57,2.761,1413991.785
2020-05-05,2.761,2.787,2.655,2.707,1111698.388
2020-05-06,2.708,2.764,2.614,2.619,1136978.735
2020-05-07,2.627,2.8,2.6,2.725,1564125.166
2020-05-08,2.728,2.855,2.675,2.806,1439678.066
2020-05-09,2.805,2.855,2.715,2.75,1435602.667
2020-05-10,2.75,2.75,2.324,2.514,1734408.862
2020-05-11,2.508,2.558,2.267,2.394,1617563.41
2020-05-12,2.393,2.529,2.381,2.486,991948.004
2020-05-13,2.485,2.587,2.437,2.54,784589.719
2020-05-14,2.54,2.569,2.457,2.528,1600397.861
2020-05-15,2.531,2.578,2.421,2.473,941081.977
2020-05-16,2.473,2.573,2.447,2.555,622360.82
2020-05-17,2.555,2.64,2.532,2.544,650551.645
2020-05-18,2.544,2.662,2.54,2.6,805416.458
2020-05-19,2.6,2.625,2.523,2.617,1100180.163
2020-05-20,2.617,2.71,2.52,2.705,2142782.554
2020-05-21,2.705,2.734,2.446,2.513,1984287.406
2020-05-22,2.513,2.684,2.487,2.65,951768.616
2020-05-23,2.65,2.673,2.573,2.592,692468.157
2020-05-24,2.592,2.651,2.49,2.495,627848.611
2020-05-25,2.492,2.64,2.458,2.612,989497.243
2020-05-26,2.612,2.629,2.537,2.583,1084247.576
2020-05-27,2.583,2.705,2.573,2.601,1236695.088
2020-05-28,2.606,2.678,2.568,2.671,907546.421
2020-05-29,2.671,2.7,2.624,2.677,880704.857
2020-05-30,2.678,2.834,2.643,2.817,1221691.364
2020-05-31,2.817,2.888,2.7,2.728,1482193.036
2020-06-01,2.728,2.865,2.712,2.862,1159916.32
2020-06-02,2.862,2.963,2.64,2.761,2015909.066
2020-06-03,2.758,2.917,2.733,2.906,1149177.327
2020-06-04,2.908,3.159,2.892,3.11,2661551.413
2020-06-05,3.109,3.2,3.037,3.093,2036787.03
2020-06-06,3.092,3.155,3.039,3.056,923471.786
2020-06-07,3.056,3.111,2.865,3.02,1278663.145
2020-06-08,3.022,3.163,2.994,3.155,890067.444
2020-06-09,3.157,3.186,3.074,3.117,973545.69
2020-06-10,3.117,3.13,2.955,3.114,1154464.749
