Date,Open,High,Low,Close,Volume
2020-10-23,0.02,0.58499,0.02,0.19226,22557016.0
2020-10-24,0.19078,0.3,0.14786,0.23827,93222275.2
2020-10-25,0.23823,0.26399,0.18101,0.18508,28174633.4
2020-10-26,0.18509,0.2055,0.15952,0.16585,21474177.2
2020-10-27,0.16588,0.186,0.155,0.15999,15180221.7
2020-10-28,0.16,0.16054,0.11,0.1153,15904797.6
2020-10-29,0.1156,0.11747,0.0925,0.10044,6753447.6
2020-10-30,0.10038,0.145,0.0962,0.12119,28534331.9
2020-10-31,0.12119,0.12337,0.10504,0.11159,14157397.4
2020-11-01,0.11159,0.11322,0.09958,0.10093,4693233.8
2020-11-02,0.10092,0.10225,0.093,0.09329,3065374.7
2020-11-03,0.09386,0.09487,0.077,0.08231,8267809.5
2020-11-04,0.08201,0.11755,0.08053,0.09978,24759550.8
2020-11-05,0.0998,0.10481,0.086,0.09298,11010390.4
2020-11-06,0.09255,0.10193,0.09155,0.09848,5072466.9
2020-11-07,0.09927,0.11589,0.09421,0.1015,6779745.0
2020-11-08,0.1015,0.12822,0.09805,0.12553,8523646.9
2020-11-09,0.12553,0.15226,0.11632,0.12446,18754378.0
2020-11-10,0.12443,0.15288,0.122,0.13954,9428817.7
2020-11-11,0.13936,0.15288,0.12798,0.13142,7393923.0
2020-11-12,0.13142,0.16432,0.1286,0.1515,11004540.7
2020-11-13,0.15151,0.1737,0.14515,0.15053,11919564.4
2020-11-14,0.15092,0.15736,0.12739,0.12908,9823933.8
2020-11-15,0.12909,0.14848,0.12619,0.147,11560736.0
2020-11-16,0.14729,0.15483,0.13593,0.1418,9178276.7
2020-11-17,0.14233,0.194,0.1411,0.18932,25645357.1
2020-11-18,0.18889,0.19199,0.13515,0.1507,17658912.9
2020-11-19,0.15069,0.15725,0.13721,0.1399,9583353.8
2020-11-20,0.13983,0.1493,0.13581,0.13805,6061359.9
2020-11-21,0.1371,0.14016,0.12879,0.13495,7465476.7
2020-11-22,0.13528,0.1429,0.12642,0.12741,7306068.2
2020-11-23,0.12773,0.139,0.122,0.13602,8148108.9
2020-11-24,0.13508,0.13587,0.1212,0.1243,5993493.7
2020-11-25,0.12451,0.12924,0.1168,0.12,4684054.2
2020-11-26,0.12002,0.12107,0.09,0.09987,7076857.6
2020-11-27,0.10076,0.15849,0.10032,0.12736,43027223.3
2020-11-28,0.1273,0.13886,0.11891,0.13149,15864898.9
2020-11-29,0.13167,0.14,0.12382,0.13012,7639616.7
2020-11-30,0.13001,0.1334,0.1226,0.12508,6371293.5
2020-12-01,0.12595,0.13063,0.11673,0.1245,6188949.0
2020-12-02,0.12381,0.1485,0.121,0.13663,11233324.7
2020-12-03,0.13662,0.14492,0.1308,0.13945,7089634.4
2020-12-04,0.13945,0.149,0.13201,0.1337,6787489.8
2020-12-05,0.1337,0.1695,0.1322,0.15373,16874376.2
2020-12-06,0.15313,0.17322,0.153,0.15661,11008783.1
2020-12-07,0.15662,0.16783,0.1478,0.16449,10817027.1
2020-12-08,0.16443,0.228,0.16065,0.19291,57002153.2
2020-12-09,0.19288,0.20861,0.16277,0.18503,29531613.7
2020-12-10,0.18562,0.19052,0.16307,0.16408,8976011.1
2020-12-11,0.16408,0.16548,0.1479,0.16417,8020341.9
2020-12-12,0.16373,0.18566,0.16286,0.16647,10376306.4
2020-12-13,0.16556,0.17951,0.16302,0.17493,6088565.0
2020-12-14,0.17464,0.1782,0.15908,0.16975,4909144.7
2020-12-15,0.16975,0.18688,0.16621,0.17326,7137367.7
2020-12-16,0.17326,0.22,0.17176,0.20826,16273425.5
2020-12-17,0.20826,0.276,0.20826,0.23183,40485863.4
2020-12-18,0.23197,0.24822,0.20872,0.21503,15466596.1
2020-12-19,0.21506,0.23347,0.2,0.2029,7460321.6
2020-12-20,0.2029,0.209,0.18376,0.18776,5750873.2
2020-12-21,0.18655,0.18882,0.16697,0.16966,7489585.2
2020-12-22,0.16967,0.19524,0.16247,0.18487,6495808.3
2020-12-23,0.18447,0.18532,0.14768,0.15466,5585566.6
2020-12-24,0.1545,0.16367,0.13851,0.15833,3209894.2
2020-12-25,0.15833,0.16379,0.14237,0.14661,2596671.3
2020-12-26,0.14637,0.15133,0.14348,0.14668,1997718.0
2020-12-27,0.14672,0.20696,0.14412,0.18435,14568455.0
2020-12-28,0.18529,0.21535,0.16494,0.16814,17086677.6
2020-12-29,0.16815,0.1786,0.15536,0.16246,5592570.6
2020-12-30,0.1624,0.16604,0.14412,0.1506,4635524.8
2020-12-31,0.15072,0.18606,0.14649,0.1531,9632178.5
2021-01-01,0.15295,0.16145,0.15229,0.15925,3174376.8
2021-01-02,0.15969,0.16185,0.15175,0.15638,2212481.5
2021-01-03,0.15638,0.1699,0.15056,0.16089,4754508.0
2021-01-04,0.1608,0.16537,0.14001,0.15491,6013141.1
2021-01-05,0.1548,0.16259,0.14979,0.15647,4433660.9
2021-01-06,0.1565,0.17615,0.15449,0.16759,6058001.1
2021-01-07,0.16751,0.1898,0.1637,0.17779,8637605.8
2021-01-08,0.1776,0.19519,0.16617,0.19166,7261562.3
2021-01-09,0.19172,0.1945,0.1739,0.18276,3999435.7
2021-01-10,0.18301,0.20948,0.18224,0.19312,11067177.5
2021-01-11,0.19314,0.1952,0.16105,0.16788,4684099.4
2021-01-12,0.16761,0.18098,0.16578,0.16918,2051900.9
2021-01-13,0.16846,0.178,0.16261,0.17405,3990749.1
2021-01-14,0.17509,0.18241,0.1686,0.17468,3222154.8
2021-01-15,0.17468,0.18976,0.1668,0.18352,5414556.6
2021-01-16,0.18466,0.2,0.17801,0.18788,6896300.0
2021-01-17,0.18789,0.19001,0.16834,0.18293,5308719.8
2021-01-18,0.18275,0.215,0.18044,0.20806,12732399.0
2021-01-19,0.20805,0.21475,0.187,0.19537,6135364.0
2021-01-20,0.19535,0.19535,0.17459,0.18715,6853126.3
2021-01-21,0.1871,0.22,0.18009,0.20647,16875544.3
2021-01-22,0.20646,0.24,0.201,0.21503,16610762.0
2021-01-23,0.21504,0.21892,0.19934,0.20459,10925760.3
2021-01-24,0.20461,0.21575,0.19932,0.20637,9248674.2
2021-01-25,0.20636,0.21,0.19603,0.19681,5712704.2
2021-01-26,0.19678,0.256,0.189,0.2485,24601932.5
2021-01-27,0.2485,0.28583,0.21372,0.2165,30362472.6
2021-01-28,0.2165,0.24354,0.20948,0.22198,14740908.0
2021-01-29,0.22199,0.22389,0.20249,0.20906,11704206.2
2021-01-30,0.20906,0.22,0.20681,0.21416,5639500.4
2021-01-31,0.21411,0.229,0.20731,0.21354,6761542.6
2021-02-01,0.21253,0.21714,0.20489,0.21195,4645748.4
2021-02-02,0.21195,0.21998,0.205,0.21417,4750003.1
2021-02-03,0.21439,0.235,0.21111,0.2263,7109648.8
2021-02-04,0.22638,0.25687,0.22004,0.24589,13174085.1
2021-02-05,0.24544,0.28199,0.24517,0.27495,15589928.9
2021-02-06,0.27453,0.277,0.24444,0.24921,10126240.2
2021-02-07,0.2492,0.33285,0.24732,0.29554,27519129.0
2021-02-08,0.29499,0.35523,0.287,0.29875,27397881.2
2021-02-09,0.29895,0.34051,0.29044,0.32128,15712967.9
2021-02-10,0.32131,0.4,0.31504,0.38275,17686677.7
2021-02-11,0.38275,0.40331,0.37297,0.39218,10069107.2
2021-02-12,0.39006,0.40705,0.36,0.40027,9278019.9
2021-02-13,0.40039,0.42534,0.39223,0.40015,9370907.1
2021-02-14,0.40015,0.40317,0.35231,0.35897,7921366.3
2021-02-15,0.35786,0.36469,0.3186,0.34983,5414608.5
2021-02-16,0.34983,0.35678,0.33897,0.34636,2633005.6
2021-02-17,0.34637,0.36418,0.3375,0.35536,3836028.9
2021-02-18,0.35704,0.45362,0.34,0.44648,12835243.8
2021-02-19,0.44648,0.5,0.42616,0.45592,15195532.8
2021-02-20,0.45593,0.45733,0.4011,0.40896,7150360.0
2021-02-21,0.40868,0.44528,0.40676,0.42271,3596993.5
2021-02-22,0.423,0.44926,0.33951,0.413,7153578.8
2021-02-23,0.41311,0.4154,0.36072,0.38434,5826923.1
2021-02-24,0.38351,0.429,0.37607,0.42563,4450587.6
2021-02-25,0.42563,0.488,0.42434,0.46435,8623170.7
2021-02-26,0.46424,0.54,0.44547,0.45679,18069167.1
2021-02-27,0.45734,0.47187,0.39131,0.40561,5265445.0
2021-02-28,0.40561,0.40746,0.34704,0.37965,5517031.9
2021-03-01,0.37965,0.41997,0.37499,0.40268,4147137.8
2021-03-02,0.40387,0.45759,0.40095,0.45661,5527191.1
2021-03-03,0.45661,0.52678,0.45578,0.49807,8208931.0
2021-03-04,0.49807,0.79,0.4568,0.60867,36899434.9
2021-03-05,0.60845,0.73,0.54724,0.5997,29793961.5
2021-03-06,0.5997,1.259,0.5981,1.01428,140366245.6
2021-03-07,1.01429,1.02879,0.84508,0.88122,37377404.9
2021-03-08,0.88122,0.963,0.86666,0.94498,14573796.5
2021-03-09,0.94292,1.37275,0.91521,1.0834,45342136.1
2021-03-10,1.0856,1.15362,0.94056,1.01179,17035113.4
2021-03-11,1.01288,1.1288,0.93624,1.07785,16504553.0
2021-03-12,1.07718,1.137,0.95464,1.00766,22670587.3
2021-03-13,1.01015,1.5979,0.97634,1.46887,35622868.4
2021-03-14,1.46887,1.53571,1.30336,1.40622,18348802.1
2021-03-15,1.40622,1.90403,1.18,1.7643,30715985.6
2021-03-16,1.76733,2.05672,1.6,1.74,50003399.1
2021-03-17,1.73808,1.74969,1.42794,1.631,16319910.4
2021-03-18,1.63199,1.775,1.47747,1.505,8484083.1
2021-03-19,1.505,1.61778,1.46733,1.53602,8029531.7
2021-03-20,1.536,1.61,1.395,1.3994,7303170.6
2021-03-21,1.3988,1.561,1.28827,1.55491,9248857.1
2021-03-22,1.55864,1.98798,1.53967,1.7582,32785546.9
2021-03-23,1.75819,1.89,1.63863,1.87305,10733030.5
2021-03-24,1.87308,2.45768,1.71714,2.05201,32857494.0
2021-03-25,2.05201,2.54999,1.85001,2.39974,28507174.3
2021-03-26,2.39623,3.475,2.32632,2.99688,45689850.6
2021-03-27,2.99205,4.99,2.91725,4.03,89654200.5
2021-03-28,4.02986,4.21204,3.40333,3.67509,38418169.7
