Date,Open,High,Low,Close,Volume
2020-11-24,0.805,1.05,0.805,0.9131,345406.31
2020-11-25,0.9174,1.0405,0.85,0.8804,646577.47
2020-11-26,0.8803,0.8967,0.717,0.7827,441442.13
2020-11-27,0.7811,0.85,0.759,0.8039,196309.83
2020-11-28,0.8041,0.9001,0.804,0.8892,222373.59
2020-11-29,0.8915,0.9,0.8311,0.8714,181981.22
2020-11-30,0.8735,0.8955,0.8248,0.874,258077.42
2020-12-01,0.8733,0.8785,0.7744,0.8087,330409.73
2020-12-02,0.8036,0.8426,0.7813,0.8075,186788.15
2020-12-03,0.8081,0.8373,0.7967,0.8058,182088.34
2020-12-04,0.8054,0.8137,0.773,0.7735,243163.66
2020-12-05,0.7734,0.7897,0.75,0.7753,154181.14
2020-12-06,0.7812,0.8026,0.7534,0.7729,207352.75
2020-12-07,0.7729,0.806,0.7489,0.7654,219629.82
2020-12-08,0.7654,0.8049,0.721,0.7225,276873.69
2020-12-09,0.7225,0.8,0.6936,0.7843,618417.01
2020-12-10,0.7887,0.802,0.7354,0.7419,116713.98
2020-12-11,0.74,0.7676,0.7003,0.7131,133536.69
2020-12-12,0.7228,0.82,0.7228,0.7447,582606.71
2020-12-13,0.7484,0.78,0.7476,0.7693,141257.31
2020-12-14,0.7692,0.7948,0.7583,0.7689,188677.72
2020-12-15,0.7722,0.8379,0.7618,0.8244,346013.85
2020-12-16,0.8244,0.8338,0.7847,0.8188,244147.24
2020-12-17,0.8187,0.836,0.764,0.7978,356208.22
2020-12-18,0.7933,0.8628,0.7801,0.8231,213996.13
2020-12-19,0.823,0.8431,0.808,0.8159,147056.45
2020-12-20,0.8153,0.8216,0.7645,0.7847,179517.91
2020-12-21,0.7789,0.8046,0.71,0.729,269692.17
2020-12-22,0.729,0.7739,0.6952,0.7539,187922.0
2020-12-23,0.7539,0.7629,0.6582,0.6925,209422.23
2020-12-24,0.6925,0.7537,0.65,0.7369,197876.25
2020-12-25,0.7431,0.7926,0.7091,0.7314,176563.83
2020-12-26,0.7314,0.7851,0.717,0.7752,133974.12
2020-12-27,0.779,0.799,0.7288,0.7602,171584.31
2020-12-28,0.7662,0.8025,0.7353,0.7476,149457.36
2020-12-29,0.7513,0.7648,0.7068,0.7171,196913.77
2020-12-30,0.7186,0.7481,0.695,0.7186,350194.55
2020-12-31,0.7257,0.726,0.6889,0.7211,155186.72
2021-01-01,0.721,0.8096,0.721,0.8069,173653.28
2021-01-02,0.8069,0.8069,0.735,0.7671,263609.68
2021-01-03,0.7671,0.787,0.7404,0.754,231770.16
2021-01-04,0.7596,0.85,0.754,0.8222,526462.95
2021-01-05,0.8222,0.9023,0.7949,0.8899,804654.79
2021-01-06,0.8931,1.05,0.869,1.0019,836274.01
2021-01-07,0.9964,1.03,0.9145,0.9768,595705.35
2021-01-08,0.9728,1.06,0.875,1.0025,868499.43
2021-01-09,0.9975,1.0582,0.9745,1.0329,499539.24
2021-01-10,1.0327,1.0735,0.8874,0.9636,377884.23
2021-01-11,0.9636,0.9636,0.7685,0.8931,526736.24
2021-01-12,0.8931,0.94,0.85,0.8845,266619.85
2021-01-13,0.8819,0.9344,0.85,0.9,394130.11
2021-01-14,0.9,0.9667,0.887,0.9262,404069.91
2021-01-15,0.9298,1.0045,0.8363,0.9597,600363.61
2021-01-16,0.9584,1.6,0.9584,1.4924,7559344.42
2021-01-17,1.4923,1.61,1.255,1.51,2587758.09
2021-01-18,1.51,1.5705,1.334,1.3901,858746.65
2021-01-19,1.3901,1.57,1.3809,1.445,958379.66
2021-01-20,1.445,1.5567,1.2612,1.3861,981467.95
2021-01-21,1.3874,1.4219,1.207,1.2699,552769.89
2021-01-22,1.2699,1.5,1.169,1.3807,636959.98
2021-01-23,1.3732,1.8556,1.3267,1.6789,3362905.99
2021-01-24,1.6769,1.9,1.6769,1.8834,2078381.36
2021-01-25,1.8937,1.935,1.67,1.7489,1292656.23
2021-01-26,1.7514,1.7849,1.6514,1.7646,575506.34
2021-01-27,1.7614,1.7614,1.521,1.6061,494716.76
2021-01-28,1.6002,1.8499,1.5589,1.6822,603626.57
2021-01-29,1.6822,1.72,1.52,1.6563,807669.73
2021-01-30,1.6522,1.8249,1.6008,1.707,589315.95
2021-01-31,1.7069,1.771,1.62,1.658,621379.7
2021-02-01,1.658,1.7294,1.6001,1.705,477137.7
2021-02-02,1.705,1.8895,1.67,1.8544,799977.46
2021-02-03,1.8513,2.0114,1.78,1.837,1491756.45
