Date,Open,High,Low,Close,Volume
2021-03-02,51.8,64.9,48.0,53.335,467120.04
2021-03-03,53.078,60.979,52.002,54.1,237702.035
2021-03-04,54.1,56.888,48.858,49.5,124454.012
2021-03-05,49.501,49.79,44.652,48.475,77934.043
2021-03-06,48.475,49.0,45.02,47.005,76564.666
2021-03-07,47.003,52.024,45.463,51.81,172876.542
2021-03-08,51.811,54.555,46.971,48.912,136016.057
2021-03-09,49.033,50.94,45.99,49.775,76432.109
2021-03-10,49.771,52.7,47.2,47.5,92061.908
2021-03-11,47.5,47.755,42.1,44.801,129463.36
2021-03-12,44.868,49.012,41.403,43.692,142165.577
2021-03-13,43.504,49.299,42.319,49.015,136153.581
2021-03-14,49.015,49.649,44.2,46.849,122790.967
2021-03-15,46.588,47.98,42.573,44.79,97113.264
2021-03-16,44.79,45.389,42.018,44.439,82870.462
2021-03-17,44.44,44.564,40.261,43.75,89560.53
2021-03-18,43.848,45.687,42.405,42.504,77043.445
2021-03-19,42.503,46.385,41.7,43.956,161791.141
2021-03-20,43.977,47.876,43.779,44.508,135048.414
2021-03-21,44.505,46.159,42.6,43.341,81756.882
2021-03-22,43.205,43.487,37.044,39.005,131525.324
2021-03-23,39.006,40.0,36.619,36.799,117563.331
2021-03-24,36.8,40.0,34.232,36.456,184951.732
2021-03-25,36.446,42.0,34.225,34.359,349141.571
2021-03-26,34.375,39.315,34.101,38.164,130776.374
2021-03-27,38.162,38.694,36.5,37.468,75061.779
2021-03-28,37.439,37.779,35.411,35.926,89660.678
2021-03-29,35.978,38.005,35.1,37.444,108607.252
2021-03-30,37.318,41.266,37.0,39.717,201602.132
2021-03-31,39.67,40.491,36.056,37.091,96400.922
2021-04-01,36.864,49.0,36.847,46.22,656842.466
2021-04-02,46.275,47.699,42.2,43.466,184169.716
2021-04-03,43.471,43.89,39.165,39.39,98729.861
2021-04-04,39.167,42.174,38.85,41.396,81647.317
2021-04-05,41.321,44.77,40.0,42.855,155842.792
2021-04-06,42.854,44.206,40.379,41.401,96547.357
2021-04-07,41.401,41.728,37.19,38.2,102872.089
2021-04-08,38.154,43.802,37.7,43.101,115608.688
2021-04-09,43.169,44.057,41.198,42.681,112041.094
2021-04-10,42.71,45.15,41.227,42.17,98885.421
2021-04-11,42.17,42.745,40.566,41.072,43437.183
2021-04-12,41.089,42.295,40.0,41.001,84542.544
2021-04-13,41.001,45.684,40.869,43.594,182822.076
2021-04-14,43.473,46.8,42.01,46.7,220724.364
2021-04-15,46.7,53.792,46.377,50.268,375263.212
2021-04-16,50.256,52.628,46.2,50.499,164503.762
2021-04-17,50.432,51.842,45.423,46.339,103360.357
2021-04-18,46.336,46.342,35.345,39.293,226619.076
2021-04-19,39.102,40.7,34.5,35.248,151993.271
2021-04-20,35.387,36.532,29.835,34.467,235604.244
2021-04-21,34.417,35.965,31.026,31.457,112496.9
2021-04-22,31.454,34.3,27.777,28.457,210248.764
2021-04-23,28.457,29.2,23.634,27.715,153971.922
2021-04-24,27.687,27.743,24.677,24.78,58235.813
