Date,Open,High,Low,Close,Volume
2020-04-25,0.7139,0.9597,0.6885,0.9548,4433487.61
2020-04-26,0.9545,0.955,0.8233,0.8527,4348191.25
2020-04-27,0.8567,0.9068,0.771,0.869,3290438.79
2020-04-28,0.869,0.9456,0.826,0.8835,2863607.08
2020-04-29,0.8835,0.8999,0.85,0.8688,2440631.36
2020-04-30,0.8688,1.1729,0.845,1.0316,8721866.56
2020-05-01,1.0316,1.2968,1.022,1.2591,6743899.99
2020-05-02,1.2591,1.2632,1.1007,1.1342,4012932.81
2020-05-03,1.1343,1.197,1.0622,1.0921,2634302.27
2020-05-04,1.0964,1.1024,0.9415,1.0643,3367502.9
2020-05-05,1.0642,1.1071,1.0,1.0174,1711967.37
2020-05-06,1.0175,1.1941,1.0,1.0765,2995593.67
2020-05-07,1.0729,1.1047,0.9627,1.0135,3386833.81
2020-05-08,1.0138,1.1325,1.0113,1.07,2354001.54
2020-05-09,1.0699,1.0822,1.0182,1.0189,1359077.56
2020-05-10,1.0185,1.0225,0.8298,0.8896,3018957.04
2020-05-11,0.8936,0.9059,0.755,0.8012,2473105.58
2020-05-12,0.8,1.0702,0.7813,1.0376,3722627.44
2020-05-13,1.0369,1.0956,0.9985,1.0669,2144593.07
2020-05-14,1.0669,1.1143,1.0101,1.029,1524185.86
2020-05-15,1.0279,1.09,0.9962,1.0054,1210811.2
2020-05-16,1.0022,1.0668,0.9717,1.0447,1181556.47
2020-05-17,1.0446,1.0674,1.0031,1.0112,1311419.99
2020-05-18,1.0116,1.043,1.0111,1.0299,840510.64
2020-05-19,1.032,1.0767,1.0049,1.0731,1650217.23
2020-05-20,1.0733,1.2773,1.0419,1.1842,3180107.9
2020-05-21,1.1832,1.268,1.079,1.1568,2170843.59
2020-05-22,1.1568,1.35,1.1194,1.3053,1449232.0
2020-05-23,1.3081,1.3109,1.1883,1.2444,1306234.41
2020-05-24,1.2405,1.2607,1.0655,1.0783,1444473.0
2020-05-25,1.0827,1.1743,1.0802,1.1639,1062719.74
2020-05-26,1.1618,1.2327,1.1,1.1436,1064397.08
2020-05-27,1.1403,1.896,1.1353,1.593,7531845.61
2020-05-28,1.5929,1.72,1.2911,1.3398,3105027.42
2020-05-29,1.3341,1.4924,1.332,1.3952,1319781.4
2020-05-30,1.3934,1.6942,1.355,1.6003,2258299.85
2020-05-31,1.6002,1.696,1.4842,1.5111,1960626.2
2020-06-01,1.5045,1.6499,1.5043,1.631,1096928.89
2020-06-02,1.631,1.76,1.5544,1.687,1551521.39
2020-06-03,1.6811,1.8838,1.6652,1.814,1945308.53
2020-06-04,1.8144,1.965,1.8026,1.8402,1587257.57
2020-06-05,1.8347,1.89,1.6901,1.7294,1427305.08
2020-06-06,1.7282,1.758,1.6215,1.6458,1450874.48
2020-06-07,1.6502,1.6978,1.51,1.5797,1415659.24
2020-06-08,1.5797,1.7199,1.57,1.6678,1512952.02
2020-06-09,1.6661,1.674,1.52,1.5439,2055343.6
2020-06-10,1.5436,1.5743,1.409,1.4443,2172258.03
2020-06-11,1.4418,1.4919,1.1444,1.18,2869426.63
2020-06-12,1.181,1.3477,1.145,1.296,2150655.65
2020-06-13,1.2969,1.4499,1.2632,1.396,1702326.86
2020-06-14,1.3959,1.4756,1.3349,1.343,1081601.73
2020-06-15,1.3441,1.35,1.16,1.3143,2249716.75
2020-06-16,1.3143,1.3409,1.25,1.2673,848956.9
2020-06-17,1.2673,1.3026,1.2051,1.2395,832914.04
2020-06-18,1.2395,1.376,1.1953,1.3203,1689781.21
2020-06-19,1.3164,1.3833,1.23,1.264,1368147.11
2020-06-20,1.264,1.334,1.264,1.2857,602590.95
2020-06-21,1.2888,1.3008,1.2367,1.2439,520955.89
2020-06-22,1.2384,1.3156,1.2376,1.3105,665133.18
2020-06-23,1.3105,1.3769,1.2603,1.2994,1039096.98
2020-06-24,1.2994,1.3299,1.2346,1.2733,767759.59
2020-06-25,1.2731,1.2776,1.2087,1.229,519061.6
2020-06-26,1.2289,1.2488,1.12,1.1649,1087796.03
2020-06-27,1.1612,1.1859,0.9801,1.0449,931999.1
2020-06-28,1.045,1.1349,1.031,1.1071,483088.56
2020-06-29,1.1058,1.1617,1.0763,1.1506,482483.49
2020-06-30,1.1508,1.1777,1.0929,1.0959,495166.1
2020-07-01,1.0962,1.13,1.0843,1.0861,414041.44
2020-07-02,1.0861,1.2296,1.0861,1.1006,1164104.87
2020-07-03,1.1005,1.1066,1.0586,1.0795,748595.02
2020-07-04,1.0777,1.145,1.0716,1.1073,569664.07
2020-07-05,1.1073,1.1389,1.0767,1.0932,465301.36
2020-07-06,1.0935,1.2157,1.0683,1.212,1299540.47
2020-07-07,1.2121,1.3577,1.161,1.3567,2005155.49
2020-07-08,1.3567,1.7131,1.3408,1.6907,3131750.25
2020-07-09,1.693,1.7196,1.5179,1.6952,1722604.39
2020-07-10,1.6956,1.7059,1.559,1.6594,984151.57
2020-07-11,1.6622,2.0101,1.6413,1.8797,1880061.8
2020-07-12,1.8793,2.075,1.7808,2.0237,1819231.31
2020-07-13,2.0238,2.495,1.9794,2.1165,4283512.1
2020-07-14,2.1189,2.48,2.07,2.4398,2513943.83
2020-07-15,2.4397,2.65,2.3442,2.5932,1947863.94
2020-07-16,2.5932,2.646,2.262,2.3945,1637553.95
2020-07-17,2.4035,2.6198,2.3594,2.554,1022470.44
2020-07-18,2.5616,3.198,2.4,3.167,2444638.33
2020-07-19,3.16,4.269,2.9827,4.1801,4322700.51
2020-07-20,4.19,5.2525,3.6084,3.9691,7085321.92
2020-07-21,3.9524,4.88,3.6042,4.4907,3477334.23
2020-07-22,4.489,5.0498,4.2614,4.5501,2888493.41
2020-07-23,4.557,4.9288,4.0782,4.4338,1865684.28
2020-07-24,4.4402,4.4997,4.04,4.2023,1291811.38
2020-07-25,4.196,4.6626,3.9266,4.0702,1766487.73
2020-07-26,4.0647,4.2126,3.65,3.8199,1637101.91
2020-07-27,3.8199,3.8674,2.9368,3.2919,2637644.49
2020-07-28,3.2859,4.2,3.21,3.8851,2299970.72
2020-07-29,3.88,4.1268,3.7562,3.8997,1300223.32
2020-07-30,3.8997,4.307,3.7427,3.9811,1682609.49
2020-07-31,3.981,4.368,3.9332,4.2225,1687281.65
2020-08-01,4.2225,4.295,3.9327,3.9975,1199704.42
2020-08-02,4.0004,4.1481,3.0089,4.0536,1814697.18
2020-08-03,4.0411,4.2453,3.9715,4.2223,1128936.36
2020-08-04,4.2222,5.079,4.1423,4.9936,2783022.68
2020-08-05,4.9936,8.0,4.825,7.1783,5637442.91
2020-08-06,7.1782,8.5858,7.0762,8.03,5502102.17
2020-08-07,8.0424,8.77,7.5,8.5418,3057862.01
