Date,Open,High,Low,Close,Volume
2020-10-28,10.0,11.419,9.352,10.194,26683.08
2020-10-29,10.215,10.427,9.257,10.083,26679.58
2020-10-30,9.842,10.356,9.151,9.545,4439.54
2020-10-31,9.636,10.117,9.226,9.871,1437.83
2020-11-01,9.5,10.565,9.2,10.291,6933.33
2020-11-02,10.291,10.637,9.0,9.2,4331.88
2020-11-03,9.0,9.015,6.575,7.8,13373.18
2020-11-04,7.853,7.9,6.955,7.542,6192.51
2020-11-05,7.542,8.328,7.501,8.328,6996.53
2020-11-06,8.488,8.951,8.088,8.862,7209.31
2020-11-07,8.762,10.2,8.0,8.262,12985.13
2020-11-08,8.325,10.198,7.941,9.781,8233.94
2020-11-09,9.522,9.624,9.045,9.194,2650.3
2021-04-14,9.194,9.194,9.194,9.194,0.0
2021-04-15,10.0,11.39,9.54,11.07,155196.65
2021-04-16,11.08,19.75,9.72,17.0,860253.61
2021-04-17,17.0,20.99,13.07,13.16,912719.63
2021-04-18,13.24,13.88,7.3,13.33,1432124.53
2021-04-19,13.33,15.96,9.38,10.14,864564.2
2021-04-20,10.08,12.52,7.97,11.5,926874.76
2021-04-21,11.62,13.3,10.2,10.51,560532.17
2021-04-22,10.51,12.45,8.38,8.71,798346.34
2021-04-23,8.75,9.35,4.21,7.25,1402378.65
2021-04-24,7.23,7.23,5.5,5.82,291633.88
