Date,Open,High,Low,Close,Volume
2020-04-25,237.9,245.76,235.04,238.07,94591.40958
2020-04-26,238.06,249.42,237.38,246.36,138116.3669
2020-04-27,246.35,248.07,234.02,242.75,187200.56808
2020-04-28,242.77,243.13,236.94,241.14,112366.41789
2020-04-29,241.14,262.81,241.03,257.77,267847.69583
2020-04-30,257.71,275.57,245.01,250.05,331828.19055
2020-05-01,250.05,260.22,250.05,254.79,153693.78915
2020-05-02,254.79,261.0,252.2,260.84,103409.54202
2020-05-03,260.84,267.76,245.7,251.65,166679.52234
2020-05-04,251.69,252.61,236.0,245.75,151932.20063
2020-05-05,245.77,252.28,240.96,246.9,94957.68054
2020-05-06,246.92,253.91,239.95,241.32,119023.73336
2020-05-07,241.32,256.62,235.5,251.9,165995.0332
2020-05-08,251.94,265.83,247.85,260.3,199500.21611
2020-05-09,260.16,277.46,258.51,265.24,265358.79287
2020-05-10,265.26,265.72,221.33,232.56,364945.21343
2020-05-11,232.68,238.0,216.52,235.16,264827.64401
2020-05-12,235.17,239.4,228.42,233.23,146776.566
2020-05-13,233.25,242.0,231.74,239.41,104151.89988
2020-05-14,239.34,245.82,233.83,242.61,173327.58715
2020-05-15,242.51,243.39,230.93,235.21,115625.77262
2020-05-16,235.11,240.9,233.64,236.45,106699.94829
2020-05-17,236.45,247.43,235.61,240.73,105516.29912
2020-05-18,240.74,255.75,240.25,248.5,159970.51046
2020-05-19,248.49,250.94,242.36,246.74,110402.72204
2020-05-20,246.83,247.66,235.0,239.85,127884.72984
2020-05-21,239.79,243.0,220.65,228.22,149841.8009
2020-05-22,228.17,236.69,225.0,234.67,111783.65323
2020-05-23,234.67,240.0,231.96,234.11,89247.90245
2020-05-24,234.12,237.48,222.41,223.0,91313.85972
2020-05-25,222.91,233.28,220.96,230.55,80902.6915
2020-05-26,230.56,231.27,223.91,228.01,68127.54164
2020-05-27,228.0,234.8,227.03,232.85,74807.73248
2020-05-28,232.85,241.0,228.85,239.86,112645.49877
2020-05-29,239.91,243.99,233.05,238.43,84354.78895
2020-05-30,238.35,253.75,236.2,252.38,129920.53092
2020-05-31,252.41,252.76,236.0,238.69,134759.41776
2020-06-01,238.67,255.0,237.42,253.19,137868.09636
2020-06-02,253.29,269.61,241.67,250.85,264191.59595
2020-06-03,250.86,254.0,246.25,253.23,95425.52108
2020-06-04,253.17,260.92,247.5,256.18,151733.53413
2020-06-05,256.17,263.45,254.49,256.05,116026.08527
2020-06-06,256.11,258.26,250.88,253.23,90657.05023
2020-06-07,253.21,255.78,245.22,253.56,95042.9939
2020-06-08,253.56,256.72,251.3,255.24,63486.19609
2020-06-09,255.3,257.15,250.5,254.05,59892.0129
2020-06-10,254.02,258.76,250.6,256.94,83425.14722
2020-06-11,256.95,258.0,231.28,234.74,128129.81168
2020-06-12,234.73,243.66,233.08,240.85,62740.15513
2020-06-13,240.85,242.25,237.29,240.69,38019.76311
2020-06-14,240.7,240.84,234.93,237.48,40676.31486
2020-06-15,237.47,238.32,224.41,235.64,99741.29236
2020-06-16,235.64,239.0,232.5,237.46,57655.10926
2020-06-17,237.47,246.0,235.06,240.39,80189.7269
2020-06-18,240.4,240.7,232.53,236.04,52913.4817
2020-06-19,236.05,236.54,230.46,233.39,64051.95688
2020-06-20,233.39,235.19,228.62,232.8,67102.65437
2020-06-21,232.8,234.16,229.71,230.31,49052.6883
2020-06-22,230.33,243.98,229.75,241.03,101177.89114
2020-06-23,241.04,244.45,239.18,240.69,80116.62369
2020-06-24,240.68,245.62,229.34,232.8,118724.24935
2020-06-25,232.72,235.09,226.23,232.45,72028.67203
2020-06-26,232.45,233.72,228.13,230.65,75857.14051
2020-06-27,230.72,231.57,204.77,216.37,108856.82037
2020-06-28,216.34,225.41,213.4,222.67,56776.29096
2020-06-29,222.67,227.5,218.28,225.28,82675.06258
2020-06-30,225.33,226.1,220.44,222.12,51309.43015
2020-07-01,222.11,226.76,220.56,223.78,80148.4913
2020-07-02,223.77,225.83,217.11,219.65,88532.96078
2020-07-03,219.63,223.8,218.96,220.73,55468.82889
2020-07-04,220.71,226.86,220.19,225.26,60882.28994
2020-07-05,225.26,225.87,214.52,222.23,69746.31975
2020-07-06,222.24,243.59,221.7,242.34,137713.99269
2020-07-07,242.35,244.39,235.0,237.83,96506.70511
2020-07-08,237.84,245.98,235.93,243.31,114603.48673
2020-07-09,243.29,245.68,232.99,238.13,115469.48625
2020-07-10,238.15,240.35,232.5,238.38,82400.94045
2020-07-11,238.41,239.4,234.61,236.59,46642.73413
2020-07-12,236.59,239.36,231.82,237.42,62877.75601
2020-07-13,237.44,237.89,223.83,232.19,121159.41214
2020-07-14,232.15,232.2,226.38,230.12,80836.42813
2020-07-15,230.12,230.8,225.91,227.4,62972.02102
2020-07-16,227.42,228.09,216.55,224.21,86708.8202
2020-07-17,224.21,225.6,221.88,222.6,55534.17203
2020-07-18,222.59,226.63,222.18,224.33,40614.60292
2020-07-19,224.33,228.85,220.14,227.73,60296.56938
2020-07-20,227.78,228.5,220.73,222.76,51299.41373
2020-07-21,222.76,232.5,222.22,230.34,84436.48163
2020-07-22,230.34,239.93,227.66,239.8,94442.91567
2020-07-23,239.8,243.05,234.43,238.39,103466.54674
2020-07-24,238.33,238.97,232.49,235.03,84930.96483
2020-07-25,235.04,253.58,234.77,251.22,170214.47421
2020-07-26,251.24,257.29,244.03,247.45,156020.64078
2020-07-27,247.47,275.28,247.04,268.62,274806.43059
2020-07-28,268.61,297.44,264.45,288.94,307746.91186
2020-07-29,288.92,294.5,284.95,287.69,184409.18378
2020-07-30,287.69,300.29,280.55,291.62,188439.29175
2020-07-31,291.62,306.56,287.0,300.5,157367.52645
2020-08-01,300.48,321.19,298.0,319.39,224854.8837
2020-08-02,319.38,337.9,235.5,284.1,430392.32288
2020-08-03,284.1,304.69,278.99,296.77,207048.17314
2020-08-04,296.79,303.14,281.02,288.07,153926.10948
2020-08-05,288.07,298.25,284.0,293.5,191543.19554
2020-08-06,293.56,320.0,287.33,309.0,269135.29624
2020-08-07,309.0,326.33,277.06,302.2,322693.60595
2020-08-08,302.2,309.58,297.07,305.33,160729.77705
