Date,Open,High,Low,Close,Volume
2020-04-25,0.2848,0.327,0.2847,0.3122,2813944.86
2020-04-26,0.3122,0.3516,0.3122,0.3333,3134057.41
2020-04-27,0.3337,0.3499,0.3068,0.3249,2004650.78
2020-04-28,0.3237,0.345,0.3132,0.3284,1323491.48
2020-04-29,0.3285,0.359,0.3269,0.345,1589981.86
2020-04-30,0.3434,0.385,0.3162,0.3232,2310390.42
2020-05-01,0.3228,0.3549,0.3206,0.3435,1402008.32
2020-05-02,0.3429,0.378,0.3371,0.3638,2303002.11
2020-05-03,0.3638,0.3787,0.33,0.3395,2023739.1
2020-05-04,0.3395,0.35,0.3162,0.3356,1363181.33
2020-05-05,0.3364,0.3478,0.321,0.3301,878945.75
2020-05-06,0.3304,0.3447,0.3263,0.3307,837533.82
2020-05-07,0.3295,0.3432,0.3193,0.3425,741527.77
2020-05-08,0.341,0.343,0.322,0.3343,922876.06
2020-05-09,0.3336,0.3418,0.3242,0.3331,796023.4
2020-05-10,0.3331,0.3331,0.2684,0.287,2084565.13
2020-05-11,0.287,0.3142,0.2461,0.276,1435603.28
2020-05-12,0.2757,0.2954,0.2706,0.2884,724494.82
2020-05-13,0.2915,0.3166,0.2859,0.312,954942.61
2020-05-14,0.312,0.321,0.3018,0.3075,1162010.67
2020-05-15,0.3078,0.3251,0.2963,0.3065,684999.36
2020-05-16,0.3065,0.3211,0.303,0.3175,555935.7
2020-05-17,0.3155,0.3438,0.3136,0.3359,1358466.6
2020-05-18,0.3346,0.368,0.3338,0.3407,1371265.76
2020-05-19,0.3403,0.3536,0.327,0.344,1419046.13
2020-05-20,0.3447,0.3548,0.3254,0.3379,1182078.8
2020-05-21,0.3378,0.3402,0.3067,0.32,854717.8
2020-05-22,0.3176,0.3416,0.316,0.3365,1167526.35
2020-05-23,0.3365,0.3681,0.3346,0.353,1996908.75
2020-05-24,0.3536,0.3659,0.321,0.3242,2101721.04
2020-05-25,0.3242,0.361,0.321,0.3557,1466824.35
2020-05-26,0.3534,0.3769,0.3458,0.3769,1731395.3
2020-05-27,0.3769,0.3789,0.3471,0.3604,1580698.18
2020-05-28,0.3604,0.372,0.3521,0.3617,906673.81
2020-05-29,0.3622,0.388,0.3575,0.3802,1254686.42
2020-05-30,0.3805,0.44,0.3677,0.4147,3609228.15
2020-05-31,0.4145,0.45,0.3949,0.4005,3111106.12
2020-06-01,0.399,0.4686,0.3961,0.4344,1633385.09
2020-06-02,0.4321,0.5299,0.4215,0.4713,6546439.75
2020-06-03,0.4713,0.4974,0.4461,0.469,2106817.4
2020-06-04,0.4673,0.577,0.4635,0.5057,4539288.83
