Date,Open,High,Low,Close,Volume
2021-01-13,8.0,1000.0,8.0,62.75,1808574.964
2021-01-14,62.75,114.0,58.999,92.449,767421.694
2021-01-15,92.271,97.8,70.585,80.008,269043.732
2021-01-16,79.633,81.471,66.89,72.63,176076.678
2021-01-17,72.52,79.349,66.89,76.343,117675.372
2021-01-18,76.342,77.27,70.0,71.11,60133.21
2021-01-19,71.171,72.32,63.456,65.0,66182.827
2021-01-20,65.037,66.007,57.16,63.5,43239.456
2021-01-21,63.7,67.7,57.0,58.185,47479.519
2021-01-22,58.19,62.0,56.0,60.198,32768.792
2021-01-23,60.197,68.058,58.002,60.906,40091.078
2021-01-24,60.808,79.999,60.1,72.22,107187.027
2021-01-25,72.162,75.0,65.5,67.955,45446.282
2021-01-26,67.506,71.0,62.975,69.999,23179.127
2021-01-27,69.999,70.0,60.14,63.031,19239.765
2021-01-28,63.411,68.0,61.722,65.861,23974.802
2021-01-29,65.862,70.0,63.0,65.31,40647.998
2021-01-30,65.31,66.5,63.1,64.537,20418.509
2021-01-31,64.538,72.0,63.831,68.387,34234.792
2021-02-01,68.122,79.9,64.36,71.554,108694.379
2021-02-02,71.554,78.05,67.973,74.287,25166.057
2021-02-03,74.286,76.9,71.163,74.836,17465.676
2021-02-04,74.853,77.0,70.534,77.0,26469.477
2021-02-05,77.0,90.329,75.0,90.234,38148.567
2021-02-06,90.236,91.189,79.292,84.555,27992.71
2021-02-07,84.555,91.233,71.0,79.458,39205.745
2021-02-08,79.459,87.3,77.34,85.686,19698.86
2021-02-09,85.686,98.0,84.827,95.631,28244.241
2021-02-10,95.65,157.28,94.68,145.212,141642.231
2021-02-11,145.777,214.875,143.92,158.729,193460.806
2021-02-12,158.003,179.0,145.9,160.775,56643.393
2021-02-13,160.77,167.0,142.0,143.58,85304.703
2021-02-14,143.605,156.0,132.592,147.806,40833.907
2021-02-15,147.805,148.31,131.51,140.526,27479.154
2021-02-16,140.756,206.0,137.0,189.679,145275.743
2021-02-17,190.207,263.0,175.0,213.1,287997.515
2021-02-18,213.05,247.907,200.68,216.734,88438.472
2021-02-19,217.863,240.391,206.0,230.265,67103.194
2021-02-20,230.996,230.999,200.0,209.513,41684.144
2021-02-21,209.0,356.452,203.0,279.415,253573.574
2021-02-22,279.707,339.94,250.0,308.414,158329.413
2021-02-23,308.415,387.3,258.0,356.13,238377.814
2021-02-24,356.13,497.0,333.138,452.999,250453.806
2021-02-25,453.844,494.5,371.0,372.981,100920.771
2021-02-26,372.981,395.0,305.479,364.675,102550.632
2021-02-27,364.03,430.0,352.836,357.622,60324.582
2021-02-28,357.622,360.072,276.9,310.978,62554.73
2021-03-01,311.607,388.68,310.024,364.372,62477.951
2021-03-02,364.342,369.8,308.0,331.5,36108.463
2021-03-03,331.799,350.0,310.641,315.052,39596.263
2021-03-04,315.053,325.468,295.762,306.013,38329.397
2021-03-05,306.027,336.0,280.1,309.801,49096.383
2021-03-06,309.213,324.11,299.0,310.176,21753.41
2021-03-07,310.374,328.88,310.0,318.712,22136.029
2021-03-08,318.71,365.721,311.401,338.728,55662.374
2021-03-09,338.999,356.0,336.666,349.364,28272.267
2021-03-10,349.354,354.843,315.014,318.245,28632.359
2021-03-11,318.793,341.0,300.0,313.192,52433.602
2021-03-12,313.3,320.295,280.0,298.698,25112.814
2021-03-13,298.698,336.086,284.6,324.909,30715.47
2021-03-14,324.744,444.0,319.0,373.033,76461.269
2021-03-15,374.808,378.0,346.11,374.996,21915.645
2021-03-19,37.499,88.0,36.511,48.278,4637623.816
2021-03-20,48.3,55.0,45.0,47.559,1222165.492
2021-03-21,47.496,47.825,39.135,39.195,848848.431
2021-03-22,39.196,43.242,36.202,36.981,745982.382
2021-03-23,36.938,39.4,33.5,34.0,414577.692
2021-03-24,34.0,39.0,31.777,32.153,494557.184
2021-03-25,32.155,32.988,28.0,30.204,442055.909
2021-03-26,30.204,38.888,30.006,33.517,654529.883
2021-03-27,33.407,34.5,31.6,33.198,290582.301
2021-03-28,33.2,34.947,32.341,33.578,219146.631
2021-03-29,33.586,34.997,32.7,33.869,211187.676
2021-03-30,33.869,36.8,33.261,35.937,346166.29
2021-03-31,35.937,35.968,32.1,33.056,240679.081
2021-04-01,33.14,34.092,31.389,33.527,260527.89
2021-04-02,33.677,35.496,32.539,34.068,319135.665
2021-04-03,34.067,47.399,33.55,39.25,1498870.226
2021-04-04,39.372,54.175,37.834,47.2,1275600.272
2021-04-05,47.201,63.2,46.052,62.2,1135071.767
2021-04-06,62.284,68.0,52.806,65.32,1386236.444
2021-04-07,65.321,65.345,52.51,56.315,554380.398
2021-04-08,56.368,58.027,50.0,53.335,495122.725
2021-04-09,53.337,55.0,48.146,53.923,359831.857
2021-04-10,53.923,65.222,53.373,61.19,863912.105
2021-04-11,61.138,61.906,56.214,58.056,327641.572
2021-04-12,58.104,92.999,57.921,82.276,2280401.167
2021-04-13,82.024,92.828,77.102,80.985,1374608.18
2021-04-14,80.98,89.5,74.931,86.464,669712.098
2021-04-15,86.464,92.5,82.702,87.299,639425.369
2021-04-16,87.154,89.3,75.0,75.084,667619.882
2021-04-17,75.084,82.56,73.111,81.973,482371.991
2021-04-18,81.973,81.99,60.55,68.088,604646.758
2021-04-19,68.091,74.496,61.49,65.003,455481.291
2021-04-20,65.003,73.0,61.163,72.0,422502.978
2021-04-21,71.919,76.0,65.338,66.431,457705.132
2021-04-22,66.345,71.935,60.204,63.414,453790.204
2021-04-23,63.269,65.787,54.821,60.579,476253.324
2021-04-24,60.634,61.1,55.0,55.453,159955.751
