Date,Open,High,Low,Close,Volume
2021-03-29,1.289,1.85,1.278,1.379,34246175.077
2021-03-30,1.379,1.388,1.22,1.281,14617055.242
2021-03-31,1.281,1.308,1.1,1.117,15637158.635
2021-04-01,1.118,1.191,1.003,1.023,14297486.098
2021-04-02,1.022,1.18,1.001,1.128,11120671.243
2021-04-03,1.128,1.134,1.021,1.029,6378065.664
2021-04-04,1.024,1.16,1.021,1.138,6932963.41
2021-04-05,1.137,1.277,1.101,1.222,12212197.067
2021-04-06,1.225,1.24,1.09,1.142,5475684.432
2021-04-07,1.142,1.177,1.074,1.129,6818967.995
2021-04-08,1.129,1.31,1.114,1.274,12283085.771
2021-04-09,1.274,1.371,1.243,1.266,6872834.14
2021-04-10,1.266,1.33,1.22,1.236,5635549.717
2021-04-11,1.235,1.264,1.18,1.207,3879483.171
2021-04-12,1.206,1.264,1.172,1.202,4640536.583
2021-04-13,1.202,1.209,1.1,1.127,5887276.796
2021-04-14,1.127,1.155,1.069,1.141,5527962.05
2021-04-15,1.142,1.2,1.098,1.108,6713811.72
2021-04-16,1.107,1.137,1.051,1.075,5346312.559
2021-04-17,1.073,1.119,1.026,1.05,5878298.181
2021-04-18,1.05,1.051,0.8,0.972,11601766.086
2021-04-19,0.97,1.2,0.96,1.067,15522079.168
2021-04-20,1.066,1.107,0.937,1.043,7066010.295
2021-04-21,1.043,1.043,0.937,0.942,5340811.62
2021-04-22,0.942,1.034,0.9,0.904,6490566.596
2021-04-23,0.904,0.905,0.779,0.869,4860712.137
2021-04-24,0.868,0.926,0.826,0.84,2742374.171
