Date,Open,High,Low,Close,Volume
2020-04-25,0.006735,0.006987,0.00665,0.006787,39034548.0
2020-04-26,0.006732,0.0069,0.006681,0.006837,53067065.0
2020-04-27,0.006837,0.007332,0.006736,0.007106,144867198.0
2020-04-28,0.007106,0.00733,0.006989,0.007262,63422531.0
2020-04-29,0.007261,0.007486,0.00705,0.00743,120150745.0
2020-04-30,0.00743,0.007807,0.006967,0.00719,99019519.0
2020-05-01,0.007189,0.007716,0.007189,0.007504,43786081.0
2020-05-02,0.007506,0.00794,0.007301,0.007925,96976764.0
2020-05-03,0.007894,0.0081,0.007501,0.007627,66184845.0
2020-05-04,0.007627,0.008561,0.007377,0.008507,204884668.0
2020-05-05,0.008496,0.0097,0.00813,0.009371,279495332.0
2020-05-06,0.009371,0.0113,0.009371,0.010384,489689581.0
2020-05-07,0.010415,0.012348,0.009436,0.00989,739056399.0
2020-05-08,0.00989,0.010744,0.00975,0.009896,171185556.0
2020-05-09,0.009892,0.009992,0.00926,0.00926,122866717.0
2020-05-10,0.009285,0.00929,0.007741,0.00834,157158746.0
2020-05-11,0.00834,0.009157,0.008002,0.008632,146904771.0
2020-05-12,0.00865,0.0094,0.008586,0.009113,96433014.0
2020-05-13,0.009113,0.01031,0.009112,0.010053,153333432.0
2020-05-14,0.010074,0.010163,0.0095,0.009804,112756906.0
2020-05-15,0.009801,0.009844,0.00915,0.00932,70918234.0
2020-05-16,0.009323,0.009863,0.009151,0.009771,59271665.0
2020-05-17,0.009757,0.009897,0.00956,0.009601,53705318.0
2020-05-18,0.009601,0.00976,0.009347,0.009601,69819388.0
2020-05-19,0.009649,0.009736,0.009356,0.00958,37688649.0
2020-05-20,0.009625,0.009949,0.0093,0.009636,75935849.0
2020-05-21,0.009636,0.009667,0.008695,0.008996,58497198.0
2020-05-22,0.009004,0.009557,0.008841,0.009499,44155065.0
2020-05-23,0.00947,0.0096,0.009296,0.009457,27705365.0
2020-05-24,0.009385,0.009899,0.008999,0.009136,76285319.0
2020-05-25,0.009105,0.010199,0.008971,0.009916,142699884.0
2020-05-26,0.009891,0.010257,0.00945,0.009897,112811773.0
2020-05-27,0.009912,0.01025,0.009611,0.009902,92005787.0
2020-05-28,0.009902,0.0104,0.009813,0.010147,92989758.0
2020-05-29,0.010145,0.011254,0.010005,0.010961,175278657.0
2020-05-30,0.01096,0.011367,0.010606,0.011079,105579828.0
2020-05-31,0.011045,0.0117,0.010563,0.010732,134154974.0
2020-06-01,0.010667,0.011399,0.010628,0.0113,78613993.0
2020-06-02,0.011298,0.0118,0.010012,0.011545,182009915.0
2020-06-03,0.011559,0.012284,0.011456,0.012106,155268740.0
2020-06-04,0.01211,0.012547,0.0116,0.012422,87718702.0
2020-06-05,0.012438,0.012993,0.0121,0.012386,118198956.0
2020-06-06,0.012336,0.012545,0.01195,0.012167,65077644.0
2020-06-07,0.012145,0.012261,0.011452,0.012125,69426358.0
2020-06-08,0.012126,0.012384,0.012,0.012234,34488804.0
2020-06-09,0.012185,0.012794,0.011903,0.012532,76279023.0
2020-06-10,0.012533,0.012662,0.0121,0.012445,58441948.0
2020-06-11,0.012445,0.012647,0.010748,0.01128,103676510.0
2020-06-12,0.011251,0.011986,0.01122,0.011903,54918609.0
2020-06-13,0.011903,0.012368,0.0117,0.012311,44707909.0
2020-06-14,0.01231,0.012345,0.011515,0.011655,34943224.0
2020-06-15,0.011653,0.012154,0.011025,0.011879,68344660.0
