Date,Open,High,Low,Close,Volume
2020-10-27,0.77,4.8,0.77,1.3644,16159838.29
2020-10-28,1.3582,1.3876,0.88,0.9965,6727531.82
2020-10-29,0.9965,1.185,0.7822,0.9967,7302733.98
2020-10-30,0.9968,1.0709,0.8,0.8818,3805578.55
2020-10-31,0.8816,0.9372,0.8334,0.8645,1092528.51
2020-11-01,0.8637,0.8849,0.773,0.8296,1837288.18
2020-11-02,0.8308,0.86,0.7701,0.847,2962241.96
2020-11-03,0.847,0.9,0.6901,0.7491,8002521.32
2020-11-04,0.7576,0.7632,0.7207,0.747,3143362.84
2020-11-05,0.7501,0.77,0.7063,0.7603,2887717.71
2020-11-06,0.7572,0.8398,0.7001,0.78,3805217.67
2020-11-07,0.78,0.86,0.74,0.7933,4774610.65
2020-11-08,0.7893,0.8967,0.7612,0.8358,4538974.9
2020-11-09,0.8353,0.994,0.788,0.8959,4242409.25
2020-11-10,0.8965,0.9492,0.87,0.9269,2903930.21
2020-11-11,0.9269,0.9496,0.8818,0.902,1106026.92
2020-11-12,0.9019,0.98,0.881,0.9246,1297966.2
2020-11-13,0.9227,1.0431,0.919,1.0417,2320871.14
2020-11-14,1.0405,1.0797,0.9433,1.0487,3691506.23
2020-11-15,1.0463,1.2985,1.0063,1.2116,3681184.76
2020-11-16,1.212,1.3499,1.1227,1.2225,6722612.62
2020-11-17,1.2251,1.27,1.083,1.1683,4662941.11
2020-11-18,1.1682,1.1803,0.9944,1.147,4914606.26
2020-11-19,1.147,1.3246,1.113,1.1592,5736334.33
2020-11-20,1.159,1.4199,1.1243,1.3578,5594292.97
2020-11-21,1.3578,1.461,1.2271,1.3595,5063130.31
2020-11-22,1.362,1.4,1.0884,1.1664,3666131.87
2020-11-23,1.1664,1.2599,1.1359,1.1938,3263898.76
2020-11-24,1.1946,1.2298,1.0465,1.1272,3229453.77
2020-11-25,1.1261,1.1774,1.0932,1.1297,2508414.79
2020-11-26,1.1298,1.1499,0.9,1.0503,2612807.64
2020-11-27,1.0562,1.0888,0.9718,1.0048,1873342.86
2020-11-28,1.0048,1.0949,0.9976,1.0248,1959681.52
2020-11-29,1.0248,1.19,1.011,1.187,1366228.35
2020-11-30,1.1871,1.1977,1.0964,1.136,1605006.58
2020-12-01,1.1361,1.2874,1.07,1.1812,4296140.26
2020-12-02,1.184,1.31,1.157,1.2362,4454303.3
2020-12-03,1.235,1.3599,1.2016,1.247,5026739.74
2020-12-04,1.2466,1.3053,1.0121,1.033,5039249.97
2020-12-05,1.0313,1.1049,1.0,1.0581,2799315.55
2020-12-06,1.0581,1.09,1.012,1.0272,1981578.12
2020-12-07,1.028,1.1203,1.016,1.0807,2893582.1
2020-12-08,1.081,1.2953,1.0303,1.167,8638069.93
2020-12-09,1.167,1.1995,1.046,1.1383,6920928.07
2020-12-10,1.137,1.1865,1.059,1.0832,4228151.61
2020-12-11,1.0838,1.0863,0.9487,0.9638,5138400.96
2020-12-12,0.9638,1.0266,0.9606,0.9911,2599010.05
2020-12-13,0.9911,1.0263,0.9552,0.993,2832691.43
2020-12-14,0.9929,0.9948,0.955,0.9813,1564551.04
2020-12-15,0.9812,0.9961,0.9581,0.9761,1568153.2
2020-12-16,0.9761,1.0551,0.9631,0.9921,3642489.11
2020-12-17,0.9922,1.0523,0.9745,1.0146,3982262.13
2020-12-18,1.0159,1.1,0.9825,1.0232,4146425.29
2020-12-19,1.0232,1.194,0.983,1.0188,11554044.36
2020-12-20,1.0188,1.02,0.9141,0.9275,3121388.39
2020-12-21,0.9275,0.9727,0.8101,0.864,4088082.87
2020-12-22,0.864,0.9469,0.8332,0.9312,2371283.34
2020-12-23,0.9312,1.08,0.8101,0.8426,8560384.79
2020-12-24,0.8404,0.8686,0.7851,0.8657,2148371.3
2020-12-25,0.8655,0.8838,0.7947,0.8192,1585285.91
2020-12-26,0.8176,1.076,0.78,0.804,10778150.66
2020-12-27,0.804,0.8519,0.785,0.8041,4600136.01
2020-12-28,0.8049,0.8563,0.8004,0.8239,4251024.38
2020-12-29,0.8245,0.8615,0.8,0.8278,5208711.08
2020-12-30,0.8277,0.8458,0.7951,0.8454,4390969.92
2020-12-31,0.8456,0.8616,0.8145,0.8485,2205934.55
2021-01-01,0.8482,0.9099,0.8368,0.8697,1304225.6
2021-01-02,0.8697,0.9278,0.8457,0.8754,1397798.8
2021-01-03,0.8757,0.93,0.8632,0.9254,1930917.67
2021-01-04,0.9257,1.0789,0.8706,0.9786,5840350.69
2021-01-05,0.9786,1.3012,0.8792,0.9178,16460070.89
2021-01-06,0.918,0.9997,0.9024,0.9446,12613469.18
2021-01-07,0.9446,0.9725,0.8323,0.9006,11607424.45
2021-01-08,0.9006,0.9199,0.848,0.9026,5273795.77
2021-01-09,0.9025,0.9571,0.8755,0.9208,4652917.32
2021-01-10,0.9209,0.985,0.87,0.9133,5922695.02
2021-01-11,0.914,0.9164,0.793,0.869,5756708.09
2021-01-12,0.8686,0.9069,0.8349,0.8894,4052494.92
2021-01-13,0.8893,0.96,0.8652,0.9473,2409112.42
2021-01-14,0.947,1.01,0.9261,0.999,1835305.64
2021-01-15,0.999,1.0225,0.934,1.008,2531534.98
2021-01-16,1.0082,1.1052,0.9864,1.0437,2554005.98
2021-01-17,1.0436,1.143,0.987,1.11,2090720.66
2021-01-18,1.1105,1.1815,1.0218,1.1809,3562447.12
2021-01-19,1.1799,1.182,1.09,1.0933,1875495.26
2021-01-20,1.0936,1.29,1.0094,1.236,2804138.38
2021-01-21,1.2363,1.575,0.91,0.9264,26884472.98
2021-01-22,0.9325,1.05,0.86,0.9901,29666908.43
2021-01-23,0.9903,1.0478,0.96,1.0039,8441723.35
2021-01-24,1.0039,1.0718,0.9765,1.0198,8108500.08
2021-01-25,1.0196,1.0343,0.9092,0.9324,8043217.45
2021-01-26,0.9334,0.97,0.9049,0.9442,3981911.8
2021-01-27,0.9442,0.9445,0.81,0.8828,14312377.27
2021-01-28,0.8829,0.9576,0.8588,0.9395,5438841.59
2021-01-29,0.9394,0.949,0.8578,0.9011,6447611.69
2021-01-30,0.9007,0.9354,0.8787,0.9188,4658412.54
2021-01-31,0.919,0.9647,0.8901,0.9186,4612526.02
2021-02-01,0.9186,0.9989,0.8953,0.9784,5410214.61
2021-02-02,0.9783,1.0329,0.957,0.9818,4902904.43
2021-02-03,0.9815,1.0431,0.9772,1.0196,5404286.28
2021-02-04,1.0196,1.0391,0.9214,1.0,6505124.36
2021-02-05,0.9999,1.25,0.9999,1.1998,8636241.79
2021-02-06,1.1998,1.22,1.05,1.166,5411700.77
2021-02-07,1.1664,1.32,1.1202,1.2601,7243280.98
2021-02-08,1.2594,1.84,1.2457,1.7246,13009997.17
2021-02-09,1.7257,1.9512,1.6358,1.792,11310136.23
2021-02-10,1.7908,2.4,1.7,2.2151,18178781.65
2021-02-11,2.2121,2.45,1.98,2.1098,7529478.43
2021-02-12,2.1131,2.5668,2.055,2.3092,7462597.48
2021-02-13,2.3125,2.566,2.1,2.3708,7898413.96
2021-02-14,2.3746,2.5,2.0046,2.0834,5468540.56
2021-02-15,2.0822,2.1487,1.4602,1.8867,9505463.43
2021-02-16,1.8867,2.0,1.7467,1.8647,3264106.12
2021-02-17,1.8664,2.33,1.6584,2.1934,6238250.89
2021-02-18,2.1967,2.3333,2.018,2.2387,5196749.28
2021-02-19,2.2407,2.7,2.1109,2.6942,6834306.4
2021-02-20,2.6948,2.73,1.8649,2.1102,6167758.85
2021-02-21,2.1102,2.2891,2.0,2.1177,5056013.84
2021-02-22,2.1192,2.1263,1.5,1.9219,6524223.5
2021-02-23,1.9218,1.9367,1.28,1.6036,7989433.26
2021-02-24,1.6021,1.8301,1.4837,1.7382,4474470.46
2021-02-25,1.7382,1.9415,1.6599,1.6818,4603191.8
2021-02-26,1.6811,1.78,1.4736,1.6444,4816101.58
2021-02-27,1.6424,1.8,1.6309,1.6734,2085496.0
2021-02-28,1.6748,1.6932,1.4378,1.5623,2489771.44
2021-03-01,1.5613,1.734,1.5574,1.7126,1829160.3
2021-03-02,1.7134,1.808,1.622,1.7774,3236164.47
2021-03-03,1.7771,1.8699,1.7153,1.7658,1996593.16
2021-03-04,1.7655,1.9501,1.7333,1.8676,4390500.14
2021-03-05,1.8673,1.9195,1.6591,1.7145,2848005.28
2021-03-06,1.7156,1.8653,1.6993,1.8309,2563638.67
2021-03-07,1.8332,2.1748,1.8301,2.1544,5273491.72
2021-03-08,2.1565,2.199,1.9487,2.0932,2986828.58
2021-03-09,2.0942,2.3,2.0561,2.2344,3605461.85
2021-03-10,2.2356,2.38,2.0222,2.1232,3893393.03
2021-03-11,2.1232,2.35,2.021,2.1843,4039254.62
2021-03-12,2.1872,2.54,2.1481,2.2423,5846015.14
2021-03-13,2.2423,2.81,2.1172,2.5926,8175365.8
2021-03-14,2.5926,2.6962,2.3695,2.39,3801178.68
2021-03-15,2.39,2.9455,2.2,2.5653,12059728.36
2021-03-16,2.5626,2.5852,2.3098,2.491,4636627.96
2021-03-17,2.4913,2.642,2.31,2.5096,3984574.03
2021-03-18,2.5112,2.7,2.4689,2.5842,3819165.46
2021-03-19,2.5842,2.7846,2.4573,2.7309,2846598.51
2021-03-20,2.7309,2.8501,2.5097,2.52,2506653.09
2021-03-21,2.52,2.5797,2.3759,2.4546,2245181.09
2021-03-22,2.4547,2.86,2.3625,2.6043,4717570.26
2021-03-23,2.6068,2.7073,2.3067,2.3752,3514751.08
2021-03-24,2.3752,2.56,2.0348,2.1048,3514123.77
2021-03-25,2.1031,2.1637,1.94,1.9859,4140227.53
2021-03-26,1.9854,2.395,1.9854,2.3044,4039806.93
2021-03-27,2.3052,2.4,2.187,2.369,2887662.0
2021-03-28,2.3688,2.8908,2.3302,2.6747,6441151.83
2021-03-29,2.6744,2.99,2.6,2.77,4406898.88
2021-03-30,2.7684,2.9747,2.6554,2.8474,4613238.34
2021-03-31,2.8481,2.9747,2.5484,2.7382,3855806.91
2021-04-01,2.739,3.2517,2.61,3.1447,5917919.62
2021-04-02,3.1447,3.2119,2.9137,3.0114,3647858.15
2021-04-03,3.0122,3.835,2.9854,3.383,12782921.64
2021-04-04,3.3816,3.6,3.285,3.555,4232089.15
2021-04-05,3.5573,3.795,3.25,3.4964,5524058.96
2021-04-06,3.497,3.9688,3.4732,3.7849,6506792.78
2021-04-07,3.781,3.9302,3.01,3.2546,6468895.92
2021-04-08,3.2546,3.65,3.2232,3.4061,5773569.44
2021-04-09,3.4058,3.64,3.3271,3.5534,3895303.85
2021-04-10,3.5543,3.6,3.2866,3.3691,2404932.42
2021-04-11,3.3689,3.5592,3.2918,3.4212,2446344.52
2021-04-12,3.4192,3.433,3.1633,3.2298,2369864.94
2021-04-13,3.2292,3.3471,3.0659,3.244,2618725.76
2021-04-14,3.2433,3.3004,3.0136,3.1784,1967779.95
2021-04-15,3.1756,3.4932,3.1181,3.353,2925840.16
2021-04-16,3.3545,3.3752,3.021,3.0754,2215957.4
2021-04-17,3.0752,3.1991,3.0478,3.0626,2176768.94
2021-04-18,3.0615,3.0828,1.9001,2.5151,7000593.19
2021-04-19,2.5156,2.6371,2.1441,2.1874,4776318.04
2021-04-20,2.1881,2.3999,1.9541,2.3178,3930455.3
2021-04-21,2.3174,2.3586,2.1346,2.1456,2495134.6
2021-04-22,2.1463,2.59,2.1055,2.2159,5695123.09
2021-04-23,2.2156,2.2875,1.8262,2.1596,4594882.99
2021-04-24,2.1624,2.5,2.0592,2.3424,4504872.67
