Date,Open,High,Low,Close,Volume
2020-07-30,15.446,22.9,6.002,15.665,2899.779
2020-07-31,15.664,15.8,15.133,15.298,4514.698
2020-08-01,15.298,17.577,15.199,17.177,5597.196
2020-08-02,17.178,25.0,13.998,15.692,13649.931
2020-08-03,15.571,17.175,15.5,16.754,10201.941
2020-08-04,16.753,17.99,15.833,16.325,6714.776
2020-08-05,16.306,17.043,15.909,16.759,8399.971
2020-08-06,16.499,16.796,16.261,16.613,2465.632
2020-08-07,16.482,16.6,15.428,16.022,6256.317
2020-08-08,16.129,16.546,15.922,16.243,3350.943
2020-08-09,16.398,16.703,16.051,16.491,8195.971
2020-08-10,16.483,16.999,16.026,16.745,11718.089
2020-08-11,16.668,16.861,15.46,15.999,11830.159
2020-08-12,15.834,15.985,15.22,15.932,5919.973
2020-08-13,15.95,16.8,15.377,16.762,16046.065
2020-08-14,16.762,21.97,16.29,17.059,25059.151
2020-08-15,17.057,17.384,16.485,16.724,12296.331
2020-08-16,16.717,18.0,16.665,17.5,11538.471
2020-08-17,17.499,18.5,17.061,17.684,14278.273
2020-08-18,17.762,18.16,16.71,16.996,13550.63
2020-08-19,17.001,17.111,16.111,16.687,10817.523
2020-08-20,16.71,17.29,16.433,17.22,5742.265
2020-08-21,17.208,19.25,16.36,17.829,35248.811
2020-08-22,17.765,24.99,17.601,20.901,121704.245
2020-08-23,20.914,21.74,19.212,19.694,22506.257
2020-08-24,19.615,20.75,18.535,19.222,22363.219
2020-08-25,19.222,19.57,16.553,17.511,20336.998
2020-08-26,17.511,19.5,17.253,17.903,7736.113
2020-08-27,17.99,17.997,16.325,16.775,10460.15
2020-08-28,16.774,17.713,16.589,17.406,5931.806
2020-08-29,17.464,17.67,17.0,17.128,16626.428
2020-08-30,17.02,17.447,16.893,17.38,6664.264
2020-08-31,17.405,17.463,16.46,17.062,10079.283
2020-09-01,17.062,17.464,16.643,16.791,14697.262
2020-09-02,16.907,17.021,15.55,15.944,11682.271
2020-09-03,15.945,16.115,13.041,13.257,15841.619
2020-09-04,13.28,14.252,13.109,14.031,12412.166
2020-09-05,14.013,14.638,12.846,13.382,8259.74
2020-09-06,13.381,13.78,12.844,13.703,8162.446
2020-09-07,13.61,13.94,12.8,13.579,9442.175
2020-09-08,13.688,13.745,12.57,13.238,5531.214
2020-09-09,13.238,14.343,12.989,13.728,8985.909
2020-09-10,13.762,14.343,13.67,14.343,6665.21
2020-09-11,14.343,14.843,13.762,14.666,12431.26
2020-09-12,14.545,14.802,14.193,14.666,9889.996
2020-09-13,14.773,14.857,13.556,14.178,10591.116
