Date,Open,High,Low,Close,Volume
2021-03-10,7.25,16.888,7.25,10.649,8652462.142
2021-03-11,10.674,10.726,8.319,9.92,2843584.318
2021-03-12,9.945,11.538,8.45,11.267,1860400.402
2021-03-13,11.344,21.609,10.465,19.73,10785087.556
2021-03-14,19.724,34.7,19.689,25.51,15539920.286
2021-03-15,25.586,31.95,19.212,25.914,8281181.345
2021-03-16,25.986,30.0,21.74,23.277,4044611.819
2021-03-17,23.192,24.765,20.0,21.051,2726082.592
2021-03-18,21.052,23.0,20.307,20.77,1941409.308
2021-03-19,20.77,20.95,18.114,18.951,2157511.951
2021-03-20,18.952,26.841,16.835,20.3,5731974.901
2021-03-21,20.3,24.981,19.502,19.889,4551653.022
2021-03-22,19.887,20.888,17.76,18.202,1716340.025
2021-03-23,18.232,19.957,17.113,17.439,1561379.87
2021-03-24,17.441,19.1,15.86,16.369,1255907.737
2021-03-25,16.434,17.499,14.306,15.092,1132996.13
2021-03-26,15.058,18.889,15.026,17.181,1531930.117
2021-03-27,17.184,18.296,16.01,17.512,1187995.834
2021-03-28,17.513,19.941,17.119,19.229,2275052.115
2021-03-29,19.229,20.2,17.943,18.537,1245549.851
2021-03-30,18.572,19.123,17.5,18.428,991429.258
2021-03-31,18.502,18.7,16.72,16.97,783553.91
2021-04-01,16.971,18.2,16.8,17.785,897586.702
2021-04-02,17.762,18.0,16.5,17.06,662403.692
2021-04-03,17.078,17.19,14.929,14.95,740814.739
2021-04-04,14.951,17.5,14.694,16.928,1016568.525
2021-04-05,16.929,17.8,15.572,16.289,1012117.116
2021-04-06,16.287,16.858,15.394,15.788,570792.622
2021-04-07,15.776,15.96,13.0,13.87,872817.437
2021-04-08,13.96,16.0,13.779,15.102,652791.805
2021-04-09,15.114,19.5,15.0,18.425,2389578.609
2021-04-10,18.435,19.488,16.455,18.098,1963165.108
2021-04-11,18.126,18.88,16.802,17.794,962353.997
2021-04-12,17.822,19.177,17.068,18.619,1036116.436
2021-04-13,18.62,20.489,16.568,17.462,1515827.577
2021-04-14,17.461,17.817,15.567,16.674,815691.334
2021-04-15,16.691,17.2,15.191,16.174,1073055.967
2021-04-16,16.193,16.209,14.444,14.951,1016266.821
2021-04-17,14.947,15.969,14.71,15.08,953796.899
2021-04-18,15.079,15.235,12.025,13.125,966226.862
2021-04-19,13.125,14.599,12.082,12.36,919421.275
2021-04-20,12.363,12.449,10.9,12.431,768233.718
2021-04-21,12.42,12.445,11.13,11.19,764967.347
2021-04-22,11.175,12.51,9.84,10.417,1084648.6
2021-04-23,10.424,11.017,8.484,9.837,1001499.671
2021-04-24,9.839,9.932,8.668,9.201,395817.993
