Date,Open,High,Low,Close,Volume
2020-04-25,2.7068,2.8088,2.64,2.7024,8874935.88
2020-04-26,2.7012,2.7827,2.6728,2.7375,8182933.2
2020-04-27,2.7375,2.8172,2.6801,2.743,12013467.24
2020-04-28,2.743,2.7747,2.6874,2.7614,8622299.02
2020-04-29,2.7609,3.089,2.7551,3.0059,21932316.85
2020-04-30,3.0058,3.1187,2.7477,2.822,19748582.59
2020-05-01,2.8208,2.9296,2.8195,2.8731,8743612.12
2020-05-02,2.8733,2.9485,2.8518,2.9396,6565534.1
2020-05-03,2.9397,3.01,2.7666,2.8387,10310737.04
2020-05-04,2.8384,2.8456,2.6268,2.7687,11585090.53
2020-05-05,2.7692,2.8269,2.7129,2.7706,6468637.44
2020-05-06,2.7698,2.8191,2.6203,2.6522,8130545.08
2020-05-07,2.6522,2.7956,2.5911,2.7572,13462500.24
2020-05-08,2.7573,2.8245,2.6988,2.7518,9488473.4
2020-05-09,2.7521,2.8373,2.7306,2.7516,9218218.11
2020-05-10,2.7516,2.7554,2.2779,2.4434,20142604.27
2020-05-11,2.4435,2.4941,2.267,2.3978,12927072.96
2020-05-12,2.3969,2.4687,2.3938,2.441,7380068.29
2020-05-13,2.4409,2.5577,2.4226,2.5245,7231895.13
2020-05-14,2.5245,2.6515,2.4682,2.6228,11035900.08
2020-05-15,2.6228,2.6639,2.5342,2.5855,11749481.59
2020-05-16,2.5853,2.6837,2.57,2.6361,9973391.3
2020-05-17,2.6362,2.672,2.5931,2.6205,6915989.58
2020-05-18,2.62,2.7486,2.6073,2.6653,11147526.81
2020-05-19,2.6652,2.6683,2.5606,2.6543,7462912.25
2020-05-20,2.653,2.6772,2.5055,2.597,10300961.15
2020-05-21,2.5975,2.6166,2.4059,2.4621,8360653.16
2020-05-22,2.4622,2.6466,2.4408,2.5948,9743621.95
2020-05-23,2.5946,2.6222,2.5436,2.5631,6936985.45
2020-05-24,2.5626,2.6118,2.4855,2.4879,8109723.79
2020-05-25,2.4887,2.5479,2.4475,2.5296,5026473.13
2020-05-26,2.5304,2.5364,2.4568,2.5034,4352859.12
2020-05-27,2.5033,2.577,2.4995,2.5715,5427168.83
2020-05-28,2.5714,2.6194,2.5183,2.612,5577593.35
2020-05-29,2.6113,2.6692,2.5889,2.6144,5998494.71
2020-05-30,2.6147,2.7806,2.5969,2.7715,8054685.59
2020-05-31,2.7717,2.7742,2.6476,2.6731,8793367.4
2020-06-01,2.6722,2.83,2.6624,2.8214,9842934.56
2020-06-02,2.8214,2.8939,2.575,2.6756,13945544.07
2020-06-03,2.6748,2.7098,2.6328,2.6958,6620031.17
2020-06-04,2.6958,2.7483,2.6625,2.7203,6329555.25
2020-06-05,2.7201,2.8703,2.7068,2.8143,9928226.04
2020-06-06,2.8137,2.8461,2.7703,2.7982,6954722.69
2020-06-07,2.7986,2.8288,2.7313,2.8098,6966955.95
2020-06-08,2.8101,2.8174,2.7521,2.7878,5806942.68
2020-06-09,2.788,2.8006,2.685,2.7505,6652406.87
2020-06-10,2.7505,2.7899,2.7055,2.7568,5910175.94
2020-06-11,2.7562,2.7737,2.4251,2.5146,11340411.32
2020-06-12,2.5146,2.6239,2.4876,2.597,6357355.39
2020-06-13,2.597,2.62,2.5521,2.6042,3760241.26
2020-06-14,2.6055,2.6071,2.5237,2.5681,3725316.31
2020-06-15,2.568,2.5703,2.41,2.532,7697502.48
2020-06-16,2.5317,2.5647,2.5214,2.5539,4326837.91
2020-06-17,2.554,2.6067,2.5173,2.5678,6091826.14
2020-06-18,2.5685,2.5756,2.4956,2.5364,4359298.21
2020-06-19,2.536,2.5539,2.5015,2.5254,4672218.85
2020-06-20,2.5253,2.58,2.415,2.5362,5184300.27
2020-06-21,2.5362,2.5529,2.5066,2.514,3712205.79
2020-06-22,2.5137,2.605,2.5103,2.5862,6506047.56
2020-06-23,2.5853,2.5967,2.556,2.5714,4782427.35
2020-06-24,2.5713,2.5976,2.4564,2.502,7256521.58
2020-06-25,2.5016,2.5339,2.4325,2.4799,4596650.78
2020-06-26,2.4798,2.5156,2.3902,2.481,6754320.83
