Date,Open,High,Low,Close,Volume
2021-04-02,4.502,22.5,4.502,6.931,18053501.632
2021-04-03,6.931,8.469,5.685,5.685,8038120.729
2021-04-04,5.685,6.236,5.45,5.674,4729354.439
2021-04-05,5.671,5.699,4.625,4.914,6136051.612
2021-04-06,4.92,5.009,3.841,3.936,4742724.352
2021-04-07,3.929,4.37,3.288,3.511,5871208.02
2021-04-08,3.511,4.0,3.403,3.515,5126688.02
2021-04-09,3.517,5.2,3.466,4.374,16288005.483
2021-04-10,4.374,4.949,3.75,3.842,7969429.375
2021-04-11,3.859,4.399,3.643,4.301,6172168.601
2021-04-12,4.302,4.65,4.1,4.419,5293983.793
2021-04-13,4.419,4.494,3.75,3.945,4444103.166
2021-04-14,3.928,4.01,3.4,3.538,3885223.999
2021-04-15,3.538,3.59,3.3,3.38,4442444.342
2021-04-16,3.38,3.393,2.81,2.905,6095435.53
2021-04-17,2.906,3.12,2.8,2.817,3999475.3
2021-04-18,2.817,2.864,2.18,2.46,4647195.169
2021-04-19,2.46,3.11,2.332,2.465,8809176.955
2021-04-20,2.465,2.708,2.211,2.699,3978899.854
2021-04-21,2.699,2.926,2.25,2.277,4696150.272
2021-04-22,2.278,2.424,1.859,1.933,5522662.384
2021-04-23,1.935,1.971,1.625,1.819,4141584.807
2021-04-24,1.818,1.821,1.575,1.581,2380537.558
