Date,Open,High,Low,Close,Volume
2020-04-25,1.0712,1.0752,1.068,1.0722,247042.15
2020-04-26,1.0722,1.0745,1.0685,1.0724,151831.08
2020-04-27,1.0724,1.0777,1.0694,1.0729,421520.24
2020-04-28,1.0732,1.0777,1.0692,1.0723,281261.06
2020-04-29,1.0732,1.0805,1.067,1.0799,1176385.31
2020-04-30,1.0776,1.0906,1.0704,1.086,1203522.1
2020-05-01,1.086,1.0936,1.0783,1.0914,543037.08
2020-05-02,1.0905,1.098,1.0885,1.0954,496813.57
2020-05-03,1.0931,1.1,1.0858,1.0908,657829.78
2020-05-04,1.091,1.0939,1.0791,1.0869,405309.97
2020-05-05,1.0869,1.0906,1.0721,1.0753,480125.39
2020-05-06,1.0778,1.0816,1.0699,1.0768,647361.61
2020-05-07,1.0734,1.0854,1.0682,1.081,1013353.8
2020-05-08,1.0813,1.087,1.0735,1.082,834247.77
2020-05-09,1.0821,1.0925,1.0786,1.0847,1891339.83
2020-05-10,1.0832,1.0935,1.0731,1.0816,1659891.14
2020-05-11,1.0804,1.0816,1.0682,1.0742,869264.11
2020-05-12,1.0721,1.079,1.072,1.074,418866.45
2020-05-13,1.0755,1.079,1.071,1.071,639234.25
2020-05-14,1.072,1.0788,1.0656,1.078,891594.63
2020-05-15,1.078,1.079,1.0729,1.0762,590380.96
2020-05-16,1.0787,1.0788,1.0745,1.0775,246783.41
2020-05-17,1.0761,1.0798,1.074,1.078,525272.62
2020-05-18,1.0787,1.0851,1.0744,1.0834,725122.28
2020-05-19,1.0834,1.0918,1.0793,1.0885,446320.36
2020-05-20,1.0885,1.0895,1.0788,1.0838,935936.84
2020-05-21,1.0838,1.0911,1.0763,1.0829,1025768.45
2020-05-22,1.0829,1.0858,1.0651,1.08,1042753.48
2020-05-23,1.0769,1.0798,1.0737,1.0746,221924.88
2020-05-24,1.0747,1.0812,1.0716,1.0717,395720.73
2020-05-25,1.0717,1.079,1.0665,1.0718,1307794.46
2020-05-26,1.0752,1.0796,1.0703,1.079,550367.8
2020-05-27,1.079,1.0862,1.076,1.084,576587.65
2020-05-28,1.0823,1.1071,1.0812,1.1054,435637.71
2020-05-29,1.1054,1.107,1.0966,1.1024,304439.22
2020-05-30,1.0989,1.11,1.0966,1.11,390727.84
2020-05-31,1.11,1.1108,1.1025,1.1097,271416.53
2020-06-01,1.1096,1.1301,1.106,1.1265,540224.22
2020-06-02,1.1294,1.1317,1.1008,1.104,902028.86
2020-06-03,1.1065,1.117,1.104,1.117,289661.11
2020-06-04,1.117,1.1304,1.1008,1.126,565648.29
2020-06-05,1.1269,1.1307,1.1143,1.119,296998.88
2020-06-06,1.1165,1.1224,1.1125,1.1185,262210.72
2020-06-07,1.1185,1.1243,1.1104,1.1236,267896.53
2020-06-08,1.1236,1.125,1.1101,1.1205,359961.37
2020-06-09,1.1205,1.1291,1.1151,1.1284,478976.54
2020-06-10,1.1284,1.135,1.1224,1.1326,472998.91
2020-06-11,1.1318,1.1344,1.1161,1.1181,835814.5
2020-06-12,1.1181,1.1289,1.1125,1.1169,365236.61
2020-06-13,1.1169,1.1195,1.1126,1.1184,219596.99
2020-06-14,1.116,1.1244,1.1151,1.1182,206366.35
2020-06-15,1.1182,1.1271,1.1136,1.127,675862.29
2020-06-16,1.1231,1.1283,1.1171,1.1223,332858.96
2020-06-17,1.1223,1.1246,1.1114,1.116,428308.65
2020-06-18,1.116,1.1173,1.1075,1.1147,628736.45
2020-06-19,1.112,1.1165,1.1081,1.1118,459675.26
2020-06-20,1.1118,1.1128,1.1088,1.1123,161792.46
2020-06-21,1.1124,1.1138,1.1105,1.1127,201567.81
2020-06-22,1.1125,1.127,1.1107,1.1243,596333.14
2020-06-23,1.1243,1.128,1.1212,1.1269,466278.35
2020-06-24,1.1269,1.1289,1.1137,1.1176,737745.43
2020-06-25,1.1176,1.1199,1.1124,1.1164,597057.61
2020-06-26,1.1159,1.12,1.1085,1.1136,954404.8
2020-06-27,1.112,1.115,1.1081,1.1106,625455.32
2020-06-28,1.1106,1.1174,1.1105,1.113,338891.24
2020-06-29,1.113,1.1236,1.112,1.1195,401965.45
2020-06-30,1.1195,1.1211,1.1135,1.1166,662242.01
2020-07-01,1.1166,1.1197,1.112,1.1185,863524.58
2020-07-02,1.1159,1.1239,1.115,1.1161,716714.42
2020-07-03,1.1161,1.1193,1.1151,1.1171,636626.66
2020-07-04,1.1171,1.1199,1.1164,1.119,261314.84
2020-07-05,1.119,1.1203,1.1164,1.1184,402007.1
2020-07-06,1.1174,1.1292,1.1174,1.1265,723097.07
2020-07-07,1.1265,1.1326,1.1205,1.1211,1103728.58
2020-07-08,1.1211,1.1281,1.1196,1.1265,2112078.76
2020-07-09,1.1265,1.1303,1.121,1.123,1016349.74
2020-07-10,1.1231,1.1265,1.1197,1.1235,1003289.63
2020-07-11,1.1233,1.1268,1.122,1.1234,494426.56
2020-07-12,1.1245,1.1259,1.1224,1.1249,556787.89
2020-07-13,1.1253,1.1342,1.1236,1.129,1233281.8
2020-07-14,1.1285,1.135,1.1259,1.1339,1276602.48
2020-07-15,1.1339,1.1398,1.1329,1.137,1147683.72
2020-07-16,1.136,1.139,1.1315,1.1333,1566156.62
2020-07-17,1.1333,1.138,1.1319,1.1364,886375.49
2020-07-18,1.1364,1.1375,1.1349,1.1355,306085.98
2020-07-19,1.1355,1.1387,1.1338,1.1387,670905.22
2020-07-20,1.1386,1.1407,1.1346,1.1393,1052417.39
2020-07-21,1.1392,1.1474,1.1358,1.1468,1540293.49
2020-07-22,1.1469,1.153,1.1435,1.1511,1158418.23
2020-07-23,1.1511,1.1564,1.1481,1.1551,899159.67
2020-07-24,1.1549,1.1601,1.1506,1.1575,1036347.4
2020-07-25,1.1597,1.1632,1.1561,1.1588,695072.09
2020-07-26,1.1581,1.1815,1.1572,1.161,1146193.33
2020-07-27,1.1617,1.1878,1.1617,1.1763,1519949.57
2020-07-28,1.1761,1.1827,1.1624,1.1686,1762746.79
2020-07-29,1.1686,1.1777,1.1646,1.1708,1473952.98
2020-07-30,1.1719,1.1805,1.1669,1.1805,1420624.77
2020-07-31,1.1802,1.1922,1.1703,1.1832,2094287.14
2020-08-01,1.1835,1.204,1.171,1.1766,1708933.52
2020-08-02,1.1765,1.1849,1.1666,1.1761,2300633.53
2020-08-03,1.1761,1.1767,1.1655,1.1678,1530539.38
2020-08-04,1.1683,1.1762,1.1655,1.1746,1891895.85
2020-08-05,1.1746,1.185,1.173,1.185,1449834.46
2020-08-06,1.1849,1.185,1.1738,1.1811,1671398.24
2020-08-07,1.1812,1.1813,1.1656,1.1713,2351673.1
2020-08-08,1.1713,1.1738,1.1692,1.1733,1301033.08
2020-08-09,1.1733,1.174,1.1702,1.1717,1080272.93
2020-08-10,1.1717,1.178,1.165,1.1679,1778290.55
2020-08-11,1.1679,1.173,1.165,1.1676,3280406.73
2020-08-12,1.1677,1.1743,1.1647,1.1725,1791086.42
2020-08-13,1.1727,1.1822,1.1718,1.1814,1864996.54
2020-08-14,1.1814,1.1881,1.1704,1.1759,2307848.02
2020-08-15,1.1768,1.1831,1.1742,1.1813,956839.82
2020-08-16,1.1815,1.1817,1.1752,1.1801,1048261.31
2020-08-17,1.1801,1.184,1.1771,1.1807,2395191.38
2020-08-18,1.1806,1.1896,1.1799,1.1877,2263624.12
2020-08-19,1.1879,1.1886,1.176,1.1788,2127288.68
2020-08-20,1.1788,1.1801,1.1737,1.1791,1890091.61
2020-08-21,1.1793,1.1817,1.1695,1.1732,2172431.66
2020-08-22,1.1734,1.1743,1.1704,1.1725,912834.88
2020-08-23,1.1724,1.1743,1.1713,1.1732,718750.15
2020-08-24,1.1732,1.1783,1.1717,1.1731,1579715.57
2020-08-25,1.1731,1.1787,1.1719,1.1766,2863080.02
2020-08-26,1.1766,1.1775,1.1712,1.1769,1937571.07
2020-08-27,1.177,1.1829,1.1703,1.1753,2467680.71
2020-08-28,1.1756,1.1849,1.1751,1.1834,1700625.84
2020-08-29,1.1834,1.1844,1.1821,1.1832,837463.37
2020-08-30,1.1832,1.1857,1.1829,1.1854,1017522.74
2020-08-31,1.1854,1.1891,1.1822,1.1868,1342559.39
2020-09-01,1.1869,1.196,1.1823,1.1872,2742842.07
2020-09-02,1.1872,1.1877,1.173,1.1775,2803733.09
2020-09-03,1.1775,1.1799,1.1664,1.1732,3354495.45
2020-09-04,1.1751,1.1789,1.1681,1.1751,2946815.54
2020-09-05,1.1754,1.18,1.1749,1.1772,2254869.71
2020-09-06,1.1778,1.18,1.1765,1.1772,1725719.39
2020-09-07,1.1774,1.1777,1.173,1.1752,2474819.72
2020-09-08,1.1752,1.1757,1.168,1.1705,2352333.38
2020-09-09,1.1712,1.176,1.1684,1.1733,1688575.03
2020-09-10,1.174,1.1838,1.1735,1.1771,1808153.13
2020-09-11,1.1771,1.1805,1.1755,1.1776,1382916.49
2020-09-12,1.1776,1.1795,1.1759,1.1784,893312.49
2020-09-13,1.1784,1.1808,1.1764,1.1778,1321003.33
2020-09-14,1.1778,1.1855,1.1771,1.1806,1797000.98
2020-09-15,1.1806,1.1838,1.1766,1.1776,2033622.28
2020-09-16,1.1783,1.1814,1.1717,1.1738,2805650.8
2020-09-17,1.1745,1.1796,1.168,1.1787,2851560.13
2020-09-18,1.1787,1.1808,1.1758,1.1777,2695998.49
2020-09-19,1.1776,1.1796,1.1755,1.1789,1176624.92
2020-09-20,1.1789,1.1793,1.1755,1.1785,1027310.26
2020-09-21,1.1786,1.181,1.167,1.1706,2373607.42
2020-09-22,1.1709,1.1718,1.1634,1.1643,2452828.42
2020-09-23,1.1657,1.1662,1.158,1.1599,1803673.77
2020-09-24,1.1599,1.1661,1.1568,1.1621,1749892.23
2020-09-25,1.1652,1.1655,1.1549,1.1595,1330425.86
2020-09-26,1.1593,1.16,1.156,1.1585,410619.81
2020-09-27,1.1567,1.161,1.1552,1.1599,759320.97
2020-09-28,1.1599,1.1641,1.1559,1.1624,1813002.29
2020-09-29,1.1624,1.1707,1.1604,1.1681,2384842.21
2020-09-30,1.1702,1.1718,1.1615,1.166,1699517.13
2020-10-01,1.1692,1.1725,1.1648,1.169,1933164.08
2020-10-02,1.169,1.1722,1.1636,1.1647,1521946.03
2020-10-03,1.1666,1.1691,1.1643,1.1644,442922.16
2020-10-04,1.1663,1.1693,1.1643,1.1693,566124.81
2020-10-05,1.1693,1.1759,1.1653,1.1759,1077818.57
2020-10-06,1.1759,1.1768,1.1668,1.1694,1437610.14
2020-10-07,1.1694,1.176,1.1664,1.1722,1040897.04
2020-10-08,1.1721,1.1756,1.1675,1.1715,1263662.34
2020-10-09,1.1722,1.1792,1.1692,1.1762,1076300.45
2020-10-10,1.1791,1.1871,1.1761,1.1815,792783.24
2020-10-11,1.1835,1.1844,1.1771,1.181,486475.44
2020-10-12,1.181,1.184,1.1722,1.1823,1247858.73
2020-10-13,1.1837,1.1837,1.1659,1.1699,965963.51
2020-10-14,1.1699,1.1772,1.1654,1.1702,1077701.25
2020-10-15,1.1724,1.1757,1.1625,1.1667,1209370.82
2020-10-16,1.1675,1.1714,1.1637,1.1671,907259.03
2020-10-17,1.1672,1.1683,1.1654,1.168,475468.37
2020-10-18,1.168,1.1695,1.1648,1.1664,482809.14
2020-10-19,1.168,1.1789,1.1649,1.1723,1367516.1
2020-10-20,1.174,1.1828,1.1708,1.179,1865662.15
2020-10-21,1.1788,1.1845,1.1766,1.1829,3976052.09
2020-10-22,1.1829,1.1831,1.1759,1.1775,3357540.19
2020-10-23,1.1786,1.1828,1.1749,1.1816,2502229.79
2020-10-24,1.1825,1.1841,1.18,1.1831,1106620.05
