Date,Open,High,Low,Close,Volume
2020-10-20,10.0,10.486,8.8,8.882,135467.1
2020-10-21,8.985,10.5,7.876,10.5,116610.63
2020-10-22,10.648,14.378,9.71,13.35,118363.88
2020-10-23,13.399,16.721,7.75,8.98,186886.4
2020-10-24,9.078,10.261,6.651,7.442,348177.97
2020-10-25,7.442,7.649,1.93,2.658,2758925.68
2020-10-26,2.647,3.54,2.35,3.163,2494233.77
2020-10-27,3.181,3.318,1.39,1.786,5552573.05
2020-10-28,1.789,2.025,1.658,1.842,1637353.12
2020-10-29,1.842,2.02,1.759,1.9,1054870.1
2020-10-30,1.927,2.348,1.924,2.269,1126890.79
2020-10-31,2.269,2.388,1.782,1.959,868954.56
2020-11-01,1.954,2.032,1.85,1.875,692480.74
2020-11-02,1.876,2.166,1.818,2.13,829734.55
2020-11-03,2.13,2.335,2.1,2.181,871107.5
2020-11-04,2.181,2.3,2.077,2.167,898597.23
2020-11-05,2.167,2.247,1.915,2.062,687570.56
2020-11-06,2.081,2.093,1.47,1.657,719158.09
2020-11-07,1.653,1.95,1.46,1.868,881071.98
2020-11-08,1.865,1.909,1.687,1.748,677901.21
2020-11-09,1.754,1.798,1.551,1.674,407050.86
2020-11-10,1.68,1.767,1.632,1.746,305388.6
2020-11-11,1.707,1.826,1.666,1.797,270654.03
2020-11-12,1.813,1.989,1.774,1.851,79575.23
2020-11-13,1.866,1.903,1.774,1.895,100037.78
2020-11-14,1.891,1.99,1.834,1.84,138508.07
2020-11-15,1.874,2.16,1.854,2.108,131322.79
2020-11-16,2.108,2.209,2.039,2.141,172256.66
2020-11-17,2.136,2.152,1.712,1.837,239217.86
2020-11-18,1.8,2.1,1.729,1.874,111597.53
2020-11-19,1.879,1.99,1.805,1.913,81890.42
2020-11-20,1.894,1.898,1.653,1.792,234756.72
2020-11-21,1.79,1.816,1.527,1.685,177973.92
2020-11-22,1.677,1.856,1.65,1.803,172744.7
2020-11-23,1.805,1.834,1.736,1.776,59578.56
2020-11-24,1.784,1.82,1.579,1.718,193148.59
2020-11-25,1.715,1.725,1.094,1.395,1127807.08
2020-11-26,1.406,1.572,1.312,1.501,663531.61
2020-11-27,1.485,1.522,1.44,1.491,198526.76
2020-11-28,1.475,1.499,1.441,1.474,98919.6
2020-11-29,1.473,1.495,1.453,1.479,27734.61
2020-11-30,1.464,1.476,1.401,1.449,93063.38
2020-12-01,1.437,1.499,1.325,1.435,15963.75
2020-12-02,1.464,1.465,1.388,1.428,27223.31
2020-12-03,1.445,1.47,1.429,1.452,37123.72
2020-12-04,1.453,1.591,1.44,1.565,88012.75
2020-12-05,1.582,1.59,1.469,1.499,19899.91
2020-12-06,1.487,1.576,1.485,1.554,11126.61
2020-12-07,1.54,1.541,1.142,1.454,472470.22
2020-12-08,1.443,1.516,1.404,1.492,170207.79
2020-12-09,1.499,1.52,1.366,1.445,218139.31
2020-12-10,1.427,1.451,1.286,1.445,153456.74
2020-12-11,1.448,1.5,1.421,1.5,51702.06
2020-12-12,1.493,1.511,1.462,1.491,17297.58
2020-12-13,1.505,1.507,1.462,1.482,6927.9
2020-12-14,1.497,1.582,1.477,1.561,29154.8
2020-12-15,1.548,1.591,1.513,1.588,54442.36
2020-12-16,1.576,1.699,1.544,1.642,29035.22
2020-12-17,1.642,1.66,1.531,1.641,45098.62
2020-12-18,1.649,1.656,1.595,1.63,32243.92
2020-12-19,1.652,1.688,1.6,1.663,31720.31
2020-12-20,1.669,1.695,1.639,1.66,17859.67
2020-12-21,1.654,2.106,1.63,1.883,266048.82
2020-12-22,1.891,2.031,1.758,1.96,356722.27
2020-12-23,1.96,2.691,1.88,2.39,506775.92
2020-12-24,2.414,2.49,1.973,2.084,147905.69
2020-12-25,2.085,2.195,1.952,1.995,32064.62
2020-12-26,1.998,2.158,1.998,2.14,144234.71
2020-12-27,2.121,2.421,2.114,2.418,59484.09
2020-12-28,2.38,2.46,2.184,2.46,18947.49
2020-12-29,2.412,2.904,2.387,2.829,43673.66
2020-12-30,2.806,2.836,2.42,2.541,69283.16
2020-12-31,2.537,2.624,1.464,1.818,626923.08
2021-01-01,1.803,2.28,1.68,2.207,173050.43
2021-01-02,2.203,2.376,2.032,2.287,155075.29
2021-01-03,2.29,2.458,2.252,2.332,52909.1
2021-01-04,2.352,2.46,2.076,2.365,83211.35
2021-01-05,2.365,2.446,2.188,2.336,44100.59
2021-01-06,2.329,2.361,2.157,2.277,28200.97
2021-01-07,2.273,2.329,2.07,2.277,34651.45
2021-01-08,2.267,2.451,2.249,2.341,26828.0
2021-01-09,2.345,2.42,2.144,2.24,25866.81
2021-01-10,2.282,2.292,1.811,2.006,175802.06
2021-01-11,2.08,2.561,2.069,2.407,74879.51
2021-01-12,2.413,2.561,2.344,2.561,18555.83
2021-01-13,2.556,2.556,2.351,2.425,8436.48
2021-01-14,2.402,2.474,2.289,2.449,18380.56
2021-01-15,2.442,2.5,2.306,2.446,19735.72
2021-01-16,2.44,2.44,1.712,2.188,266322.76
2021-01-17,2.184,2.278,1.569,1.882,790959.71
2021-01-18,1.876,2.045,1.778,2.007,80875.46
2021-01-19,1.998,2.225,1.785,2.202,357199.08
2021-01-20,2.223,2.431,2.152,2.289,39218.14
2021-01-21,2.291,2.607,2.236,2.495,39234.9
2021-01-22,2.546,2.674,2.083,2.268,116867.48
2021-01-23,2.26,2.26,1.984,2.195,72361.5
2021-01-24,2.195,2.27,2.096,2.194,19027.89
2021-01-25,2.189,2.266,2.108,2.266,11235.74
2021-01-26,2.285,2.406,2.216,2.326,18729.83
2021-01-27,2.329,2.542,2.311,2.494,14311.03
2021-01-28,2.496,2.522,2.352,2.388,8138.87
2021-01-29,2.396,2.407,2.171,2.332,48689.1
2021-01-30,2.316,2.408,2.262,2.381,33254.1
2021-01-31,2.391,2.411,2.268,2.352,16063.71
2021-02-01,2.384,2.414,1.935,2.283,854431.75
2021-02-02,2.285,2.381,2.192,2.336,33040.44
2021-02-03,2.338,2.353,2.066,2.198,77044.67
2021-02-04,2.201,2.373,2.141,2.278,65131.33
2021-02-05,2.287,2.324,1.629,1.759,429552.28
2021-02-06,1.759,1.847,1.68,1.802,167354.02
2021-02-07,1.797,1.87,1.759,1.83,122079.37
2021-02-08,1.841,1.861,1.33,1.43,726017.11
2021-02-09,1.427,1.471,0.404,0.548,14154693.52
2021-02-10,0.547,0.813,0.498,0.629,10198318.08
2021-02-11,0.636,0.741,0.52,0.614,4221131.14
2021-02-12,0.615,0.661,0.447,0.527,2656559.91
2021-02-13,0.526,0.651,0.447,0.575,5819944.15
2021-02-14,0.578,0.593,0.323,0.379,12464053.9
2021-02-15,0.378,0.588,0.305,0.386,31550297.68
2021-02-16,0.387,0.47,0.319,0.422,7276241.1
2021-02-17,0.42,0.467,0.339,0.364,4337747.87
2021-02-18,0.363,0.377,0.348,0.365,555612.72
2021-02-19,0.364,0.396,0.362,0.373,897634.68
2021-02-20,0.371,0.394,0.291,0.378,2463071.22
2021-02-21,0.382,0.388,0.343,0.361,836201.49
2021-02-22,0.36,0.615,0.112,0.371,8605293.98
2021-02-23,0.372,0.672,0.372,0.489,6642504.92
2021-02-24,0.489,0.534,0.389,0.452,2237190.48
2021-02-25,0.452,0.52,0.418,0.514,2516062.91
2021-02-26,0.515,0.577,0.455,0.502,3192433.39
2021-02-27,0.502,0.503,0.379,0.407,2349547.23
2021-02-28,0.408,0.506,0.394,0.466,2412747.41
2021-03-01,0.462,0.473,0.348,0.376,4316863.76
2021-03-02,0.376,0.42,0.363,0.389,2094565.41
2021-03-03,0.39,0.394,0.224,0.254,9116248.59
2021-03-04,0.254,0.275,0.242,0.266,2876805.88
2021-03-05,0.269,0.294,0.264,0.267,1297059.11
2021-03-06,0.267,0.287,0.264,0.268,588569.67
2021-03-07,0.267,0.27,0.25,0.255,462081.39
2021-03-08,0.256,0.267,0.25,0.254,315845.58
2021-03-09,0.254,0.259,0.242,0.249,661480.13
2021-03-10,0.251,0.264,0.221,0.247,3244920.17
2021-03-11,0.244,0.259,0.235,0.25,1249108.43
2021-03-12,0.247,0.253,0.206,0.221,4554585.4
2021-03-13,0.222,0.231,0.147,0.159,15301104.21
2021-03-14,0.159,0.159,0.121,0.136,52619667.71
2021-03-15,0.135,0.144,0.124,0.137,41674531.81
2021-03-16,0.136,0.151,0.085,0.085,75598202.81
2021-03-17,0.085,0.088,0.035,0.041,385355406.65
2021-03-18,0.041,0.054,0.04,0.047,291713948.02
2021-03-19,0.046,0.052,0.038,0.042,204387028.99
2021-03-20,0.041,0.044,0.037,0.042,118420931.04
2021-03-21,0.043,0.046,0.041,0.044,99855232.87
2021-03-22,0.044,0.054,0.043,0.051,115651074.42
2021-03-23,0.052,0.058,0.037,0.038,180465307.62
2021-03-24,0.039,0.042,0.03,0.035,233169638.97
2021-03-25,0.036,0.036,0.029,0.033,265588160.14
2021-03-26,0.032,0.032,0.015,0.016,434489689.37
2021-03-27,0.016,0.017,0.013,0.014,511905641.14
2021-03-28,0.014,0.016,0.013,0.016,257961785.71
2021-03-29,0.015,0.016,0.014,0.014,63951466.44
2021-03-30,0.014,0.016,0.009,0.01,306010026.28
2021-03-31,0.01,0.01011,0.004,0.00429,1400179304.6
2021-04-01,0.00428,0.00465,0.00278,0.00403,873313487509.61
2021-04-02,0.00405,0.0053,0.00328,0.00469,2150541901.07
2021-04-03,0.00469,0.00535,0.00415,0.00436,763841591.05
2021-04-04,0.00432,0.00443,0.00335,0.00398,885141310.58
2021-04-05,0.00399,0.0048,0.00368,0.00438,367372938.63
2021-04-06,0.0044,0.00538,0.00425,0.00531,278404096.81
2021-04-07,0.00528,0.00799,0.00524,0.006014,696829104.44
2021-04-08,0.00598,0.006999,0.0058,0.006156,242027745.11
2021-04-09,0.006176,0.00633,0.004138,0.004255,657525849.25
2021-04-10,0.004273,0.004313,0.00355,0.00413,563080251.83
2021-04-11,0.00413,0.00421,0.00375,0.004017,211652439.41
2021-04-12,0.00397,0.004832,0.00385,0.004449,658303554.38
2021-04-13,0.004448,0.004818,0.004311,0.004642,501580891.03
2021-04-14,0.004643,0.0049,0.003727,0.004433,627247830.5
2021-04-15,0.004431,0.00448,0.004009,0.00432,386498714.18
2021-04-16,0.00434,0.004353,0.002922,0.003249,722784846.3
2021-04-17,0.003257,0.003476,0.002988,0.003349,238200121.56
2021-04-18,0.003323,0.004822,0.003284,0.003993,411135452.12
2021-04-19,0.004,0.004267,0.003555,0.004054,273424944.16
2021-04-20,0.004082,0.004545,0.003913,0.004113,263694815.99
2021-04-21,0.004091,0.00444,0.00386,0.004414,196562378.02
2021-04-22,0.004398,0.004617,0.003902,0.00453,332232257.63
2021-04-23,0.004544,0.005425,0.004409,0.004833,489694916.26
2021-04-24,0.004833,0.005331,0.004826,0.005225,105445520.47
