Date,Open,High,Low,Close,Volume
2020-10-20,10.0,11.251,9.252,11.173,23072.75
2020-10-21,11.029,12.501,8.892,8.892,10925.57
2020-10-22,8.733,8.817,5.886,6.336,100462.72
2020-10-23,6.4,8.802,5.008,7.594,202607.3
2020-10-24,7.506,8.799,6.598,8.23,230976.25
2020-10-25,8.219,20.316,8.1,15.673,360773.95
2020-10-26,15.841,17.799,9.86,10.966,220313.51
2020-10-27,10.912,17.394,10.45,16.439,270085.32
2020-10-28,16.419,17.663,13.88,15.65,58246.94
2020-10-29,15.611,16.32,13.992,15.011,41670.12
2020-10-30,15.011,15.011,11.5,12.274,68222.75
2020-10-31,12.073,14.877,11.35,13.925,46736.11
2020-11-01,14.226,14.6,13.4,14.4,43846.49
2020-11-02,14.4,14.825,12.349,12.699,32399.89
2020-11-03,12.567,12.71,10.979,12.089,22961.93
2020-11-04,12.149,12.613,11.393,12.15,11795.9
2020-11-05,12.15,13.5,11.688,12.82,18606.72
2020-11-06,12.705,16.846,12.596,15.241,39864.38
2020-11-07,15.082,16.889,12.41,13.342,41194.49
2020-11-08,13.026,14.61,12.852,14.22,12178.14
2020-11-09,14.023,15.839,13.678,14.786,16438.03
2020-11-10,14.578,15.136,13.913,13.958,32372.1
2020-11-11,14.037,14.657,13.264,13.606,20042.9
2020-11-12,13.503,13.88,12.084,13.0,4730.65
2020-11-13,12.913,13.721,12.69,12.69,7199.2
2020-11-14,12.677,13.114,12.059,13.006,8851.43
2020-11-15,12.991,12.991,10.837,11.256,14089.23
2020-11-16,11.15,11.605,10.684,10.862,18308.19
2020-11-17,10.874,13.776,10.858,12.904,41205.32
2020-11-18,12.94,13.665,11.241,12.766,15661.58
2020-11-19,12.682,13.139,11.9,12.51,11266.13
2020-11-20,12.695,13.99,12.488,12.893,17373.58
2020-11-21,12.877,15.347,12.645,13.948,55731.48
2020-11-22,14.138,14.331,12.654,13.052,13563.9
2020-11-23,13.092,13.6,12.785,13.252,8632.3
2020-11-24,13.208,14.937,12.734,13.775,81506.09
2020-11-25,13.852,19.321,13.583,14.715,159804.82
2020-11-26,14.43,15.783,12.4,13.524,125985.11
2020-11-27,13.621,14.118,12.8,13.501,24592.88
2020-11-28,13.517,14.187,13.28,13.788,24063.59
2020-11-29,13.579,13.945,13.245,13.558,24588.84
2020-11-30,13.711,14.871,13.688,14.189,28660.96
