Date,Open,High,Low,Close,Volume
2021-03-03,3.341,4.399,3.076,3.27,6055813.959
2021-03-04,3.27,3.305,2.919,2.931,2627620.898
2021-03-05,2.931,3.053,2.68,2.85,1530277.907
2021-03-06,2.864,3.0,2.65,2.778,1109274.29
2021-03-07,2.783,2.897,2.721,2.811,797340.178
2021-03-08,2.803,2.839,2.578,2.778,1128064.533
2021-03-09,2.779,3.013,2.749,2.972,1594219.732
2021-03-10,2.981,3.236,2.795,2.917,1960221.261
2021-03-11,2.916,3.05,2.721,2.855,1365209.815
2021-03-12,2.855,3.4,2.73,3.383,2613022.703
2021-03-13,3.396,4.05,3.153,3.667,2441440.972
2021-03-14,3.666,4.08,3.5,3.801,1730864.945
2021-03-15,3.801,4.05,3.222,4.012,1926873.422
2021-03-16,4.016,4.265,3.364,3.513,1624058.948
2021-03-17,3.526,3.797,3.337,3.708,1061312.382
2021-03-18,3.725,3.79,3.546,3.69,643823.208
2021-03-19,3.685,4.88,3.665,4.601,2568403.364
2021-03-20,4.631,4.676,4.14,4.208,866185.652
2021-03-21,4.203,4.506,3.758,3.956,960824.388
2021-03-22,3.971,4.75,3.793,4.177,1298052.131
2021-03-23,4.184,4.557,3.934,4.107,977768.232
2021-03-24,4.104,4.45,3.684,3.736,881921.831
2021-03-25,3.733,4.168,3.447,3.516,985714.482
2021-03-26,3.517,3.879,3.511,3.777,588810.765
2021-03-27,3.774,4.285,3.7,3.958,728424.744
2021-03-28,3.944,4.15,3.788,3.974,732739.137
2021-03-29,3.975,4.43,3.876,4.286,781562.604
2021-03-30,4.286,4.339,3.987,4.033,590146.675
2021-03-31,4.047,4.049,3.663,3.845,746966.232
2021-04-01,3.862,3.877,3.583,3.686,547602.161
2021-04-02,3.688,4.271,3.59,3.633,1311010.079
2021-04-03,3.632,4.05,3.571,3.767,869212.595
2021-04-04,3.753,3.922,3.63,3.793,475946.052
2021-04-05,3.797,3.93,3.652,3.709,580004.854
2021-04-06,3.709,3.86,3.465,3.517,744260.372
2021-04-07,3.516,3.625,3.121,3.319,808692.056
2021-04-08,3.306,3.78,3.28,3.651,612347.649
2021-04-09,3.645,4.076,3.629,3.844,1039464.305
2021-04-10,3.845,3.954,3.504,3.606,864223.598
2021-04-11,3.606,3.725,3.395,3.631,574798.944
2021-04-12,3.639,3.696,3.372,3.498,413297.18
2021-04-13,3.498,3.648,3.311,3.385,537890.514
2021-04-14,3.387,3.4,3.17,3.289,518200.257
2021-04-15,3.282,3.55,3.277,3.491,514054.257
2021-04-16,3.506,3.596,3.122,3.25,527943.474
2021-04-17,3.251,3.455,3.127,3.166,695046.615
2021-04-18,3.167,3.206,2.45,2.794,839019.474
2021-04-19,2.8,3.08,2.354,2.502,673080.114
2021-04-20,2.507,2.7,1.95,2.453,3533692.187
2021-04-21,2.453,2.541,2.244,2.278,661371.823
2021-04-22,2.27,2.5,2.01,2.062,841039.913
2021-04-23,2.065,2.065,1.56,1.844,1723687.054
2021-04-24,1.844,2.0,1.63,1.731,549950.787
