Date,Open,High,Low,Close,Volume
2020-04-25,2.789,2.89,2.769,2.831,50120.551
2020-04-26,2.83,2.875,2.801,2.856,39621.825
2020-04-27,2.871,2.89,2.794,2.887,77442.891
2020-04-28,2.887,2.909,2.843,2.886,76878.765
2020-04-29,2.879,3.196,2.872,3.141,246586.983
2020-04-30,3.135,3.354,3.01,3.093,253703.719
2020-05-01,3.1,3.237,3.1,3.189,93025.069
2020-05-02,3.166,3.212,3.153,3.198,81434.891
2020-05-03,3.203,3.266,3.093,3.152,38886.536
2020-05-04,3.151,3.168,2.996,3.13,53093.45
2020-05-05,3.136,3.199,3.08,3.158,48435.663
2020-05-06,3.159,3.248,3.01,3.019,213416.294
2020-05-07,3.015,3.206,2.96,3.176,157606.195
2020-05-08,3.16,3.203,3.093,3.107,114155.881
2020-05-09,3.096,3.131,3.011,3.021,69522.798
2020-05-10,3.01,3.013,2.668,2.757,273409.613
2020-05-11,2.755,2.844,2.587,2.72,341200.992
2020-05-12,2.725,2.857,2.716,2.808,128145.902
2020-05-13,2.809,2.942,2.795,2.914,69007.215
2020-05-14,2.923,3.054,2.888,3.0,70696.951
2020-05-15,3.003,3.01,2.828,2.869,186673.3
2020-05-16,2.885,2.972,2.856,2.918,22763.803
2020-05-17,2.915,3.05,2.914,2.985,53085.744
2020-05-18,2.999,3.085,2.961,3.031,74452.731
2020-05-19,3.034,3.071,2.948,3.056,177852.428
2020-05-20,3.055,3.062,2.891,2.942,66692.049
2020-05-21,2.932,2.959,2.726,2.791,193725.897
2020-05-22,2.792,2.887,2.769,2.863,175299.906
2020-05-23,2.871,2.91,2.826,2.845,35489.834
2020-05-24,2.836,2.897,2.709,2.709,60417.394
2020-05-25,2.702,2.806,2.685,2.784,55739.557
2020-05-26,2.784,2.826,2.764,2.814,124225.149
2020-05-27,2.814,2.887,2.805,2.866,186076.322
2020-05-28,2.866,2.973,2.831,2.965,103895.664
2020-05-29,2.968,2.995,2.882,2.931,58712.231
2020-05-30,2.93,3.08,2.908,3.047,62421.716
2020-05-31,3.051,3.072,2.913,2.947,41705.266
2020-06-01,2.934,3.175,2.934,3.118,94355.827
2020-06-02,3.127,3.139,2.83,2.937,138933.784
2020-06-03,2.935,3.001,2.892,2.984,33355.903
2020-06-04,2.99,3.019,2.913,2.992,50164.889
2020-06-05,2.988,3.035,2.957,2.965,144293.807
2020-06-06,2.96,3.001,2.936,2.983,43711.172
2020-06-07,2.967,2.989,2.871,2.985,23408.463
2020-06-08,2.981,3.003,2.946,2.999,51117.699
2020-06-09,3.007,3.025,2.917,3.004,29105.465
2020-06-10,2.995,3.04,2.95,2.98,48201.286
2020-06-11,2.98,3.007,2.739,2.806,70333.576
2020-06-12,2.797,2.888,2.785,2.868,57330.359
2020-06-13,2.872,2.897,2.843,2.891,33453.915
2020-06-14,2.891,2.896,2.814,2.846,54732.642
2020-06-15,2.833,3.048,2.76,3.023,197886.743
2020-06-16,3.025,3.06,2.958,3.007,62170.394
2020-06-17,3.011,3.036,2.923,3.027,57503.284
