Date,Open,High,Low,Close,Volume
2020-04-25,0.265,0.2874,0.2615,0.2722,6907820.6
2020-04-26,0.2721,0.3112,0.2713,0.2989,13191422.98
2020-04-27,0.2993,0.301,0.2709,0.2907,7872246.46
2020-04-28,0.2908,0.2913,0.274,0.2839,5613709.48
2020-04-29,0.2838,0.3027,0.2822,0.299,11094750.98
2020-04-30,0.2986,0.309,0.2727,0.2786,11400076.48
2020-05-01,0.2782,0.2935,0.278,0.2841,5623946.52
2020-05-02,0.2841,0.2912,0.281,0.2906,4669206.86
2020-05-03,0.2906,0.2911,0.2672,0.2738,5353777.58
2020-05-04,0.2742,0.2783,0.2555,0.2756,6049026.45
2020-05-05,0.2758,0.2817,0.2674,0.2742,3133117.91
2020-05-06,0.2742,0.2763,0.2601,0.2613,3314396.44
2020-05-07,0.2612,0.285,0.2576,0.2801,5278104.02
2020-05-08,0.2794,0.3231,0.2793,0.3018,23653939.56
2020-05-09,0.3012,0.3091,0.2882,0.2954,6079659.7
2020-05-10,0.2954,0.2958,0.2444,0.2632,10253870.2
2020-05-11,0.2643,0.2694,0.2314,0.2515,8096494.35
2020-05-12,0.2521,0.2675,0.2498,0.264,4391236.78
2020-05-13,0.2635,0.2724,0.259,0.2712,4095357.97
2020-05-14,0.2711,0.2747,0.2629,0.2685,4318773.24
2020-05-15,0.2685,0.2781,0.2564,0.269,6015291.83
2020-05-16,0.2691,0.2789,0.266,0.2725,4097159.94
2020-05-17,0.2721,0.2811,0.2702,0.277,4140495.29
2020-05-18,0.2775,0.29,0.2764,0.2866,4632424.45
2020-05-19,0.2866,0.2985,0.2842,0.2961,8910356.76
2020-05-20,0.2966,0.3578,0.294,0.341,27563358.52
2020-05-21,0.3411,0.3509,0.2874,0.3083,18577608.04
2020-05-22,0.309,0.3356,0.2975,0.3254,12303699.55
2020-05-23,0.3254,0.3297,0.3102,0.3191,7556133.82
2020-05-24,0.3198,0.345,0.2989,0.3033,13611145.84
2020-05-25,0.3032,0.3458,0.2968,0.3318,14568860.0
2020-05-26,0.3325,0.3572,0.3276,0.3408,10048028.47
2020-05-27,0.3409,0.342,0.3221,0.3388,8171782.02
2020-05-28,0.3381,0.3682,0.3371,0.3527,11204767.74
2020-05-29,0.3533,0.368,0.3422,0.3492,7577637.73
2020-05-30,0.3492,0.3597,0.3466,0.3579,5490039.54
2020-05-31,0.3577,0.359,0.3234,0.3272,9309044.07
2020-06-01,0.3274,0.3465,0.3258,0.3423,4830289.72
2020-06-02,0.3422,0.3537,0.3221,0.338,8805897.2
2020-06-03,0.338,0.3415,0.3297,0.339,3322418.09
2020-06-04,0.3391,0.3396,0.3295,0.3347,3945696.35
2020-06-05,0.3344,0.343,0.3323,0.3368,3088066.75
2020-06-06,0.3366,0.3441,0.3331,0.3368,3335235.93
2020-06-07,0.3375,0.3395,0.3229,0.334,2761232.54
