Date,Open,High,Low,Close,Volume
2020-10-21,0.4,1.49,0.18,0.7803,36220748.78
2020-10-22,0.7825,0.827,0.7273,0.7844,4813897.4
2020-10-23,0.7819,1.224,0.7779,1.1838,19189538.3
2020-10-24,1.1904,1.1904,0.9321,0.9466,10111233.89
2020-10-25,0.9503,0.99,0.8431,0.9033,5756111.94
2020-10-26,0.9032,0.9214,0.7646,0.8218,4354886.4
2020-10-27,0.8201,0.8396,0.756,0.781,2465394.99
2020-10-28,0.7824,0.8035,0.6666,0.6776,2230367.6
2020-10-29,0.68,0.8611,0.659,0.7977,5624875.12
2020-10-30,0.798,0.8019,0.6722,0.7255,3957516.02
2020-10-31,0.7225,0.8097,0.7126,0.7841,2009680.42
2020-11-01,0.784,0.82,0.7402,0.751,1020512.61
2020-11-02,0.751,0.7839,0.7135,0.7274,921293.96
2020-11-03,0.7276,0.729,0.6501,0.6978,912741.47
2020-11-04,0.6968,0.7456,0.6689,0.7135,1008858.43
2020-11-05,0.7133,0.744,0.6701,0.7021,1284779.04
2020-11-06,0.7015,0.7581,0.6749,0.7528,2951742.84
2020-11-07,0.7526,0.9081,0.7,0.7832,3433305.57
2020-11-08,0.7833,0.8957,0.7706,0.835,2236073.1
2020-11-09,0.8363,1.04,0.8321,0.9773,4921277.88
2020-11-10,0.9787,1.0622,0.9305,1.0147,2722824.4
2020-11-11,1.0073,1.0098,0.88,0.9089,2239004.15
2020-11-12,0.908,0.9739,0.895,0.9172,1256397.3
2020-11-13,0.9195,1.09,0.91,1.0634,1912931.49
2020-11-14,1.0684,1.3866,1.0091,1.2915,5678641.4
2020-11-15,1.2914,1.452,1.2,1.2875,4159059.26
2020-11-16,1.2832,1.6364,1.2389,1.6029,4548989.13
2020-11-17,1.6029,1.6988,1.2843,1.4667,4235394.43
2020-11-18,1.4658,1.5451,1.2701,1.3694,2495845.67
2020-11-19,1.3747,1.46,1.21,1.2999,2069153.33
2020-11-20,1.2999,1.544,1.29,1.411,1973452.11
2020-11-21,1.4109,1.483,1.334,1.3743,2036623.8
2020-11-22,1.3747,1.4377,1.22,1.3107,1756043.97
2020-11-23,1.3114,1.5084,1.2833,1.414,1955280.97
2020-11-24,1.4201,1.4567,1.2815,1.2999,1677257.84
2020-11-25,1.302,1.3446,1.2102,1.2103,1179418.11
2020-11-26,1.2129,1.2554,0.95,1.0558,2460652.24
2020-11-27,1.0559,1.11,1.0312,1.0918,1098649.72
2020-11-28,1.0974,1.1762,1.0889,1.1521,1135844.75
2020-11-29,1.1505,1.185,1.1033,1.1341,760671.16
2020-11-30,1.133,1.2405,1.0701,1.1879,1498265.78
2020-12-01,1.188,1.3284,1.1684,1.2565,1875398.15
2020-12-02,1.2543,1.5666,1.2421,1.47,3242196.46
2020-12-03,1.4773,1.4809,1.351,1.454,1558567.43
2020-12-04,1.454,1.695,1.4234,1.5689,3013806.05
2020-12-05,1.5686,1.8888,1.532,1.6942,4806408.67
2020-12-06,1.6942,1.7028,1.5506,1.5902,1407231.25
2020-12-07,1.5902,1.7387,1.5232,1.729,1566526.06
2020-12-08,1.7358,2.2601,1.7122,1.8263,6584395.25
2020-12-09,1.8291,2.359,1.7469,2.185,3897664.52
2020-12-10,2.186,2.39,1.9699,2.05,2401575.58
2020-12-11,2.0505,2.0555,1.77,1.9004,1978973.63
2020-12-12,1.9005,2.1717,1.884,2.0921,1679405.88
2020-12-13,2.092,2.288,2.0111,2.2697,1284409.17
2020-12-14,2.271,2.9283,2.1711,2.8317,5441893.81
2020-12-15,2.831,3.4427,2.7,3.3,6564647.88
2020-12-16,3.301,3.9368,2.95,3.153,7462379.23
2020-12-17,3.1609,3.397,2.9388,2.967,4252285.68
2020-12-18,2.9636,3.5671,2.8053,3.267,3636126.01
2020-12-19,3.268,3.377,3.0263,3.133,1988582.18
2020-12-20,3.1241,3.18,2.91,2.9954,1439964.09
2020-12-21,2.9821,3.9,2.6939,3.3628,3615700.9
2020-12-22,3.3628,4.78,3.3122,4.5158,6608345.14
2020-12-23,4.51,5.35,3.53,3.94,8453983.24
2020-12-24,3.94,5.0647,3.7489,4.5924,4036207.34
2020-12-25,4.5924,4.8466,3.9759,4.0792,1974046.01
2020-12-26,4.0869,4.74,3.8349,4.2554,2746730.73
2020-12-27,4.2649,4.95,4.1901,4.8049,2616862.2
2020-12-28,4.802,5.0914,4.4007,4.754,2129960.4
2020-12-29,4.7451,4.7629,4.2102,4.316,1607612.2
2020-12-30,4.3211,4.65,3.785,3.865,1358630.54
2020-12-31,3.865,4.34,3.865,4.0482,920830.45
2021-01-01,4.0554,4.2,3.9028,4.0817,645572.41
2021-01-02,4.0997,4.1019,3.5289,3.6083,1191655.36
2021-01-03,3.6006,4.5206,3.5289,4.4294,1864950.01
2021-01-04,4.4294,4.75,3.8552,4.35,1430997.32
2021-01-05,4.35,4.868,4.2867,4.57,1251209.96
2021-01-06,4.5776,4.9139,4.3846,4.5886,1224548.03
2021-01-07,4.5911,4.8227,4.0481,4.6597,1383734.46
2021-01-08,4.6621,4.97,4.4215,4.6571,976763.42
2021-01-09,4.6571,4.86,4.47,4.742,478211.17
2021-01-10,4.7459,4.88,4.3027,4.4075,718039.78
2021-01-11,4.4107,4.4303,3.75,4.419,1024082.41
2021-01-12,4.4303,5.034,4.271,4.8839,1096350.05
2021-01-13,4.8839,5.853,4.8498,5.4922,3233387.56
2021-01-14,5.4922,6.95,5.4712,6.74,1923595.29
2021-01-15,6.749,6.7505,5.2074,6.4147,1357848.22
2021-01-16,6.4237,6.6267,6.0154,6.2097,825260.23
2021-01-17,6.2015,6.4583,5.85,6.1786,604324.4
2021-01-18,6.1789,7.52,6.1414,7.2256,1282159.79
2021-01-19,7.2389,11.2,6.95,8.6483,5101759.41
2021-01-20,8.65,9.3,7.7612,8.5127,1599171.6
2021-01-21,8.4972,8.5147,7.01,7.0437,1291033.06
2021-01-22,7.0112,9.45,6.63,8.8427,1788933.77
2021-01-23,8.8419,9.3,8.3675,8.4209,833254.36
2021-01-24,8.4391,9.2,8.0963,8.792,712997.02
2021-01-25,8.793,9.3,8.0219,8.4235,872246.43
2021-01-26,8.4472,8.9541,7.5,8.3283,1113981.04
2021-01-27,8.3197,8.4334,7.1802,7.4606,987591.53
2021-01-28,7.4606,8.759,7.2221,8.2984,1001033.17
2021-01-29,8.3331,8.4125,7.5163,8.045,1064908.66
2021-01-30,8.045,9.99,7.8307,9.4878,2337189.75
2021-01-31,9.4632,9.73,8.0573,9.5066,1074816.2
2021-02-01,9.5001,10.79,8.8,10.4067,1612127.37
2021-02-02,10.4082,11.9988,9.8516,11.5025,1190497.81
2021-02-03,11.5198,11.9499,10.9238,11.3393,876076.48
2021-02-04,11.3363,13.5,11.1215,12.7387,1257427.53
2021-02-05,12.7517,13.95,11.79,12.3725,1020153.59
2021-02-06,12.38,12.4996,10.8763,11.2499,1267050.66
2021-02-07,11.2498,11.92,9.96,11.4951,793723.45
2021-02-08,11.5186,13.855,11.0449,13.7551,1200952.18
2021-02-09,13.7553,16.82,13.2128,15.6989,2517423.72
2021-02-10,15.6943,16.0416,13.4,14.3754,1297120.73
2021-02-11,14.3585,15.72,13.8396,15.1081,849881.68
2021-02-12,15.0876,16.3,15.0,15.309,748503.36
2021-02-13,15.3457,17.35,14.72,15.6979,865744.67
2021-02-14,15.6977,16.8105,14.8376,14.8971,788751.35
2021-02-15,14.8971,15.0444,12.27,13.3467,1016480.44
2021-02-16,13.3469,14.298,12.7501,13.4121,588893.23
2021-02-17,13.4295,15.1974,12.355,14.2332,856308.5
2021-02-18,14.2177,15.948,14.0722,15.9052,881288.67
2021-02-19,15.9275,18.15,15.27,16.9704,1154892.85
2021-02-20,16.9764,16.9999,13.9511,14.7804,805852.54
2021-02-21,14.8059,15.4999,13.8711,14.3568,666866.14
2021-02-22,14.3532,16.85,11.432,15.7061,1955283.39
2021-02-23,15.7183,15.7753,11.0806,13.6083,1742834.11
2021-02-24,13.6779,15.8131,12.1,14.0847,1043563.45
2021-02-25,14.0505,14.6812,12.25,12.36,665241.67
2021-02-26,12.3586,13.4669,11.22,12.1962,692982.35
2021-02-27,12.2111,13.1143,11.7656,12.3497,426302.17
2021-02-28,12.3385,12.7305,10.9,12.198,593390.19
2021-03-01,12.22,14.1099,12.0797,13.5402,620020.86
2021-03-02,13.5398,13.8899,12.4832,13.1043,424604.4
2021-03-03,13.0872,14.1684,13.0002,13.5642,468678.68
2021-03-04,13.6188,13.9699,11.9621,12.4828,513108.38
2021-03-05,12.4778,12.5027,11.5,11.7408,441328.48
2021-03-06,11.7344,12.2151,11.3001,11.8327,277861.85
2021-03-07,11.8625,12.49,11.62,12.1575,314688.18
2021-03-08,12.1605,12.3,11.4726,12.2001,364930.74
2021-03-09,12.194,13.7077,11.9532,13.3027,709706.3
2021-03-10,13.3002,13.345,12.1354,12.4683,444476.68
2021-03-11,12.4648,12.7792,11.7119,12.2612,504547.2
2021-03-12,12.2611,12.96,11.5,11.6979,476681.15
2021-03-13,11.7004,12.172,11.3034,11.4019,544495.33
2021-03-14,11.4179,12.2,11.2,11.63,468789.34
2021-03-15,11.6299,12.505,10.8891,11.7912,1004366.77
2021-03-16,11.8329,12.3805,10.8117,11.2395,932422.02
2021-03-17,11.2499,11.9503,10.7809,11.8976,545874.96
2021-03-18,11.8913,13.5,11.6283,13.497,860631.55
2021-03-19,13.4971,14.2,12.78,12.8518,853158.67
2021-03-20,12.8631,13.3242,12.3581,12.3849,413039.08
2021-03-21,12.3641,12.6705,11.9836,12.2943,327096.58
2021-03-22,12.2983,14.2909,12.0669,12.4474,750058.78
2021-03-23,12.4473,12.8523,11.6002,11.6162,416443.64
2021-03-24,11.6011,12.4122,10.3333,10.5121,476251.26
2021-03-25,10.4981,11.436,9.8666,10.5681,576879.82
2021-03-26,10.5694,11.6617,10.5441,11.655,275258.67
2021-03-27,11.6348,11.6938,10.67,11.1415,266760.6
2021-03-28,11.1488,14.036,11.0,12.3399,1267736.11
2021-03-29,12.372,14.5,12.0501,14.2421,568810.94
2021-03-30,14.2422,15.15,13.52,13.7473,894075.82
2021-03-31,13.7476,13.838,12.6898,12.8302,473253.78
2021-04-01,12.84,14.3883,12.7617,13.9366,520564.87
2021-04-02,13.9366,14.57,12.9675,13.2537,501879.51
2021-04-03,13.2388,13.6672,12.0501,12.1282,380948.19
2021-04-04,12.1358,13.7165,12.0551,13.4806,475594.26
2021-04-05,13.4924,13.65,12.7197,13.342,544476.71
2021-04-06,13.3548,14.76,13.227,14.2296,907863.5
2021-04-07,14.2722,14.568,12.6666,13.2333,477388.43
2021-04-08,13.2334,14.9493,13.1392,14.7605,869297.52
2021-04-09,14.7895,15.25,14.3661,15.2081,657350.16
2021-04-10,15.2032,15.7154,13.3,13.6179,936168.38
2021-04-11,13.6184,14.4584,13.1438,13.5528,627023.06
2021-04-12,13.5599,14.73,13.4708,14.5755,705774.88
2021-04-13,14.57,14.8546,13.6319,13.78,558718.82
2021-04-14,13.7801,13.966,13.0253,13.3219,504893.92
2021-04-15,13.3569,15.19,13.1239,14.2691,622183.32
2021-04-16,14.2981,14.49,13.0171,13.7914,702018.97
2021-04-17,13.7562,14.2477,13.1602,13.6242,420662.5
2021-04-18,13.6184,13.7098,11.5392,12.13,797209.64
2021-04-19,12.1481,13.51,11.8428,12.2045,503568.25
2021-04-20,12.1633,15.1889,10.9111,14.33,1375621.2
2021-04-21,14.3452,17.9,13.3503,15.4945,3053723.3
2021-04-22,15.5439,21.5582,14.6119,15.3924,7457766.49
2021-04-23,15.4289,18.5,12.8048,17.1602,3255777.33
2021-04-24,17.1603,17.2447,14.3056,14.362,1136314.65
