Date,Open,High,Low,Close,Volume
2020-04-25,0.1679,0.1743,0.1653,0.17,9013571.67
2020-04-26,0.17,0.1787,0.1698,0.1764,10608237.16
2020-04-27,0.1766,0.1773,0.1611,0.174,9415255.06
2020-04-28,0.1738,0.1746,0.1682,0.1738,7988868.6
2020-04-29,0.1734,0.1893,0.1734,0.1859,16863310.68
2020-04-30,0.186,0.192,0.172,0.1765,12018612.86
2020-05-01,0.1762,0.1879,0.1761,0.1816,4901015.75
2020-05-02,0.1814,0.1923,0.1811,0.1915,8310921.61
2020-05-03,0.1916,0.1949,0.1785,0.1827,8127641.94
2020-05-04,0.1827,0.1887,0.1724,0.183,7655093.25
2020-05-05,0.183,0.1881,0.1796,0.1876,6884651.37
2020-05-06,0.1876,0.1897,0.1766,0.1776,6817861.2
2020-05-07,0.1777,0.1897,0.1756,0.1848,9619091.8
2020-05-08,0.1847,0.2054,0.1813,0.2027,15037113.2
2020-05-09,0.2021,0.215,0.1962,0.1976,26547796.2
2020-05-10,0.197,0.1973,0.166,0.1834,22579055.44
2020-05-11,0.184,0.1866,0.1667,0.1768,12656039.15
2020-05-12,0.1766,0.1885,0.1764,0.1859,9284480.84
2020-05-13,0.1859,0.196,0.1843,0.1923,8996631.24
2020-05-14,0.1925,0.2214,0.1877,0.2092,19629382.35
2020-05-15,0.2095,0.212,0.1961,0.198,15467285.72
2020-05-16,0.1979,0.2023,0.1949,0.1971,6070288.15
2020-05-17,0.1971,0.2057,0.1963,0.1994,5768115.87
2020-05-18,0.1996,0.2067,0.1982,0.2042,6530184.38
2020-05-19,0.2044,0.2044,0.199,0.2022,7742957.39
2020-05-20,0.2024,0.2052,0.1953,0.1992,7097653.94
2020-05-21,0.1992,0.2014,0.1811,0.1882,9972967.43
2020-05-22,0.1883,0.2048,0.1852,0.202,9366705.85
2020-05-23,0.2021,0.209,0.1982,0.1992,7023214.83
2020-05-24,0.199,0.2027,0.1895,0.1895,7172959.4
2020-05-25,0.1897,0.1984,0.1885,0.1978,5688484.67
2020-05-26,0.1978,0.1985,0.1885,0.1943,5899862.69
2020-05-27,0.1943,0.1998,0.1926,0.1967,5982513.29
2020-05-28,0.1967,0.204,0.1937,0.2032,5547790.6
2020-05-29,0.2033,0.2047,0.1959,0.2012,4941486.1
2020-05-30,0.2015,0.219,0.199,0.2188,11912673.38
2020-05-31,0.2186,0.2412,0.2137,0.2197,26198623.49
2020-06-01,0.2197,0.2383,0.2179,0.2364,11289698.4
2020-06-02,0.2361,0.2488,0.217,0.2338,15596982.98
2020-06-03,0.2338,0.2526,0.2306,0.2515,10892637.83
2020-06-04,0.2515,0.2585,0.2386,0.2492,11053039.46
2020-06-05,0.2492,0.2563,0.239,0.2411,7374226.75
2020-06-06,0.2407,0.2496,0.2359,0.2435,7023251.18
2020-06-07,0.2435,0.2474,0.23,0.2412,6518938.19
2020-06-08,0.2412,0.2431,0.2371,0.2415,4069973.08
2020-06-09,0.2416,0.2525,0.2332,0.2469,8438700.04
