Date,Open,High,Low,Close,Volume
2020-12-21,14.66,43.43,12.0,25.2,3278164.576
2020-12-22,25.375,27.6,17.971,18.948,1206688.379
2020-12-23,18.948,20.642,11.999,13.803,631433.985
2020-12-24,13.866,17.602,12.05,15.102,449740.907
2020-12-25,15.305,15.684,13.5,14.457,198716.797
2020-12-26,14.456,16.2,13.263,13.358,134181.034
2020-12-27,13.383,16.0,13.371,15.058,134351.187
2020-12-28,14.954,17.588,14.618,15.988,214201.884
2020-12-29,15.997,16.024,14.34,14.65,98663.674
2020-12-30,14.65,14.993,13.304,13.55,129237.3
2020-12-31,13.559,13.762,11.996,12.089,78603.171
2021-01-01,12.084,13.96,11.75,12.555,71965.942
2021-01-02,12.553,13.646,11.7,11.868,22951.864
2021-01-03,11.875,12.5,11.072,11.33,35323.277
2021-01-04,11.363,12.0,10.1,10.51,29550.483
2021-01-05,10.51,11.198,9.546,10.399,44327.817
2021-01-06,10.439,10.623,9.65,9.82,20933.829
2021-01-07,9.899,10.475,8.5,9.551,46156.814
2021-01-08,9.678,13.399,8.943,10.223,78127.915
2021-01-09,10.176,11.119,9.903,10.425,28377.925
2021-01-10,10.531,11.0,9.451,9.709,15095.4
2021-01-11,9.684,9.891,8.31,9.554,33000.944
2021-01-12,9.438,10.499,8.889,9.342,35658.847
2021-01-13,9.284,13.911,9.08,10.31,221687.46
2021-01-14,10.347,11.0,9.9,10.317,102291.814
2021-01-15,10.317,10.377,9.524,9.991,339728.514
2021-01-16,9.99,10.5,9.749,10.05,309733.349
2021-01-17,10.059,10.109,9.81,9.852,260546.04
2021-01-18,9.854,10.05,9.7,9.829,240902.576
2021-01-19,9.829,9.95,9.7,9.701,351538.918
2021-01-20,9.701,9.746,9.367,9.668,114163.836
2021-01-21,9.668,9.753,4.701,8.532,58053.059
2021-01-22,8.532,9.496,7.948,9.186,17823.258
2021-01-23,9.185,9.294,8.826,9.2,17775.793
2021-01-24,9.133,9.223,8.698,9.048,14497.1
2021-01-25,9.054,9.399,8.553,8.797,17926.944
2021-01-26,8.702,8.905,8.39,8.658,12087.092
2021-01-27,8.688,8.786,7.826,7.85,20031.764
2021-01-28,7.85,9.054,7.828,8.39,40835.373
2021-01-29,8.39,8.432,7.699,7.954,35599.949
2021-01-30,7.953,8.4,7.509,7.872,36598.571
2021-01-31,7.872,10.8,7.555,7.783,159077.334
2021-02-01,7.831,8.479,7.741,8.149,57363.213
2021-02-02,8.131,8.402,7.702,8.007,43903.654
2021-02-03,7.969,8.3,7.81,7.938,45659.022
2021-02-04,7.939,7.993,7.561,7.82,52820.1
2021-02-05,7.821,8.782,7.762,8.249,88576.753
2021-02-06,8.249,11.699,7.96,8.842,327615.954
2021-02-07,8.853,8.942,8.16,8.321,98238.836
2021-02-08,8.321,8.955,8.085,8.434,121285.851
2021-02-09,8.457,9.554,8.2,8.939,209254.162
2021-02-10,8.933,10.36,8.374,9.029,211477.31
2021-02-11,9.027,13.0,8.8,9.45,526945.299
2021-02-12,9.45,10.89,9.36,10.75,340362.707
2021-02-13,10.754,13.7,10.754,12.0,560638.493
2021-02-14,11.967,12.5,10.425,11.167,209070.213
2021-02-15,11.167,11.167,9.807,10.471,119941.194
2021-02-16,10.467,11.693,10.038,10.965,164409.846
2021-02-17,10.932,12.4,10.467,10.866,189930.518
2021-02-18,10.899,12.406,10.868,11.809,196652.277
2021-02-19,11.81,13.1,11.8,12.577,184732.739
2021-02-20,12.569,12.577,10.45,11.021,153052.856
2021-02-21,11.021,11.9,10.69,11.57,98818.267
2021-02-22,11.566,11.579,8.887,10.412,113306.08
2021-02-23,10.448,10.482,8.02,9.239,85247.497
2021-02-24,9.239,10.82,8.683,9.688,134176.612
2021-02-25,9.756,10.4,9.422,9.519,56706.774
2021-02-26,9.515,9.607,8.513,9.051,36165.913
2021-02-27,9.086,9.7,9.086,9.276,32572.987
2021-02-28,9.281,10.41,8.357,9.183,176781.904
2021-03-01,9.191,9.938,8.999,9.743,80570.984
2021-03-02,9.72,10.2,9.252,9.5,54456.264
2021-03-03,9.5,10.399,9.313,9.947,93749.406
2021-03-04,9.979,10.088,9.028,9.376,114670.424
2021-03-05,9.29,9.428,8.715,9.116,65584.669
2021-03-06,9.122,11.68,8.9,9.73,303885.06
2021-03-07,9.7,10.935,9.674,10.102,146753.218
2021-03-08,10.101,10.5,9.56,10.11,97386.692
2021-03-09,10.108,11.976,9.952,11.275,268375.25
2021-03-10,11.275,20.79,10.795,13.986,1956751.002
2021-03-11,14.053,16.2,12.5,14.406,1138241.162
2021-03-12,14.421,15.8,13.0,14.2,544976.678
2021-03-13,14.249,20.0,14.0,17.619,1079592.931
2021-03-14,17.618,17.737,15.442,15.493,309079.841
2021-03-15,15.442,15.498,14.196,14.368,239753.845
2021-03-16,14.352,15.857,13.72,14.927,202226.195
2021-03-17,14.923,15.7,14.156,14.748,159724.916
2021-03-18,14.751,15.277,14.45,14.998,106661.905
2021-03-19,15.008,15.8,14.542,14.893,113175.381
2021-03-20,14.918,17.3,13.58,14.71,314795.129
2021-03-21,14.685,17.968,14.5,15.014,664870.95
2021-03-22,15.103,15.5,13.823,14.41,171430.884
2021-03-23,14.399,14.86,13.271,13.889,155795.074
2021-03-24,13.866,14.72,12.506,12.851,106129.701
2021-03-25,12.798,15.082,12.082,13.295,418559.688
2021-03-26,13.34,14.758,13.123,13.958,172534.779
2021-03-27,13.971,14.274,13.58,13.988,97307.782
2021-03-28,13.982,14.45,13.658,13.84,98104.966
2021-03-29,13.847,15.6,13.65,14.934,189109.79
2021-03-30,14.935,15.05,14.27,14.437,99039.135
2021-03-31,14.438,15.482,13.72,14.153,189119.701
2021-04-01,14.174,14.382,13.934,14.066,69219.608
2021-04-02,14.066,14.683,13.903,14.479,88298.678
2021-04-03,14.479,14.636,13.419,13.448,89843.045
2021-04-04,13.451,14.366,13.228,13.916,72699.719
2021-04-05,13.916,14.556,13.6,14.195,102533.992
2021-04-06,14.195,18.48,14.1,15.8,600823.897
2021-04-07,15.828,25.416,14.425,16.94,2410816.362
2021-04-08,16.788,17.7,15.163,15.643,690452.428
2021-04-09,15.631,16.499,15.2,15.525,246235.167
2021-04-10,15.524,16.299,14.666,14.948,203252.986
2021-04-11,14.947,15.94,14.695,15.8,218025.142
2021-04-12,15.781,20.271,15.264,16.809,1426821.507
2021-04-13,16.809,20.245,16.46,17.196,960798.612
2021-04-14,17.198,17.205,16.11,16.611,218729.082
2021-04-15,16.61,17.7,16.476,17.159,206587.051
2021-04-16,17.136,17.22,15.6,16.213,179709.464
2021-04-17,16.215,16.925,16.006,16.19,149213.433
2021-04-18,16.205,17.144,13.297,14.126,409251.178
2021-04-19,14.125,15.45,12.8,13.283,201895.647
2021-04-20,13.343,15.517,11.695,13.842,337716.066
2021-04-21,13.867,17.443,13.691,14.049,693995.048
2021-04-22,14.035,21.982,13.8,17.997,1957732.135
2021-04-23,17.999,20.5,13.28,15.708,2959819.618
2021-04-24,15.72,16.903,14.9,15.623,553306.284
