Date,Open,High,Low,Close,Volume
2020-04-25,0.5532,0.5798,0.545,0.5726,2937757.69
2020-04-26,0.5726,0.6346,0.5689,0.6159,3364485.05
2020-04-27,0.6168,0.637,0.5699,0.6005,3017039.63
2020-04-28,0.5987,0.6104,0.5907,0.6013,1348277.82
2020-04-29,0.6023,0.6348,0.5978,0.6224,4363870.28
2020-04-30,0.6225,0.646,0.5716,0.5799,4434645.32
2020-05-01,0.5798,0.615,0.5791,0.5922,2041667.58
2020-05-02,0.5921,0.6047,0.5908,0.6015,2120239.89
2020-05-03,0.6015,0.6074,0.563,0.5725,2653623.06
2020-05-04,0.5716,0.5791,0.5279,0.5577,2415378.6
2020-05-05,0.5561,0.5687,0.53,0.5425,2560695.96
2020-05-06,0.5426,0.5467,0.5212,0.5229,2949176.45
2020-05-07,0.5211,0.529,0.4811,0.5012,2661900.55
2020-05-08,0.5014,0.538,0.5011,0.5236,2747947.41
2020-05-09,0.5225,0.5508,0.5085,0.5104,2480396.76
2020-05-10,0.5114,0.5115,0.4441,0.467,4066421.15
2020-05-11,0.4642,0.4713,0.4161,0.4395,3430446.05
2020-05-12,0.4386,0.4996,0.4353,0.4672,2838244.59
2020-05-13,0.4678,0.5049,0.4598,0.4893,2589840.38
2020-05-14,0.4894,0.5366,0.4894,0.5243,2579312.87
2020-05-15,0.526,0.5723,0.5131,0.5192,2801881.9
2020-05-16,0.5183,0.5723,0.5167,0.5687,2962376.66
2020-05-17,0.5681,0.5839,0.5487,0.5494,2286457.89
2020-05-18,0.549,0.5761,0.549,0.5726,2615051.3
2020-05-19,0.5726,0.637,0.5554,0.6186,3305103.5
2020-05-20,0.6193,0.6761,0.6014,0.616,3377292.52
2020-05-21,0.6153,0.7092,0.5901,0.7034,3729075.66
2020-05-22,0.7021,0.7367,0.635,0.707,4314113.07
2020-05-23,0.707,0.7275,0.6603,0.6876,2620613.71
2020-05-24,0.6855,0.693,0.6175,0.6175,3047690.13
2020-05-25,0.6175,1.0551,0.615,0.8642,8183096.76
2020-05-26,0.8642,1.02,0.7425,0.7995,6142225.09
2020-05-27,0.7996,0.967,0.7661,0.8434,3610705.42
2020-05-28,0.8416,0.9514,0.8312,0.9133,2614489.66
2020-05-29,0.9148,1.0183,0.903,0.9223,2854620.94
2020-05-30,0.9223,0.956,0.9029,0.9255,2650032.21
2020-05-31,0.9255,0.9465,0.821,0.8443,2535100.92
2020-06-01,0.8481,0.92,0.8431,0.8899,2662156.19
2020-06-02,0.89,0.9119,0.82,0.9073,2379962.72
