Date,Open,High,Low,Close,Volume
2020-04-25,3.7735,3.9062,3.742,3.7865,6095069.38
2020-04-26,3.7865,3.816,3.6432,3.721,8246658.13
2020-04-27,3.7212,3.7385,3.4621,3.6383,11371929.86
2020-04-28,3.6373,3.7354,3.5554,3.6413,7379317.23
2020-04-29,3.6422,3.9918,3.63,3.8879,15125283.54
2020-04-30,3.8881,3.9741,3.62,3.7025,13545136.02
2020-05-01,3.7014,3.9162,3.7003,3.7571,8084328.36
2020-05-02,3.7571,3.86,3.73,3.8182,4467234.01
2020-05-03,3.8186,3.86,3.6379,3.7092,5570724.79
2020-05-04,3.7098,3.8272,3.5033,3.7499,10973722.27
2020-05-05,3.7496,3.814,3.654,3.6833,4730504.58
2020-05-06,3.682,3.7654,3.57,3.5872,5299802.59
2020-05-07,3.5874,3.85,3.5633,3.756,8481271.59
2020-05-08,3.758,3.859,3.6874,3.801,7383724.48
2020-05-09,3.8001,4.2129,3.7601,4.015,15240721.63
2020-05-10,4.0149,4.0197,3.4602,3.7582,19818388.73
2020-05-11,3.7574,3.832,3.2865,3.5837,13273873.62
2020-05-12,3.5838,3.7932,3.54,3.6943,7797486.43
2020-05-13,3.6938,3.815,3.6366,3.7655,5989489.14
2020-05-14,3.7654,3.8583,3.6947,3.8096,7333655.81
2020-05-15,3.8093,3.8337,3.6144,3.6615,5572562.89
2020-05-16,3.6626,3.79,3.6168,3.7614,4045380.2
2020-05-17,3.7621,3.8524,3.7526,3.7815,3636901.86
2020-05-18,3.7815,3.95,3.7786,3.8895,5744922.71
2020-05-19,3.8895,3.9488,3.7734,3.947,3771880.28
2020-05-20,3.9466,4.1388,3.8955,4.0866,9821300.61
2020-05-21,4.088,4.174,3.7292,3.8298,10446021.86
2020-05-22,3.8307,4.1447,3.7932,4.0611,7194944.89
2020-05-23,4.062,4.1072,3.91,3.925,5867357.07
2020-05-24,3.9242,4.0262,3.7844,3.7917,6236647.02
2020-05-25,3.7878,3.9073,3.77,3.8614,4443996.51
2020-05-26,3.8634,3.8816,3.7689,3.844,3774200.83
2020-05-27,3.8436,3.9143,3.8065,3.8526,3795380.76
2020-05-28,3.8542,4.0601,3.827,4.0461,4242354.59
2020-05-29,4.0462,4.13,3.9488,3.98,5243291.12
2020-05-30,3.982,4.18,3.943,4.1763,4734058.34
2020-05-31,4.178,4.2838,4.041,4.131,6223457.99
2020-06-01,4.1278,4.48,4.1175,4.3785,8703425.47
2020-06-02,4.3795,4.6185,4.1075,4.3976,8182461.05
2020-06-03,4.3987,4.53,4.2898,4.4892,4215824.76
2020-06-04,4.4881,4.5081,4.2864,4.4243,3231902.99
2020-06-05,4.4263,4.486,4.3405,4.358,2316069.89
2020-06-06,4.3569,4.3979,4.3034,4.3512,1377160.26
2020-06-07,4.3513,4.41,4.2068,4.3465,2146650.66
2020-06-08,4.3487,4.4759,4.325,4.473,2037163.21
2020-06-09,4.4753,4.5062,4.3605,4.435,2296314.26
2020-06-10,4.4374,4.4404,4.3426,4.4225,2236477.86
2020-06-11,4.4207,4.4503,3.91,3.9565,6610463.34
2020-06-12,3.953,4.1874,3.8573,4.0819,4837530.74
2020-06-13,4.0807,4.1346,4.0054,4.11,1604660.74
2020-06-14,4.11,4.1134,3.9143,3.9371,1710213.36
2020-06-15,3.9395,3.9889,3.6551,3.9274,6850306.11
2020-06-16,3.9254,4.0918,3.8935,4.0502,3623759.71
2020-06-17,4.0502,4.2,3.957,4.1659,4301280.98
2020-06-18,4.1663,4.2491,4.0957,4.1415,3348384.08
2020-06-19,4.1417,4.1839,4.0521,4.098,2424386.7
2020-06-20,4.0978,4.2072,4.0654,4.1765,2414698.62
2020-06-21,4.1762,4.2058,4.1395,4.1812,1336859.5
2020-06-22,4.1819,4.4859,4.176,4.4841,4659609.05
2020-06-23,4.484,4.9422,4.4254,4.8051,10884418.78
2020-06-24,4.8061,4.9411,4.4986,4.7075,10253258.21
2020-06-25,4.7075,4.8407,4.5033,4.8134,7030842.15
2020-06-26,4.8129,4.8587,4.6424,4.6813,5532469.51
2020-06-27,4.683,4.6957,4.3,4.4058,6165533.05
2020-06-28,4.4051,4.62,4.3647,4.5668,4751931.74
2020-06-29,4.5658,4.65,4.4232,4.6187,4789663.32
2020-06-30,4.6192,4.6622,4.5337,4.5626,3008041.61
2020-07-01,4.5625,4.73,4.5217,4.7067,4096719.3
2020-07-02,4.7068,4.9181,4.6025,4.7996,7638387.35
2020-07-03,4.7998,4.8964,4.7031,4.7309,4622377.34
2020-07-04,4.73,4.8539,4.7186,4.82,2884275.22
2020-07-05,4.8198,4.8325,4.6118,4.7439,3650974.38
2020-07-06,4.7426,5.5,4.7362,5.3617,12032948.97
2020-07-07,5.3613,5.889,5.33,5.7248,13786031.79
2020-07-08,5.7245,6.5782,5.592,6.4987,16816910.79
2020-07-09,6.5001,6.5006,5.7029,6.082,12955549.78
2020-07-10,6.082,6.2009,5.7096,6.1488,9946933.5
2020-07-11,6.15,6.27,5.961,6.0994,5442718.22
2020-07-12,6.1043,7.3898,6.0975,7.3345,18949318.62
2020-07-13,7.3447,8.48,6.8525,7.163,30737550.96
2020-07-14,7.1616,8.3446,6.965,8.1321,25153380.41
2020-07-15,8.1315,8.908,7.8309,8.6494,20518883.22
2020-07-16,8.6486,8.8822,7.9427,8.354,20705851.79
2020-07-17,8.3545,8.6444,8.2,8.2605,8727930.83
2020-07-18,8.2589,8.2648,7.657,7.9734,11416632.85
2020-07-19,7.9731,8.21,7.7782,8.0784,6896213.31
2020-07-20,8.0848,8.1388,7.121,7.2301,11043721.17
2020-07-21,7.2301,7.6788,6.9232,7.3101,10937153.27
2020-07-22,7.3086,7.6365,7.0832,7.4689,9599551.14
2020-07-23,7.469,8.099,7.4029,7.8983,10917062.94
2020-07-24,7.8982,7.9304,7.384,7.4284,7314721.87
2020-07-25,7.4284,7.8009,7.3744,7.672,7507174.9
2020-07-26,7.6737,7.945,7.1885,7.5022,10637660.32
2020-07-27,7.5009,7.5045,6.5101,7.1,16681214.34
2020-07-28,7.099,7.4243,6.9106,7.2333,8500726.83
2020-07-29,7.2332,7.4871,6.9867,7.0876,7058913.79
2020-07-30,7.0876,7.5757,7.0253,7.4093,7673434.47
2020-07-31,7.4093,7.8649,7.4085,7.8033,7419454.26
2020-08-01,7.8025,8.472,7.6373,8.3248,9345076.4
2020-08-02,8.3216,8.7972,6.87,8.2814,22647614.34
2020-08-03,8.2851,9.2707,8.1408,9.2502,12814524.98
2020-08-04,9.2502,9.9645,9.0807,9.8687,18485930.37
2020-08-05,9.8686,9.8686,9.3207,9.5253,9682088.77
2020-08-06,9.5265,10.2917,9.4515,10.2343,9041552.6
2020-08-07,10.2284,10.2615,9.05,10.1286,11737996.62
2020-08-08,10.1286,13.8799,9.9287,12.7093,28681387.91
2020-08-09,12.7095,14.4586,12.0,13.8104,28455039.72
2020-08-10,13.8105,14.0551,12.52,13.4722,17912553.32
2020-08-11,13.4722,13.5403,12.0905,12.9971,17514622.42
2020-08-12,12.9999,16.8,12.5936,16.4635,23116748.13
2020-08-13,16.4634,18.3488,15.9175,17.1883,30941693.96
2020-08-14,17.1728,17.5998,16.3,16.9574,11352121.05
2020-08-15,16.9447,19.8303,16.5554,19.2285,17941112.01
2020-08-16,19.2108,20.1111,18.5144,18.8061,10757844.39
2020-08-17,18.8096,19.7111,15.5,16.8196,13542369.79
2020-08-18,16.8064,17.6738,14.69,16.1927,27088057.76
2020-08-19,16.1846,17.2554,14.8653,16.1863,18401947.05
2020-08-20,16.1884,16.7862,15.7232,16.0483,11077161.69
2020-08-21,16.0476,16.1421,12.89,13.8325,26181371.6
2020-08-22,13.8342,16.33,13.66,15.8078,16713843.17
2020-08-23,15.8085,16.0042,14.6536,15.1428,10766009.01
2020-08-24,15.1572,15.8797,14.7,15.1419,8460822.0
2020-08-25,15.1363,15.3743,13.4578,14.1164,12813252.0
2020-08-26,14.1171,15.6664,14.0537,15.2,11417184.57
2020-08-27,15.2088,15.5215,13.9679,14.5234,11695421.1
2020-08-28,14.5234,15.4989,14.236,15.1207,7263858.01
