Date,Open,High,Low,Close,Volume
2020-04-25,1.0471,1.0725,1.0441,1.0537,85840.42
2020-04-26,1.0469,1.0688,0.9299,1.0688,97670.31
2020-04-27,1.0688,1.1762,1.047,1.1709,432985.71
2020-04-28,1.1709,1.3345,1.118,1.2759,630764.29
2020-04-29,1.2685,1.3137,1.237,1.2925,563457.61
2020-04-30,1.2861,1.381,1.2,1.2095,401545.27
2020-05-01,1.2093,1.2876,1.2057,1.2292,138866.65
2020-05-02,1.2292,1.2944,1.2231,1.2817,197518.81
2020-05-03,1.2815,1.2997,1.2139,1.2345,144323.56
2020-05-04,1.2258,1.2323,1.1731,1.2246,71069.16
2020-05-05,1.2248,1.235,1.19,1.2182,65560.91
2020-05-06,1.2182,1.235,1.2,1.2001,62083.02
2020-05-07,1.2001,1.2276,1.1801,1.2078,68514.39
2020-05-08,1.2143,1.2435,1.1915,1.2402,120572.98
2020-05-09,1.2403,1.26,1.1934,1.1999,86578.91
2020-05-10,1.1934,1.229,1.03,1.0821,235880.18
2020-05-11,1.0756,1.11,1.0,1.0451,75514.81
2020-05-12,1.0453,1.094,1.0415,1.0858,99039.28
2020-05-13,1.0846,1.1793,1.0809,1.1551,176417.57
2020-05-14,1.1551,1.1789,1.1257,1.1424,59451.97
2020-05-15,1.142,1.153,1.0968,1.0996,60100.27
2020-05-16,1.1011,1.1339,1.0949,1.1162,37496.68
2020-05-17,1.1062,1.143,1.104,1.1319,77137.36
2020-05-18,1.1334,1.1597,1.1287,1.1514,80088.72
2020-05-19,1.1449,1.153,1.1234,1.1529,51830.6
2020-05-20,1.1529,1.1738,1.1287,1.1377,149396.84
2020-05-21,1.1412,1.1698,1.0673,1.1126,143754.44
2020-05-22,1.1091,1.2037,1.0901,1.1862,194271.34
2020-05-23,1.1908,1.3218,1.1864,1.2361,239273.95
2020-05-24,1.2361,1.2554,1.1566,1.1585,226674.72
2020-05-25,1.1558,1.21,1.1467,1.2055,101214.65
2020-05-26,1.2055,1.2538,1.1632,1.2461,189789.92
2020-05-27,1.2548,1.255,1.1802,1.2158,148167.21
2020-05-28,1.2191,1.2351,1.1807,1.2274,96090.24
2020-05-29,1.2337,1.2356,1.1851,1.2144,112650.56
2020-05-30,1.206,1.2299,1.1883,1.2252,119008.01
2020-05-31,1.2292,1.2508,1.1896,1.2,225690.01
2020-06-01,1.1996,1.2563,1.1995,1.2385,164414.46
