Date,Open,High,Low,Close,Volume
2020-04-25,44.52,45.58,43.84,44.38,555367.18724
2020-04-26,44.38,45.39,43.75,44.52,485605.15593
2020-04-27,44.54,45.23,43.16,44.46,443570.66029
2020-04-28,44.47,46.13,43.42,45.69,590012.52304
2020-04-29,45.69,49.91,45.64,48.81,1198086.90059
2020-04-30,48.81,50.8,45.59,46.33,1404189.5332
2020-05-01,46.33,48.27,46.3,47.07,499757.96625
2020-05-02,47.08,49.6,46.73,49.2,408979.14996
2020-05-03,49.2,50.02,46.61,48.05,566317.38081
2020-05-04,48.07,48.2,45.11,46.96,693367.01092
2020-05-05,46.97,47.76,45.71,46.54,415057.43762
2020-05-06,46.56,47.55,44.55,44.94,466241.72785
2020-05-07,44.92,48.22,44.37,47.37,796061.59933
2020-05-08,47.37,48.43,46.34,47.69,631882.81036
2020-05-09,47.7,49.1,46.75,46.95,656199.9985
2020-05-10,46.97,47.04,39.4,42.06,1404081.17548
2020-05-11,42.05,42.9,39.37,41.51,955643.70805
2020-05-12,41.49,42.88,41.26,42.18,598291.63995
2020-05-13,42.18,43.74,41.94,43.18,404524.24723
2020-05-14,43.18,44.38,42.21,43.98,507436.34974
2020-05-15,43.99,44.14,41.82,42.74,468836.21013
2020-05-16,42.73,43.89,42.5,43.25,435940.40697
2020-05-17,43.25,44.49,43.1,43.71,344498.72506
2020-05-18,43.7,46.59,43.64,45.32,694361.60251
2020-05-19,45.33,45.8,44.07,45.73,375917.65225
2020-05-20,45.73,46.14,43.17,44.25,546255.006
2020-05-21,44.24,44.62,41.66,42.73,504821.89137
2020-05-22,42.72,44.68,42.35,44.23,398405.53856
2020-05-23,44.22,44.74,43.67,43.85,237539.1384
2020-05-24,43.84,44.55,42.04,42.08,360333.24872
2020-05-25,42.08,43.32,41.72,42.97,250914.52741
2020-05-26,42.99,43.07,41.76,42.27,218690.04463
2020-05-27,42.26,44.05,42.22,43.85,282807.46234
2020-05-28,43.86,44.88,43.15,44.77,291358.47336
2020-05-29,44.77,45.29,44.17,44.47,298721.59314
2020-05-30,44.49,48.08,44.18,47.72,590070.5535
2020-05-31,47.72,47.84,45.07,45.61,494076.18673
2020-06-01,45.6,48.81,45.36,48.25,599583.67722
2020-06-02,48.26,49.96,44.0,45.99,920374.03122
2020-06-03,46.01,47.5,45.25,47.16,428190.82164
2020-06-04,47.15,48.1,46.15,47.43,471692.41566
2020-06-05,47.43,47.98,46.42,46.83,400925.03604
2020-06-06,46.8,47.24,46.07,46.79,226441.44764
2020-06-07,46.79,46.98,45.06,46.63,306262.54148
2020-06-08,46.6,46.79,45.95,46.43,220499.06993
2020-06-09,46.45,46.84,45.31,45.87,219681.6354
2020-06-10,45.89,47.19,45.65,46.63,319582.73016
2020-06-11,46.63,46.96,42.0,43.22,538636.15983
2020-06-12,43.22,45.36,42.81,44.72,236934.18593
2020-06-13,44.72,45.22,44.27,45.08,151582.80518
2020-06-14,45.09,45.11,43.53,44.05,170082.74029
2020-06-15,44.04,44.09,41.75,43.73,355287.54016
2020-06-16,43.73,44.22,43.33,43.88,215557.59073
2020-06-17,43.9,45.04,43.0,44.07,324893.86142
2020-06-18,44.07,44.23,42.88,43.43,193534.98938
2020-06-19,43.43,43.73,42.57,42.89,304810.97536
2020-06-20,42.89,43.85,42.21,43.57,202428.9463
2020-06-21,43.57,43.83,42.88,43.0,159632.6785
2020-06-22,43.0,44.67,42.94,44.3,281907.39739
2020-06-23,44.3,44.49,43.89,44.18,219437.96099
2020-06-24,44.18,44.69,42.1,42.65,357937.97223
2020-06-25,42.65,43.0,41.68,42.35,241972.00632
2020-06-26,42.34,43.6,41.37,43.09,348389.34208
2020-06-27,43.1,43.12,39.11,41.06,301504.6343
2020-06-28,41.04,42.05,40.48,41.37,169011.98685
2020-06-29,41.37,42.29,40.59,41.87,323346.172
2020-06-30,41.87,42.07,40.73,41.17,170712.36761
2020-07-01,41.16,42.01,40.96,41.77,189759.33668
2020-07-02,41.76,41.9,40.28,41.05,274520.05417
2020-07-03,41.03,41.7,40.89,41.14,190294.77564
2020-07-04,41.13,42.23,41.06,42.11,239298.32793
2020-07-05,42.11,42.2,40.75,41.58,235045.82858
2020-07-06,41.58,44.31,41.5,44.06,368489.71516
2020-07-07,44.07,44.49,43.06,43.39,307753.44376
2020-07-08,43.39,45.62,43.1,45.35,537390.40825
2020-07-09,45.35,45.87,43.57,44.33,413268.76529
2020-07-10,44.34,44.64,43.44,44.3,256685.44543
2020-07-11,44.32,44.77,43.85,44.69,186318.68972
2020-07-12,44.68,45.3,43.7,44.7,245471.12147
2020-07-13,44.72,45.59,42.31,43.92,445103.8423
2020-07-14,43.91,44.09,42.86,43.88,246958.9888
2020-07-15,43.88,44.06,42.81,43.33,216931.7592
2020-07-16,43.34,43.49,40.85,42.09,389747.37081
2020-07-17,42.09,42.49,41.72,41.9,201904.6002
2020-07-18,41.88,42.9,41.73,42.45,171429.48278
2020-07-19,42.45,42.89,41.83,42.64,195427.40326
2020-07-20,42.65,42.79,41.37,41.94,180313.88112
2020-07-21,41.94,44.11,41.87,43.77,314440.37624
2020-07-22,43.77,45.12,43.2,44.96,335459.88539
2020-07-23,44.96,45.63,44.52,44.94,432494.11351
2020-07-24,44.93,44.96,43.93,44.11,246802.56871
