Date,Open,High,Low,Close,Volume
2020-04-25,0.01468,0.0155,0.01433,0.01505,327689366.1
2020-04-26,0.01504,0.0161,0.01495,0.01563,384349987.3
2020-04-27,0.01562,0.01598,0.01476,0.01544,339737737.9
2020-04-28,0.01543,0.0158,0.01494,0.01571,240524707.5
2020-04-29,0.01566,0.01689,0.01548,0.01642,595281459.3
2020-04-30,0.01644,0.01663,0.01513,0.01543,582148930.2
2020-05-01,0.01541,0.01636,0.0154,0.01585,244563885.9
2020-05-02,0.01585,0.01721,0.01575,0.01691,317889542.0
2020-05-03,0.01694,0.01806,0.01648,0.01711,550034677.5
2020-05-04,0.01711,0.01747,0.01562,0.01697,521561645.3
2020-05-05,0.01697,0.01718,0.01627,0.01696,237462928.8
2020-05-06,0.01696,0.01817,0.0167,0.01704,412067567.8
2020-05-07,0.01706,0.01788,0.01671,0.0174,405555320.1
2020-05-08,0.0174,0.01851,0.01707,0.0179,361056114.3
2020-05-09,0.01792,0.01842,0.01718,0.01722,289308076.4
2020-05-10,0.01722,0.01725,0.01353,0.01533,833850313.2
2020-05-11,0.01532,0.01555,0.01375,0.01501,582927586.1
2020-05-12,0.01501,0.01823,0.01484,0.01727,752399546.3
2020-05-13,0.01727,0.02041,0.01712,0.0203,906004405.5
2020-05-14,0.02031,0.02164,0.01931,0.02014,1092428972.8
2020-05-15,0.02014,0.02084,0.01877,0.01919,602955851.7
2020-05-16,0.0192,0.02095,0.0186,0.01998,564466821.4
2020-05-17,0.01998,0.02092,0.0199,0.02025,300632626.1
2020-05-18,0.02026,0.02121,0.02015,0.02064,334258713.1
2020-05-19,0.02065,0.02297,0.02017,0.02226,681899073.7
2020-05-20,0.02227,0.02242,0.0195,0.02084,657775245.7
2020-05-21,0.02082,0.02098,0.0182,0.01919,723993570.7
2020-05-22,0.01926,0.02104,0.0189,0.02039,441542448.1
2020-05-23,0.02039,0.02072,0.01964,0.02006,298427388.4
2020-05-24,0.02006,0.02173,0.01922,0.01927,597153540.5
2020-05-25,0.01924,0.02163,0.01905,0.02132,457281327.3
2020-05-26,0.02132,0.02689,0.02114,0.02582,1251730829.0
2020-05-27,0.02582,0.02649,0.02362,0.0244,1230182337.4
2020-05-28,0.02441,0.02668,0.02382,0.02518,701990008.8
2020-05-29,0.02519,0.02695,0.02476,0.02588,605050160.0
2020-05-30,0.02589,0.02589,0.023,0.02412,694494451.0
2020-05-31,0.02413,0.02491,0.01953,0.02048,1227741822.1
2020-06-01,0.02049,0.0227,0.02027,0.02178,888397657.3
2020-06-02,0.02178,0.02254,0.0197,0.02081,747702529.9
2020-06-03,0.0208,0.02192,0.02025,0.02164,385143570.6
2020-06-04,0.02164,0.02216,0.02061,0.02172,455347855.9
2020-06-05,0.0217,0.02195,0.01982,0.02061,365558469.8
2020-06-06,0.02062,0.02092,0.02013,0.02067,249854271.5
2020-06-07,0.02065,0.02076,0.01952,0.02031,312933693.5
2020-06-08,0.02032,0.02072,0.02,0.02032,164298887.3
2020-06-09,0.02032,0.02045,0.02002,0.02015,135621427.5
2020-06-10,0.02015,0.02189,0.02012,0.02129,520031923.7
2020-06-11,0.02128,0.02196,0.01925,0.01962,452116049.0
2020-06-12,0.01965,0.02057,0.0195,0.02047,201256801.9
