Date,Open,High,Low,Close,Volume
2020-04-25,5.06,5.185,5.028,5.083,14119.836
2020-04-26,5.083,5.18,5.019,5.129,15837.866
2020-04-27,5.139,5.181,5.007,5.119,10551.416
2020-04-28,5.109,5.203,5.006,5.18,20037.908
2020-04-29,5.18,5.699,5.165,5.6,34985.465
2020-04-30,5.6,5.8,5.06,5.196,59127.062
2020-05-01,5.196,5.437,5.172,5.37,24285.48
2020-05-02,5.397,5.43,5.303,5.43,17019.244
2020-05-03,5.413,5.498,5.21,5.352,25332.437
2020-05-04,5.352,5.352,4.992,5.192,54687.466
2020-05-05,5.192,5.405,5.121,5.405,45702.517
2020-05-06,5.395,5.46,5.251,5.31,51092.119
2020-05-07,5.329,5.956,5.272,5.898,163060.856
2020-05-08,5.915,5.949,5.703,5.776,67687.81
2020-05-09,5.741,5.868,5.605,5.722,56761.684
2020-05-10,5.722,5.735,4.7,5.489,102250.534
2020-05-11,5.509,5.59,5.049,5.392,84299.255
2020-05-12,5.389,5.682,5.385,5.51,55583.937
2020-05-13,5.49,5.636,5.43,5.533,62941.856
2020-05-14,5.533,5.792,5.484,5.686,43977.808
2020-05-15,5.688,5.72,5.29,5.443,49411.895
2020-05-16,5.447,5.53,5.376,5.428,23523.107
2020-05-17,5.425,5.621,5.422,5.514,28119.683
2020-05-18,5.517,5.658,5.467,5.61,47511.614
2020-05-19,5.6,5.627,5.471,5.582,20642.478
2020-05-20,5.582,5.651,5.296,5.449,47197.479
2020-05-21,5.424,5.555,5.163,5.357,70310.598
2020-05-22,5.359,5.53,5.257,5.52,42156.078
2020-05-23,5.52,5.566,5.405,5.54,28578.026
2020-05-24,5.512,5.569,5.189,5.19,56076.725
2020-05-25,5.19,5.445,5.145,5.395,46384.086
2020-05-26,5.395,5.491,5.272,5.439,42532.419
2020-05-27,5.439,5.458,5.329,5.37,38282.975
2020-05-28,5.368,5.567,5.336,5.549,80827.795
2020-05-29,5.549,5.567,5.419,5.452,29990.693
2020-05-30,5.469,5.598,5.42,5.549,70810.962
2020-05-31,5.549,5.611,5.38,5.409,34349.744
2020-06-01,5.409,5.785,5.381,5.688,38912.071
2020-06-02,5.712,5.75,5.149,5.3,81374.153
2020-06-03,5.297,5.382,5.209,5.372,50987.366
2020-06-04,5.372,5.496,5.272,5.434,60535.453
2020-06-05,5.435,5.452,5.28,5.306,41784.68
