Date,Open,High,Low,Close,Volume
2020-04-25,0.0037,0.00395,0.00368,0.00374,31284022.0
2020-04-26,0.00374,0.00388,0.0037,0.00384,26677289.6
2020-04-27,0.00385,0.00415,0.00377,0.00391,39512973.1
2020-04-28,0.0039,0.00394,0.0038,0.0039,12049035.2
2020-04-29,0.00388,0.00412,0.00382,0.00396,46475947.2
2020-04-30,0.00395,0.0041,0.00366,0.00377,59229854.8
2020-05-01,0.00376,0.00396,0.00376,0.00393,26670490.5
2020-05-02,0.00393,0.00405,0.00386,0.00395,19483847.2
2020-05-03,0.00395,0.00401,0.0038,0.00389,16713260.4
2020-05-04,0.00389,0.00398,0.00357,0.00381,21636178.9
2020-05-05,0.00386,0.00407,0.00381,0.0039,30240867.8
2020-05-06,0.0039,0.00406,0.00384,0.00387,27537086.1
2020-05-07,0.00387,0.00392,0.0036,0.00375,35302392.3
2020-05-08,0.00375,0.00399,0.00373,0.00395,20669372.4
2020-05-09,0.00391,0.00403,0.00383,0.0039,22668338.6
2020-05-10,0.00387,0.00387,0.00336,0.00352,22833086.6
2020-05-11,0.00353,0.00363,0.00335,0.00355,17328302.8
2020-05-12,0.00357,0.00366,0.00348,0.00355,9654199.2
2020-05-13,0.00358,0.00372,0.00353,0.00357,13761633.6
2020-05-14,0.00357,0.00375,0.00355,0.00372,21834142.3
2020-05-15,0.00371,0.00383,0.00356,0.00363,27929786.2
2020-05-16,0.00363,0.00418,0.00361,0.00396,37291664.2
2020-05-17,0.004,0.00422,0.00378,0.00379,47845363.6
2020-05-18,0.00379,0.00393,0.00377,0.00392,31109655.1
2020-05-19,0.00392,0.00392,0.00378,0.00385,11406071.9
2020-05-20,0.00383,0.00392,0.00367,0.00379,19348520.5
2020-05-21,0.00377,0.00411,0.00368,0.00385,51976231.5
2020-05-22,0.00385,0.00464,0.00381,0.00427,92316744.9
2020-05-23,0.00428,0.00471,0.00425,0.00446,71196941.0
2020-05-24,0.00446,0.0052,0.00438,0.00468,144687778.5
2020-05-25,0.00466,0.00611,0.00448,0.00539,198941302.6
2020-05-26,0.00539,0.00543,0.00487,0.00495,80485895.9
2020-05-27,0.00495,0.00522,0.00462,0.00481,70120056.0
2020-05-28,0.00483,0.00486,0.00465,0.00469,29418506.5
2020-05-29,0.00469,0.005,0.00468,0.00489,31672503.3
2020-05-30,0.0049,0.00524,0.00488,0.00493,42508402.4
2020-05-31,0.00494,0.00501,0.00465,0.00465,54995280.1
2020-06-01,0.00468,0.00493,0.00465,0.00477,39914912.7
2020-06-02,0.00479,0.005,0.00438,0.00482,44984271.8
2020-06-03,0.00482,0.00496,0.00472,0.00491,22115404.7
2020-06-04,0.00493,0.0057,0.0049,0.00561,86279638.1
2020-06-05,0.00561,0.00565,0.00511,0.00512,58606608.5
2020-06-06,0.00515,0.00565,0.00504,0.00555,35288661.0
2020-06-07,0.00556,0.00557,0.00509,0.00541,21943781.5
2020-06-08,0.00542,0.00543,0.00524,0.00537,20105292.1
2020-06-09,0.0054,0.0057,0.00531,0.00558,32326640.1
2020-06-10,0.00558,0.00584,0.00546,0.00557,38415186.9
2020-06-11,0.00558,0.00562,0.00468,0.0048,62949262.7
2020-06-12,0.0048,0.00507,0.00474,0.00499,29442953.6
2020-06-13,0.00504,0.00545,0.00491,0.00534,44916144.5
2020-06-14,0.00537,0.00611,0.00524,0.00585,93770549.1
2020-06-15,0.00584,0.00608,0.005,0.00562,99754459.7
2020-06-16,0.00557,0.00698,0.00544,0.00664,130570269.0
2020-06-17,0.0066,0.00725,0.00619,0.00659,118368171.9
2020-06-18,0.00663,0.00664,0.00611,0.00623,54772240.7
2020-06-19,0.00623,0.0066,0.0059,0.00619,47488317.9
2020-06-20,0.0062,0.00641,0.00603,0.00626,38174416.7
2020-06-21,0.00626,0.00642,0.00611,0.00625,26802940.5
2020-06-22,0.00625,0.00673,0.00623,0.0063,50297725.5
2020-06-23,0.00629,0.00631,0.00602,0.00619,28759733.3
2020-06-24,0.00615,0.00644,0.00581,0.00595,44291070.7
2020-06-25,0.00596,0.00627,0.00547,0.00595,60300403.0
2020-06-26,0.00592,0.00619,0.00564,0.00584,25993774.7
2020-06-27,0.00583,0.00583,0.0052,0.00531,25822447.9
2020-06-28,0.00533,0.00566,0.00507,0.00552,15731356.8
2020-06-29,0.00552,0.00581,0.00542,0.00577,15648162.3
2020-06-30,0.00578,0.00595,0.00563,0.00567,20177445.1
2020-07-01,0.00567,0.00584,0.00557,0.00578,9817059.8
2020-07-02,0.00579,0.00591,0.00545,0.00562,18072807.1
2020-07-03,0.00561,0.00599,0.00552,0.00583,21030583.4
2020-07-04,0.00583,0.00622,0.0058,0.00609,28908878.3
2020-07-05,0.00609,0.0062,0.00562,0.00577,24249840.0
2020-07-06,0.00578,0.00615,0.00576,0.006,23775725.2
2020-07-07,0.006,0.00605,0.00583,0.00589,20878954.7
2020-07-08,0.00588,0.00619,0.00585,0.00613,32435116.5
2020-07-09,0.00613,0.00689,0.00598,0.00637,93020032.6
2020-07-10,0.00635,0.00801,0.00631,0.00719,278775928.0
2020-07-11,0.00719,0.00775,0.00678,0.00694,82114092.0
2020-07-12,0.00694,0.0073,0.00649,0.00652,64894489.3
2020-07-13,0.00653,0.00729,0.00652,0.00666,93248542.6
2020-07-14,0.00671,0.00707,0.00663,0.00685,53093091.0
2020-07-15,0.00685,0.00704,0.00661,0.0067,42728385.6
2020-07-16,0.00669,0.0069,0.00615,0.00658,57403924.7
2020-07-17,0.00658,0.00679,0.00647,0.00671,21616038.3
2020-07-18,0.0067,0.00771,0.00664,0.00738,67879679.5
2020-07-19,0.0074,0.00875,0.0073,0.00848,153505628.6
2020-07-20,0.00848,0.0105,0.00815,0.00963,214419464.3
2020-07-21,0.0096,0.0101,0.00868,0.0091,83602151.4
2020-07-22,0.0091,0.0139,0.00889,0.0124,299307937.0
2020-07-23,0.01235,0.01445,0.01156,0.01174,294208287.0
2020-07-24,0.01165,0.01211,0.01067,0.01089,110367278.9
2020-07-25,0.01079,0.012,0.0107,0.01087,72234696.4
2020-07-26,0.01087,0.01115,0.00983,0.01048,66628825.7
2020-07-27,0.01047,0.01054,0.00801,0.00879,122760626.3
2020-07-28,0.00883,0.00952,0.00858,0.00943,59751436.3
2020-07-29,0.00944,0.00984,0.00899,0.00909,48796818.6
2020-07-30,0.00907,0.00949,0.00901,0.00941,25891491.0
2020-07-31,0.00938,0.01,0.00882,0.00899,59609742.7
2020-08-01,0.00899,0.0093,0.00855,0.00914,57646444.6
2020-08-02,0.00917,0.00918,0.00816,0.00877,49391827.9
2020-08-03,0.00877,0.00929,0.00866,0.00877,28553232.9
2020-08-04,0.00877,0.00925,0.00867,0.00914,24498845.9
2020-08-05,0.00918,0.00942,0.0089,0.00907,26892544.5
2020-08-06,0.00906,0.0104,0.00901,0.01,80218089.9
2020-08-07,0.01001,0.01126,0.00957,0.00996,90184783.6
2020-08-08,0.00996,0.0107,0.00985,0.01035,52170996.4
2020-08-09,0.01036,0.01091,0.00987,0.01088,67590072.6
2020-08-10,0.01089,0.0134,0.01033,0.01256,136998909.1
2020-08-11,0.01256,0.01368,0.01023,0.01104,132124760.6
