Date,Open,High,Low,Close,Volume
2020-04-25,0.2912,0.3157,0.29,0.3002,2516568.58
2020-04-26,0.3,0.3031,0.2927,0.3,1256698.01
2020-04-27,0.3,0.3257,0.2954,0.3061,3689545.02
2020-04-28,0.3063,0.3194,0.3001,0.3106,1286350.56
2020-04-29,0.3108,0.3495,0.3108,0.3236,4948744.25
2020-04-30,0.3232,0.332,0.2958,0.3056,3341011.56
2020-05-01,0.3035,0.3243,0.3011,0.3122,1541638.23
2020-05-02,0.3114,0.3126,0.3045,0.3085,744831.14
2020-05-03,0.3085,0.3115,0.2918,0.2971,1148725.14
2020-05-04,0.2974,0.3066,0.2904,0.2956,893809.08
2020-05-05,0.2957,0.3029,0.2905,0.2951,573800.81
2020-05-06,0.2963,0.2983,0.2874,0.2894,436875.42
2020-05-07,0.2894,0.2956,0.2853,0.2925,688494.96
2020-05-08,0.2948,0.3164,0.2929,0.3054,1552292.12
2020-05-09,0.3054,0.3093,0.2968,0.2968,812846.07
2020-05-10,0.2969,0.2988,0.263,0.2804,1331165.73
2020-05-11,0.2808,0.2839,0.2582,0.2715,532133.27
2020-05-12,0.2715,0.283,0.2689,0.2775,300688.53
2020-05-13,0.2785,0.2857,0.2763,0.2827,319671.58
2020-05-14,0.2836,0.3098,0.2777,0.2897,911042.93
2020-05-15,0.2897,0.2959,0.2763,0.28,480388.24
2020-05-16,0.2801,0.2877,0.2795,0.2856,268946.76
2020-05-17,0.2846,0.2945,0.2835,0.2871,641568.16
2020-05-18,0.2871,0.2968,0.2857,0.2928,1086435.98
2020-05-19,0.2913,0.2987,0.2892,0.2967,506463.42
2020-05-20,0.2967,0.3184,0.289,0.3,1790691.26
2020-05-21,0.3005,0.3129,0.2826,0.3069,1042936.19
2020-05-22,0.3083,0.3199,0.3011,0.3153,1574024.87
2020-05-23,0.3153,0.318,0.3037,0.3119,431535.86
2020-05-24,0.3104,0.315,0.2914,0.2914,900988.19
2020-05-25,0.291,0.3135,0.2885,0.3109,640395.99
2020-05-26,0.3118,0.333,0.3069,0.326,1493729.33
2020-05-27,0.3259,0.3355,0.3037,0.3088,1151955.0
2020-05-28,0.3096,0.3156,0.3069,0.315,392871.39
2020-05-29,0.315,0.3152,0.3068,0.3148,347051.46
2020-05-30,0.3134,0.3297,0.3093,0.3212,552404.53
2020-05-31,0.3216,0.3322,0.3112,0.3147,621849.65
2020-06-01,0.3134,0.3248,0.3093,0.3171,610306.37
