Date,Open,High,Low,Close,Volume
2020-04-25,8.074,8.615,7.914,8.428,724063.739
2020-04-26,8.431,8.687,8.295,8.631,509487.02
2020-04-27,8.631,8.676,8.145,8.426,380481.38
2020-04-28,8.427,8.6,8.252,8.457,320153.247
2020-04-29,8.459,9.38,8.459,9.207,928595.897
2020-04-30,9.204,9.641,8.617,8.897,919550.858
2020-05-01,8.896,9.398,8.883,9.011,486684.584
2020-05-02,9.01,9.265,8.928,9.225,300686.565
2020-05-03,9.233,9.319,8.697,9.069,457269.971
2020-05-04,9.078,9.134,8.61,9.005,446498.175
2020-05-05,9.0,9.185,8.845,9.101,307640.716
2020-05-06,9.111,9.488,8.99,9.148,637971.447
2020-05-07,9.15,9.94,9.001,9.891,920851.299
2020-05-08,9.891,11.828,9.785,11.301,1453862.315
2020-05-09,11.294,11.65,10.72,10.994,1513657.85
2020-05-10,10.984,11.06,9.362,9.725,1800078.22
2020-05-11,9.708,10.216,9.256,9.629,955644.814
2020-05-12,9.602,10.199,9.567,10.001,566131.999
2020-05-13,10.001,10.477,9.812,10.285,543025.438
2020-05-14,10.285,10.562,9.91,10.186,623168.739
2020-05-15,10.19,10.254,9.8,10.033,391920.192
2020-05-16,10.026,10.173,9.875,10.008,314474.531
2020-05-17,10.005,10.433,9.967,10.156,458253.977
2020-05-18,10.149,10.54,10.149,10.245,515636.612
2020-05-19,10.246,10.333,9.94,10.328,374564.919
2020-05-20,10.314,10.413,9.951,10.14,327109.437
2020-05-21,10.135,10.203,9.201,9.537,433911.106
2020-05-22,9.538,10.644,9.382,10.388,956846.136
2020-05-23,10.38,10.499,10.104,10.203,452774.503
2020-05-24,10.194,10.322,9.613,9.631,508818.391
2020-05-25,9.631,9.967,9.546,9.923,372364.985
2020-05-26,9.912,10.155,9.577,9.935,565348.156
2020-05-27,9.934,10.24,9.858,10.009,387313.905
2020-05-28,10.02,10.439,9.908,10.429,465146.579
2020-05-29,10.421,10.487,10.053,10.242,334535.744
2020-05-30,10.234,11.15,10.14,11.03,799316.806
2020-05-31,11.034,11.85,10.504,10.945,1344438.365
2020-06-01,10.944,12.715,10.871,12.413,1975864.767
2020-06-02,12.406,13.2,11.255,12.135,2017869.823
2020-06-03,12.103,12.528,11.671,12.393,730048.044
2020-06-04,12.393,12.477,11.739,12.164,698462.436
2020-06-05,12.167,12.251,11.795,11.803,302340.372
2020-06-06,11.802,11.925,11.485,11.813,336430.9
2020-06-07,11.799,11.982,11.27,11.776,376839.567
2020-06-08,11.773,11.82,11.501,11.656,203374.443
2020-06-09,11.64,12.186,11.443,12.026,438707.152
2020-06-10,12.038,12.28,11.75,11.935,441173.611
2020-06-11,11.936,11.996,10.374,10.679,983798.204
2020-06-12,10.681,11.219,10.51,10.917,443221.163
2020-06-13,10.921,11.122,10.744,11.08,306550.782
2020-06-14,11.078,11.089,10.446,10.615,275271.027
2020-06-15,10.611,10.641,9.718,10.43,732171.957
2020-06-16,10.43,10.668,10.363,10.56,315546.21
2020-06-17,10.586,10.89,10.277,10.588,380844.134
2020-06-18,10.588,10.633,10.234,10.413,265533.413
2020-06-19,10.404,10.453,10.134,10.268,265460.755
2020-06-20,10.265,10.364,10.036,10.264,257832.851
2020-06-21,10.266,10.62,10.18,10.298,359397.308
2020-06-22,10.296,10.862,10.25,10.8,462273.529
2020-06-23,10.795,11.3,10.616,10.941,574854.45
2020-06-24,10.941,11.207,10.259,10.491,673476.168
2020-06-25,10.47,10.527,9.903,10.335,397649.024
2020-06-26,10.334,10.39,9.978,10.196,391454.32
2020-06-27,10.192,10.31,9.309,9.703,356137.486
2020-06-28,9.703,10.221,9.58,10.045,293127.456
2020-06-29,10.05,10.293,9.914,10.213,289510.149
2020-06-30,10.221,10.262,9.982,10.034,183471.055
2020-07-01,10.034,10.26,9.907,10.138,283396.911
2020-07-02,10.15,10.297,9.66,9.922,399810.85
2020-07-03,9.924,10.025,9.732,9.78,212150.978
2020-07-04,9.772,10.004,9.753,9.973,237696.203
2020-07-05,9.964,10.142,9.614,10.07,385945.662
2020-07-06,10.068,10.599,10.058,10.575,616865.704
2020-07-07,10.579,10.666,10.257,10.56,533419.576
2020-07-08,10.571,11.298,10.45,11.08,1128242.031
2020-07-09,11.075,11.298,10.402,10.768,792500.128
2020-07-10,10.768,10.77,10.304,10.499,680467.899
2020-07-11,10.508,10.922,10.388,10.741,679243.56
2020-07-12,10.737,10.95,10.444,10.797,501296.658
2020-07-13,10.801,11.252,10.3,10.677,824056.277
2020-07-14,10.665,11.02,10.33,10.83,559168.396
2020-07-15,10.824,11.382,10.823,10.989,752224.656
