Date,Open,High,Low,Close,Volume
2020-04-25,0.2245,0.2384,0.22,0.2299,3753326.83
2020-04-26,0.2299,0.2458,0.2295,0.2392,5825565.64
2020-04-27,0.2393,0.2434,0.223,0.2307,3479632.98
2020-04-28,0.2304,0.2359,0.2265,0.23,1666854.89
2020-04-29,0.23,0.2386,0.2257,0.2354,4873895.07
2020-04-30,0.2354,0.2383,0.2201,0.2229,4306867.25
2020-05-01,0.2224,0.2405,0.2224,0.2302,5463327.97
2020-05-02,0.2303,0.2529,0.2281,0.2315,8500428.88
2020-05-03,0.2313,0.232,0.221,0.2244,3817410.26
2020-05-04,0.2248,0.2254,0.2,0.2115,5370592.95
2020-05-05,0.2116,0.2132,0.1899,0.1973,12100214.38
2020-05-06,0.1973,0.1978,0.1807,0.1826,7497544.34
2020-05-07,0.1825,0.1866,0.1576,0.1723,10990235.77
2020-05-08,0.1723,0.1777,0.1635,0.1717,7246241.09
2020-05-09,0.1717,0.1885,0.1691,0.1769,7021601.64
2020-05-10,0.1769,0.1774,0.1405,0.1521,9342815.28
2020-05-11,0.1518,0.159,0.1387,0.1478,4891536.54
2020-05-12,0.1478,0.1667,0.1446,0.1654,6622763.19
2020-05-13,0.1645,0.1865,0.1607,0.1682,11156931.38
2020-05-14,0.1683,0.1737,0.1613,0.1635,5649688.2
2020-05-15,0.1638,0.1695,0.155,0.1608,5379142.38
2020-05-16,0.1605,0.1704,0.158,0.1656,4153096.33
2020-05-17,0.1656,0.179,0.165,0.1662,7800463.93
2020-05-18,0.1662,0.2,0.1662,0.197,13582283.85
2020-05-19,0.1971,0.2052,0.1791,0.1984,16077794.26
2020-05-20,0.1981,0.2,0.177,0.1862,9087371.28
2020-05-21,0.1863,0.1863,0.1654,0.1739,9098463.83
2020-05-22,0.1731,0.185,0.17,0.1799,5703639.43
2020-05-23,0.18,0.1962,0.1783,0.1876,7173588.78
2020-05-24,0.1882,0.2098,0.1718,0.1726,10248054.77
2020-05-25,0.1728,0.1932,0.1721,0.1874,7327907.93
