Date,Open,High,Low,Close,Volume
2020-12-30,13.88,31.415,6.162,8.926,1696277.712
2020-12-31,8.922,8.927,6.26,6.274,341244.911
2021-01-01,6.276,6.97,5.1,6.27,434821.177
2021-01-02,6.293,6.999,5.4,5.628,360938.905
2021-01-03,5.619,5.91,4.683,4.7,147846.946
2021-01-04,4.7,5.22,4.0,4.451,175943.81
2021-01-05,4.45,4.669,4.0,4.0,123029.926
2021-01-06,4.001,4.329,3.856,3.9,160570.238
2021-01-07,3.931,4.085,3.62,3.62,131899.64
2021-01-08,3.62,4.312,3.445,3.541,189515.078
2021-01-09,3.563,3.6,3.41,3.454,69911.399
2021-01-10,3.454,3.663,3.113,3.416,80627.444
2021-01-11,3.4,3.4,2.368,2.806,133360.843
2021-01-12,2.791,2.939,2.494,2.591,48094.795
2021-01-13,2.591,7.14,2.5,5.34,1872290.186
2021-01-14,5.34,6.0,4.356,4.57,1535285.078
2021-01-15,4.555,5.101,4.001,4.33,777019.311
2021-01-16,4.328,5.1,4.117,4.395,645494.682
2021-01-17,4.401,4.412,3.9,4.209,267362.269
2021-01-18,4.211,4.4,4.06,4.104,212766.319
2021-01-19,4.113,4.169,3.908,4.082,162518.684
2021-01-20,4.077,4.99,3.882,4.249,422065.191
2021-01-21,4.287,4.335,3.81,3.91,170629.415
2021-01-22,3.911,4.055,3.636,3.918,71898.138
2021-01-23,3.833,3.936,3.703,3.895,75720.897
2021-01-24,3.918,3.925,3.715,3.78,59693.995
2021-01-25,3.78,3.867,3.55,3.587,96264.448
2021-01-26,3.587,3.771,3.372,3.691,151450.478
2021-01-27,3.688,3.822,3.2,3.318,177287.511
2021-01-28,3.293,4.15,3.251,3.581,261052.67
2021-01-29,3.579,3.611,3.21,3.321,208546.21
2021-01-30,3.321,3.479,3.211,3.448,95336.796
2021-01-31,3.421,3.75,3.357,3.479,278200.283
2021-02-01,3.479,4.001,3.345,3.637,178808.428
2021-02-02,3.654,4.0,3.616,3.889,333404.678
2021-02-03,3.899,4.55,3.841,4.16,261259.682
2021-02-04,4.172,4.322,3.839,4.076,195179.05
2021-02-05,4.076,4.482,4.025,4.317,157982.135
2021-02-06,4.32,4.68,3.91,4.321,331155.303
2021-02-07,4.322,5.0,3.904,4.108,348849.303
2021-02-08,4.108,4.884,4.103,4.56,343310.458
2021-02-09,4.542,4.981,4.387,4.893,352010.64
2021-02-10,4.893,5.421,4.5,5.384,482807.925
2021-02-11,5.408,6.999,5.158,5.743,631990.861
2021-02-12,5.747,8.49,5.719,6.85,1069531.088
2021-02-13,6.85,7.9,6.591,7.135,543846.785
2021-02-14,7.136,7.249,6.484,6.762,267759.09
2021-02-15,6.749,7.0,5.121,6.227,314979.718
2021-02-16,6.172,7.075,5.954,6.643,239092.404
2021-02-17,6.627,7.79,6.34,7.601,299847.42
2021-02-18,7.6,8.88,7.48,8.145,502061.017
2021-02-19,8.142,8.68,7.607,7.961,362847.922
2021-02-20,7.962,7.99,6.631,6.887,360668.582
2021-02-21,6.946,7.92,5.304,6.963,268761.824
2021-02-22,6.999,7.027,5.3,5.982,381327.618
2021-02-23,6.052,6.052,4.0,4.843,325242.269
2021-02-24,4.839,5.764,4.551,4.884,265523.701
2021-02-25,4.933,5.428,4.621,4.621,216067.774
2021-02-26,4.643,4.677,4.0,4.299,192978.847
2021-02-27,4.312,4.94,4.253,4.61,173004.815
2021-02-28,4.625,5.359,4.001,4.616,526284.23
2021-03-01,4.621,5.135,4.425,5.089,245823.466
2021-03-02,5.089,5.219,4.507,4.665,173853.474
2021-03-03,4.66,5.2,4.626,5.1,198673.384
2021-03-04,5.1,5.2,4.511,4.638,244816.517
2021-03-05,4.633,4.86,4.27,4.687,155529.462
2021-03-06,4.671,7.351,4.461,5.847,2249374.165
2021-03-07,5.856,8.333,5.851,6.378,3877658.166
2021-03-08,6.274,6.87,5.88,6.28,1199416.567
2021-03-09,6.292,6.7,6.045,6.405,542774.813
2021-03-10,6.405,8.226,5.935,6.991,1355831.201
2021-03-11,6.948,11.46,6.8,8.818,3282735.57
2021-03-12,8.802,10.92,8.168,9.273,1389847.24
2021-03-13,9.273,12.752,8.699,10.766,1360423.675
2021-03-14,10.766,11.767,10.041,10.662,612596.414
2021-03-15,10.672,11.28,9.45,9.66,503217.132
2021-03-16,9.661,9.999,8.619,9.929,458857.768
2021-03-17,9.936,10.812,9.275,10.026,329307.777
2021-03-18,10.062,10.286,9.307,9.421,234692.087
2021-03-19,9.423,9.588,8.88,9.005,220686.965
2021-03-20,9.006,9.358,8.474,8.476,211527.317
2021-03-21,8.475,9.155,8.013,8.295,229307.727
2021-03-22,8.284,9.08,8.05,8.225,222232.927
2021-03-23,8.22,8.687,7.4,8.072,204475.995
2021-03-24,8.065,8.861,7.68,7.933,178208.126
2021-03-25,7.973,12.25,7.4,11.177,4109529.53
2021-03-26,11.139,12.0,9.587,10.11,2142187.797
2021-03-27,10.114,10.965,9.755,9.891,515043.989
2021-03-28,9.915,10.413,9.402,9.909,342620.94
2021-03-29,9.919,11.068,9.718,10.327,359382.73
2021-03-30,10.326,11.78,10.158,11.299,329440.301
2021-03-31,11.306,13.5,10.83,10.94,629594.888
2021-04-01,10.973,11.262,10.2,10.429,292172.783
2021-04-02,10.422,10.872,10.173,10.217,142746.064
2021-04-03,10.217,10.799,9.963,9.981,215698.297
2021-04-04,9.99,10.87,9.877,10.4,175861.03
2021-04-05,10.4,11.0,10.018,10.352,223422.733
2021-04-06,10.354,11.466,10.206,11.158,323693.207
2021-04-07,11.115,14.2,9.7,11.676,1597719.815
2021-04-08,11.632,15.4,11.236,13.143,1226493.11
2021-04-09,13.143,17.0,12.406,16.049,849272.211
2021-04-10,16.065,16.203,12.465,12.893,758777.026
2021-04-11,12.898,13.011,11.854,12.336,446094.081
2021-04-12,12.337,14.4,11.96,13.063,976102.378
2021-04-13,13.013,13.6,12.168,12.567,392459.472
2021-04-14,12.569,13.853,12.095,13.279,411638.946
2021-04-15,13.312,13.334,12.36,12.94,243785.948
2021-04-16,12.925,12.939,11.53,11.993,285951.437
2021-04-17,11.986,14.808,11.739,11.847,786011.334
2021-04-18,11.847,12.5,9.586,10.055,471332.707
