Date,Open,High,Low,Close,Volume
2020-04-25,0.617,0.634,0.5881,0.6316,373763.35
2020-04-26,0.6301,0.6625,0.6301,0.6604,363070.16
2020-04-27,0.6632,0.6876,0.6409,0.6585,475015.49
2020-04-28,0.6578,0.6703,0.6389,0.6682,266030.33
2020-04-29,0.6695,0.7958,0.661,0.7687,1939226.66
2020-04-30,0.7681,0.8167,0.7169,0.7392,2516039.18
2020-05-01,0.7392,0.7749,0.7369,0.7536,516200.01
2020-05-02,0.7537,0.7562,0.7316,0.7511,392429.85
2020-05-03,0.7511,0.7617,0.721,0.7266,341859.23
2020-05-04,0.7266,0.7291,0.6685,0.7177,428584.17
2020-05-05,0.7181,0.7299,0.6933,0.7099,248907.0
2020-05-06,0.7099,0.7219,0.68,0.682,329959.46
2020-05-07,0.6805,0.7146,0.675,0.7076,307873.58
2020-05-08,0.7095,0.8255,0.7001,0.7625,1217709.05
2020-05-09,0.7614,0.7769,0.7336,0.7409,565618.75
2020-05-10,0.7402,0.7419,0.6301,0.675,934645.76
2020-05-11,0.675,0.685,0.6259,0.6665,728091.23
2020-05-12,0.6628,0.7489,0.6623,0.7172,498263.66
2020-05-13,0.7172,0.782,0.7101,0.7635,382215.45
2020-05-14,0.7635,1.0041,0.7507,0.9453,7807425.95
2020-05-15,0.943,1.0791,0.9311,0.9551,7511859.84
2020-05-16,0.9564,0.9585,0.9157,0.9323,1615139.66
2020-05-17,0.9323,1.017,0.9143,0.9721,2568076.48
2020-05-18,0.9761,1.0593,0.935,1.0218,2966472.05
2020-05-19,1.0191,1.1955,0.957,1.1794,7547231.72
2020-05-20,1.1795,1.21,1.12,1.1679,4843475.85
2020-05-21,1.1673,1.5984,1.1418,1.5427,18676313.75
2020-05-22,1.5427,2.2268,1.4787,1.8003,33168978.19
2020-05-23,1.8003,2.095,1.798,1.8737,10913757.36
2020-05-24,1.8705,1.9259,1.5256,1.5367,9184919.12
2020-05-25,1.5373,1.8679,1.5254,1.7232,8697805.46
2020-05-26,1.7232,1.777,1.57,1.6523,3582616.49
2020-05-27,1.6532,1.7267,1.6168,1.6448,2864257.37
2020-05-28,1.6422,1.664,1.583,1.6064,2108469.23
2020-05-29,1.6064,1.6667,1.5836,1.6029,1916656.17
2020-05-30,1.6041,1.6094,1.5325,1.5768,2040393.21
2020-05-31,1.5791,1.5794,1.4631,1.5081,2449314.56
2020-06-01,1.5075,1.7899,1.481,1.7181,8944613.2
2020-06-02,1.7175,1.7889,1.5804,1.7361,3016831.93
2020-06-03,1.7373,1.7787,1.6947,1.712,1482286.28
2020-06-04,1.7102,1.7223,1.6613,1.6906,720605.63
2020-06-05,1.6941,1.6965,1.6413,1.6428,678873.15
2020-06-06,1.6423,1.7649,1.6166,1.7079,1412395.63
2020-06-07,1.7098,1.7405,1.6553,1.6961,807701.19
