Date,Open,High,Low,Close,Volume
2020-04-25,0.451,0.4839,0.4433,0.4609,9122380.7
2020-04-26,0.4604,0.4983,0.4589,0.4932,14302709.56
2020-04-27,0.4935,0.498,0.4508,0.4734,11337323.13
2020-04-28,0.4731,0.4957,0.4574,0.4874,10495350.61
2020-04-29,0.4875,0.5266,0.4818,0.517,16014794.12
2020-04-30,0.517,0.5367,0.4716,0.4886,16143905.44
2020-05-01,0.4882,0.5155,0.4877,0.501,8726378.7
2020-05-02,0.5011,0.5088,0.4902,0.5066,6088155.92
2020-05-03,0.5066,0.5149,0.477,0.4873,8270965.71
2020-05-04,0.4879,0.4903,0.4481,0.4804,10440757.94
2020-05-05,0.4803,0.4895,0.4688,0.4754,8356712.43
2020-05-06,0.4754,0.4903,0.4571,0.4589,7485727.29
2020-05-07,0.4586,0.4885,0.4543,0.4798,8088752.71
2020-05-08,0.4799,0.5287,0.4706,0.5155,11128629.84
2020-05-09,0.5159,0.5348,0.4909,0.4912,10804036.82
2020-05-10,0.4911,0.4918,0.401,0.4637,22298945.1
2020-05-11,0.4637,0.4727,0.4224,0.4504,12880046.25
2020-05-12,0.4501,0.4668,0.4478,0.4638,7645812.05
2020-05-13,0.4636,0.4753,0.4573,0.4665,6189734.3
2020-05-14,0.4667,0.4814,0.4578,0.4772,8943196.02
2020-05-15,0.4772,0.4875,0.4622,0.4662,9977358.18
2020-05-16,0.4665,0.4752,0.4626,0.4686,6808818.32
2020-05-17,0.4682,0.4842,0.4666,0.47,5799922.29
2020-05-18,0.47,0.4923,0.4682,0.4823,7090366.32
2020-05-19,0.4826,0.4852,0.4679,0.4844,5551620.92
2020-05-20,0.4848,0.5078,0.4726,0.4917,12765230.1
2020-05-21,0.492,0.4984,0.4496,0.463,12359635.12
2020-05-22,0.4633,0.534,0.4553,0.5165,22158696.75
2020-05-23,0.5164,0.5225,0.4981,0.5001,9855592.1
2020-05-24,0.5001,0.5113,0.4655,0.466,11165925.51
2020-05-25,0.4663,0.4936,0.4621,0.4917,12366218.85
2020-05-26,0.4919,0.5298,0.4745,0.5082,25381638.02
2020-05-27,0.5081,0.5147,0.4968,0.5049,13989874.94
2020-05-28,0.5045,0.5272,0.4971,0.5211,11330211.84
2020-05-29,0.5211,0.5305,0.5082,0.5157,9193878.9
2020-05-30,0.5155,0.571,0.5094,0.5639,22802228.04
2020-05-31,0.5639,0.5881,0.5392,0.5483,19816815.29
2020-06-01,0.5483,0.6151,0.5448,0.599,27746138.56
2020-06-02,0.5989,0.6346,0.5485,0.5985,20104668.5
