Date,Open,High,Low,Close,Volume
2020-09-30,2.4,4.2,2.4,2.8637,2954124.09
2020-10-01,2.8643,2.97,2.422,2.6603,1401466.76
2020-10-02,2.6601,2.849,2.4201,2.4947,899090.75
2020-10-03,2.495,2.62,2.3618,2.3919,467860.36
2020-10-04,2.3905,2.4132,2.0606,2.2399,340948.46
2020-10-05,2.2402,2.26,2.064,2.0754,329408.8
2020-10-06,2.0746,2.0875,1.6269,1.7936,427203.05
2020-10-07,1.7939,2.1,1.5762,1.8182,635445.76
2020-10-08,1.8183,1.9626,1.7587,1.8662,245713.19
2020-10-09,1.8664,1.913,1.76,1.7969,304392.97
2020-10-10,1.7927,1.8989,1.7832,1.8628,170742.7
2020-10-11,1.863,1.87,1.7583,1.7795,126648.19
2020-10-12,1.7799,1.93,1.7422,1.8068,222326.69
2020-10-13,1.807,2.28,1.8045,1.9822,623045.08
2020-10-14,1.9783,1.9949,1.8049,1.8646,214473.16
2020-10-15,1.8643,1.9343,1.8003,1.8454,133097.3
2020-10-16,1.8451,1.93,1.5853,1.6939,577449.47
2020-10-17,1.6937,1.725,1.6698,1.7207,143467.53
2020-10-18,1.7206,1.7729,1.65,1.6588,159335.03
2020-10-19,1.6586,1.8033,1.5644,1.5713,300926.64
2020-10-20,1.5712,1.5855,1.334,1.4037,378073.88
2020-10-21,1.3981,1.6964,1.3589,1.598,370265.99
2020-10-22,1.5952,1.8949,1.585,1.6665,544461.36
2020-10-23,1.6515,1.7488,1.6332,1.6983,159511.05
2020-10-24,1.6977,1.7052,1.617,1.6633,109170.94
2020-10-25,1.6629,1.6777,1.5789,1.6209,105047.02
2020-10-26,1.6208,1.6256,1.49,1.5504,143436.95
2020-10-27,1.5588,1.7499,1.5529,1.6518,208429.31
2020-10-28,1.6491,1.6681,1.46,1.4734,155452.63
2020-10-29,1.4736,1.6,1.4062,1.4327,186790.97
2020-10-30,1.4321,1.4798,1.3624,1.4693,125498.5
2020-10-31,1.4692,1.5541,1.4139,1.4161,124354.82
2020-11-01,1.4162,1.5229,1.4021,1.4585,142807.91
2020-11-02,1.4583,1.5795,1.4204,1.4614,195852.16
2020-11-03,1.4622,1.4792,1.3886,1.4165,113471.23
2020-11-04,1.4167,1.5389,1.345,1.4833,170697.65
2020-11-05,1.4836,1.5125,1.4233,1.466,162834.52
2020-11-06,1.4661,1.674,1.4613,1.6659,186623.58
2020-11-07,1.666,1.71,1.4515,1.5053,178374.66
2020-11-08,1.505,1.55,1.4784,1.5401,86360.98
2020-11-09,1.5403,1.67,1.4556,1.6543,219613.31
2020-11-10,1.654,1.89,1.65,1.7887,349650.65
2020-11-11,1.7888,1.8265,1.61,1.6757,173419.77
2020-11-12,1.6757,1.747,1.6389,1.6675,132128.54
2020-11-13,1.6679,1.87,1.6674,1.8164,221801.18
2020-11-14,1.8171,1.85,1.6968,1.741,226695.97
2020-11-15,1.7453,1.8482,1.69,1.7382,317134.37
2020-11-16,1.7414,1.81,1.7301,1.7938,204947.26
2020-11-17,1.7909,1.8338,1.7092,1.7754,280263.54
2020-11-18,1.7754,1.81,1.644,1.7,163914.07
2020-11-19,1.7019,1.7049,1.6003,1.6404,177446.09
2020-11-20,1.6404,1.8054,1.6385,1.7362,201935.84
2020-11-21,1.7508,1.8117,1.6882,1.7881,199798.42
2020-11-22,1.7907,1.8101,1.62,1.7495,202545.3
2020-11-23,1.7231,1.9145,1.7152,1.8369,434464.76
2020-11-24,1.8555,2.2,1.8165,2.0884,517390.31
2020-11-25,2.0884,2.5,1.9742,2.1718,560780.16
2020-11-26,2.1549,2.4551,1.8,2.0572,878663.03
2020-11-27,2.059,2.235,1.9653,2.1305,294749.12
2020-11-28,2.1172,2.59,2.1042,2.4731,578688.71
2020-11-29,2.469,3.5499,2.4292,3.4549,2326003.76
2020-11-30,3.4682,3.5406,3.0509,3.1015,988255.4
2020-12-01,3.136,3.1518,2.75,2.95,752665.65
2020-12-02,2.9176,3.2599,2.8547,2.9631,665239.43
2020-12-03,2.9736,3.57,2.9,3.4903,860391.96
2020-12-04,3.4907,3.62,2.9281,2.9561,682328.21
2020-12-05,2.9558,3.35,2.8813,3.2492,340463.48
2020-12-06,3.2492,3.99,3.2321,3.7401,1332318.76
2020-12-07,3.7541,4.25,3.6656,3.9138,1455118.51
2020-12-08,3.9254,3.94,3.0346,3.1791,1165887.51
2020-12-09,3.1712,3.5098,2.88,3.3022,795280.97
2020-12-10,3.3022,3.3034,2.8937,2.9976,451488.11
2020-12-11,3.0007,3.0007,2.5544,2.6657,483976.24
2020-12-12,2.6657,3.236,2.6,3.0676,588030.21
2020-12-13,3.0407,3.1,2.822,2.8549,335819.15
2020-12-14,2.855,2.92,2.7326,2.8154,400727.26
2020-12-15,2.8133,2.9872,2.52,2.5824,1277976.71
2020-12-16,2.5715,2.5908,2.3,2.3758,926500.45
2020-12-17,2.3758,2.79,2.351,2.5463,855897.31
2020-12-18,2.5462,2.6999,2.4655,2.558,484953.31
2020-12-19,2.5489,2.69,2.49,2.4915,397663.16
2020-12-20,2.4911,2.6059,2.1711,2.2537,490648.86
2020-12-21,2.2538,2.4492,2.0529,2.3,555502.91
2020-12-22,2.3,2.59,2.171,2.4341,618221.49
2020-12-23,2.4511,2.4702,1.8,2.234,445077.07
2020-12-24,2.2339,2.4198,2.1208,2.3202,297757.53
2020-12-25,2.315,2.3888,2.2307,2.2622,153292.97
2020-12-26,2.2618,2.3553,2.1132,2.1543,181352.45
2020-12-27,2.1543,2.4,2.0,2.1942,284959.1
2020-12-28,2.194,2.41,2.15,2.226,253111.87
2020-12-29,2.2266,2.3,2.1233,2.2344,171654.3
2020-12-30,2.2214,2.3,2.121,2.2,195126.44
2020-12-31,2.2059,2.3,2.11,2.128,108611.56
2021-01-01,2.1477,2.3,2.05,2.1048,222122.44
2021-01-02,2.1164,2.23,2.0742,2.1398,243300.39
2021-01-03,2.1387,2.533,2.1001,2.465,389181.92
2021-01-04,2.4651,2.69,2.1,2.3935,605444.81
2021-01-05,2.4081,2.68,2.3124,2.61,444309.12
2021-01-06,2.61,2.7646,2.5,2.644,408742.05
2021-01-07,2.6452,2.748,2.3701,2.56,362014.74
2021-01-08,2.5627,2.64,2.3,2.49,263164.42
2021-01-09,2.49,2.6699,2.3802,2.6033,263107.54
2021-01-10,2.595,2.87,2.2353,2.4877,382939.14
2021-01-11,2.4877,2.4877,1.854,2.2459,410172.32
2021-01-12,2.2335,2.39,2.0011,2.1517,200078.58
2021-01-13,2.1511,2.429,2.0196,2.3226,277667.53
2021-01-14,2.3446,2.5874,2.2826,2.4073,231700.02
2021-01-15,2.42,2.51,2.2402,2.4443,236169.31
2021-01-16,2.4444,2.75,2.3822,2.6493,388220.55
2021-01-17,2.6493,2.996,2.4243,2.8403,590883.92
2021-01-18,2.8541,3.13,2.834,3.0655,693516.28
2021-01-19,3.0786,3.29,2.8419,2.8823,608228.85
2021-01-20,2.8819,2.9603,2.5583,2.9381,431180.59
2021-01-21,2.9602,3.0,2.38,2.4604,366049.26
2021-01-22,2.461,3.0313,2.32,2.7673,714402.16
2021-01-23,2.7677,2.87,2.62,2.7288,308418.24
2021-01-24,2.7286,3.09,2.7174,2.9157,312541.64
2021-01-25,2.9159,3.09,2.7417,2.8,356759.18
2021-01-26,2.7998,3.0412,2.61,2.9811,298061.58
2021-01-27,2.9813,3.05,2.648,2.7239,328205.67
2021-01-28,2.7241,3.21,2.6452,3.0337,604060.73
2021-01-29,3.0338,3.1666,2.8273,3.0498,381615.42
2021-01-30,3.0498,3.9,2.9634,3.5305,1128711.91
2021-01-31,3.5479,3.67,3.2047,3.4066,526800.66
2021-02-01,3.4121,3.85,3.26,3.6924,547614.37
2021-02-02,3.6924,4.21,3.5715,4.1166,824292.2
2021-02-03,4.116,4.81,3.9017,4.7754,1001838.23
2021-02-04,4.7758,5.2601,4.5636,4.763,757667.75
2021-02-05,4.7608,5.29,4.7075,4.9276,641506.99
2021-02-06,4.9282,4.9636,4.313,4.4013,497703.47
2021-02-07,4.4199,4.51,3.9,4.3154,552066.9
2021-02-08,4.3141,5.13,4.3014,4.89,754276.28
2021-02-09,4.904,6.0,4.69,5.951,889922.77
2021-02-10,5.951,6.2861,5.21,5.9342,811470.1
2021-02-11,5.9298,7.02,5.5855,6.8584,670246.85
2021-02-12,6.8871,7.09,6.1322,6.51,614115.96
2021-02-13,6.5101,6.7618,5.9113,6.2929,466146.12
2021-02-14,6.2925,6.6997,6.0,6.0,535651.25
2021-02-15,6.0001,6.6,5.3517,6.1643,566566.75
2021-02-16,6.1639,6.5783,5.844,6.0799,529822.65
2021-02-17,6.0601,6.326,5.6668,6.1057,534113.13
2021-02-18,6.1069,7.272,6.0,7.1609,606134.57
2021-02-19,7.1673,8.5499,6.85,8.425,898948.28
2021-02-20,8.4473,9.415,7.7,8.6622,963801.33
2021-02-21,8.6621,9.75,8.4418,9.3383,682405.91
2021-02-22,9.3846,9.86,7.204,9.7759,1109905.36
2021-02-23,9.7288,13.0,7.0,11.501,2426646.49
2021-02-24,11.5021,14.6958,10.58,12.5499,2313390.36
2021-02-25,12.5499,15.2,12.18,12.2393,1249267.75
2021-02-26,12.2393,14.0,11.2811,12.3121,1013026.94
2021-02-27,12.309,13.054,11.875,12.0847,504106.79
2021-02-28,12.2269,12.61,10.29,11.2458,639184.7
2021-03-01,11.2385,14.494,11.1001,14.3318,644126.63
2021-03-02,14.4639,16.0,13.1106,14.7841,1036558.35
2021-03-03,14.836,18.0,14.5461,16.9,955701.54
2021-03-04,16.9387,18.09,15.2,15.8874,777228.72
2021-03-05,15.8874,17.85,14.75,17.1502,782957.34
2021-03-06,17.1502,17.8499,15.8086,16.541,495765.21
2021-03-07,16.5421,17.55,15.899,16.5016,359240.17
2021-03-08,16.5026,19.05,16.3815,18.5255,657908.45
2021-03-09,18.5956,19.7499,17.0,18.527,547413.8
2021-03-10,18.4086,19.99,17.1446,18.9701,699918.38
2021-03-11,18.97,19.86,18.01,19.42,458299.91
2021-03-12,19.423,19.5294,16.7841,17.0598,491849.12
2021-03-13,17.0525,18.81,16.5162,17.1123,332567.86
2021-03-14,17.1028,19.1158,16.2622,17.4753,506343.4
2021-03-15,17.4748,18.2274,16.0,16.9965,412704.52
