Date,Open,High,Low,Close,Volume
2020-04-25,0.9992,0.9997,0.9986,0.9991,2838467.58
2020-04-26,0.9991,1.0,0.9984,0.9986,3974682.93
2020-04-27,0.9986,0.9994,0.9981,0.9982,5388571.53
2020-04-28,0.9982,0.9996,0.998,0.9983,5863295.32
2020-04-29,0.9983,0.9995,0.9973,0.999,8637640.7
2020-04-30,0.999,1.0146,0.9975,0.9992,9271321.43
2020-05-01,0.9992,1.0004,0.9983,0.9995,4859928.65
2020-05-02,0.9995,0.9998,0.9985,0.999,3035836.41
2020-05-03,0.999,1.0,0.9987,0.9992,3306331.38
2020-05-04,0.999,0.9997,0.9981,0.9987,5376434.51
2020-05-05,0.9987,0.9999,0.9981,0.9993,5055968.44
2020-05-06,0.9993,0.9995,0.9977,0.9991,5857933.03
2020-05-07,0.999,1.0,0.9977,0.9987,6322312.25
2020-05-08,0.9987,0.9996,0.9975,0.9996,5063524.63
2020-05-09,0.9995,1.0,0.999,1.0,6966888.38
2020-05-10,1.0,1.0035,0.9987,0.9995,9560046.32
2020-05-11,0.9996,1.0005,0.9985,0.9997,7704221.23
2020-05-12,0.9995,1.0,0.9989,0.9993,3198696.43
2020-05-13,0.9994,0.9998,0.9984,0.9989,3562705.55
2020-05-14,0.9989,1.0004,0.9989,0.9997,5486965.07
2020-05-15,0.9997,1.0016,0.9995,1.0009,6146727.11
2020-05-16,1.0007,1.0012,0.9999,1.0002,4435851.53
2020-05-17,1.0001,1.0007,0.9994,1.0003,4196388.45
2020-05-18,1.0003,1.0016,0.9996,1.0005,5932153.68
2020-05-19,1.0005,1.0014,0.9996,0.9998,4952974.04
2020-05-20,0.9997,1.0015,0.9992,1.0005,5403418.41
2020-05-21,1.0004,1.0023,1.0004,1.001,6304774.02
2020-05-22,1.0009,1.0016,0.9996,0.9999,5180533.46
2020-05-23,1.0001,1.0003,0.999,0.9998,3884177.98
2020-05-24,0.9998,1.0011,0.9994,1.0005,3741541.3
2020-05-25,1.0005,1.0008,0.9996,1.0003,3520163.69
2020-05-26,1.0003,1.0012,1.0,1.0002,4673156.9
2020-05-27,1.0002,1.0008,0.9996,1.0001,4724607.2
2020-05-28,1.0001,1.0007,0.9994,0.9997,5341121.59
2020-05-29,0.9998,1.0011,0.9997,1.0006,3936031.26
2020-05-30,1.0005,1.0008,0.9993,1.0,4768691.37
2020-05-31,1.0,1.001,0.9996,1.0007,3839267.97
2020-06-01,1.0007,1.001,0.9937,0.9992,7519594.23
2020-06-02,0.9992,1.0012,0.9983,1.0001,11687169.36
2020-06-03,1.0001,1.0008,0.9995,0.9999,4406586.83
2020-06-04,1.0001,1.001,0.9993,0.9997,4711035.55
2020-06-05,0.9997,1.001,0.9996,1.0005,4364746.28
2020-06-06,1.0005,1.0013,1.0,1.0001,2558595.79
2020-06-07,1.0001,1.0009,0.9978,0.9996,5022230.82
2020-06-08,0.9996,1.0005,0.9991,0.9993,3047186.88
2020-06-09,0.9993,1.0008,0.9991,0.9995,2513824.43
2020-06-10,0.9995,1.0003,0.999,0.9995,3686211.99
2020-06-11,0.9994,1.003,0.9992,1.0013,4491614.45
2020-06-12,1.0013,1.0017,1.0001,1.0003,2407224.41
2020-06-13,1.0005,1.0007,0.9998,0.9998,2074710.93
2020-06-14,1.0,1.0011,0.9998,1.001,1776541.77
2020-06-15,1.0008,1.002,0.9995,0.9997,4314492.03
2020-06-16,0.9997,1.0007,0.9994,1.0001,3062212.86
2020-06-17,1.0001,1.0018,1.0,1.0009,4390931.9
2020-06-18,1.0009,1.0016,1.0006,1.0011,4336669.5
2020-06-19,1.0013,1.0019,1.0006,1.0014,3598460.23
2020-06-20,1.0014,1.0016,1.0004,1.0006,2298639.38
2020-06-21,1.0006,1.0016,1.0001,1.0014,3093802.65
2020-06-22,1.0013,1.0015,0.9995,0.9999,4827475.95
2020-06-23,1.0001,1.0008,0.9997,1.0004,3506269.91
2020-06-24,1.0003,1.0022,1.0001,1.0012,6284700.13
2020-06-25,1.0013,1.0027,1.0004,1.0008,3386299.77
2020-06-26,1.0009,1.0022,1.0004,1.001,3298164.6
2020-06-27,1.001,1.0018,1.0006,1.001,3544121.53
2020-06-28,1.001,1.0015,1.0003,1.0007,2973185.54
2020-06-29,1.0007,1.0015,1.0001,1.0004,4847148.0
2020-06-30,1.0004,1.001,1.0,1.0003,4859055.05
2020-07-01,1.0003,1.0008,0.9993,0.9997,4248107.08
2020-07-02,0.9997,1.0009,0.9994,1.0,4211354.25
2020-07-03,1.0,1.0029,0.9993,0.9999,3434203.32
2020-07-04,1.0001,1.0003,0.9992,0.9999,2552577.12
2020-07-05,0.9999,1.0003,0.9993,0.9998,3240431.95
2020-07-06,0.9996,1.0128,0.9995,1.0001,7377369.91
2020-07-07,0.9999,1.0012,0.9997,1.0001,5694859.08
2020-07-08,1.0001,1.0008,0.9994,0.9997,7294062.2
2020-07-09,0.9996,1.001,0.999,1.0002,7868150.89
2020-07-10,1.0,1.01,0.9998,1.0,6248183.18
2020-07-11,1.0,1.0005,0.9998,1.0002,2106092.08
2020-07-12,1.0002,1.0003,0.9997,0.9999,3828781.4
2020-07-13,1.0,1.0009,0.9997,1.0008,5906330.65
2020-07-14,1.0008,1.0012,0.9998,1.0002,11014368.59
2020-07-15,1.0002,1.0015,0.9998,1.0011,7509439.7
2020-07-16,1.001,1.0079,1.0003,1.0006,8087205.1
2020-07-17,1.0006,1.0015,0.9999,1.0003,6841600.64
2020-07-18,1.0003,1.0004,0.9996,0.9999,2607142.9
2020-07-19,0.9997,1.0004,0.9994,0.9995,3333511.28
2020-07-20,0.9995,1.0004,0.9995,0.9997,4910614.48
2020-07-21,0.9997,1.0003,0.9989,0.9993,6814815.38
2020-07-22,0.9994,1.0002,0.9978,0.9982,6310513.54
2020-07-23,0.9983,0.9997,0.9976,0.999,6685779.06
2020-07-24,0.9989,0.9994,0.9984,0.9987,3997056.5
2020-07-25,0.9988,0.9998,0.9982,0.999,5494584.09
2020-07-26,0.9988,0.9998,0.9955,0.9991,11830515.61
2020-07-27,0.999,0.9995,0.9971,0.9983,10142298.46
2020-07-28,0.9983,1.0004,0.9978,0.9979,13005314.22
2020-07-29,0.9979,1.0006,0.993,0.9991,8063789.84
2020-07-30,0.9991,1.0009,0.998,0.9986,8730573.65
2020-07-31,0.9986,0.9998,0.9981,0.9985,10213163.29
2020-08-01,0.9985,0.9998,0.9971,0.9987,13895189.85
2020-08-02,0.9988,1.0004,0.995,1.0001,13289886.97
2020-08-03,1.0001,1.0003,0.9987,0.999,7992484.36
2020-08-04,0.999,1.0,0.9989,0.9996,8854252.89
2020-08-05,0.9995,1.0003,0.9983,0.9989,12526672.05
2020-08-06,0.9989,0.9998,0.9986,0.9992,11664918.93
2020-08-07,0.9992,0.9999,0.9986,0.9989,9334014.86
2020-08-08,0.999,0.9997,0.9986,0.9996,4203853.27
2020-08-09,0.9995,0.9999,0.9986,0.9993,4059202.61
2020-08-10,0.9994,0.9996,0.9977,0.9991,6652471.99
2020-08-11,0.9993,1.0007,0.9986,1.0004,8192914.35
2020-08-12,1.0004,1.0005,0.9989,0.9997,7233787.47
2020-08-13,0.9997,1.0,0.9981,0.9986,11136667.75
2020-08-14,0.9987,0.9995,0.9978,0.9988,11422799.65
2020-08-15,0.9988,1.0001,0.9986,0.9994,17251935.22
2020-08-16,0.9994,1.0004,0.999,0.9996,12744776.87
2020-08-17,0.9996,1.0002,0.9973,0.9988,12789784.12
2020-08-18,0.9988,1.0001,0.9984,0.9993,12385473.99
2020-08-19,0.9993,1.0002,0.999,0.9998,13546284.89
2020-08-20,0.9997,1.0,0.9988,0.9994,7978727.41
2020-08-21,0.9995,1.0007,0.9991,1.0002,11935286.02
2020-08-22,1.0001,1.0019,0.9995,0.9995,9751369.83
2020-08-23,0.9996,1.0,0.9993,0.9997,7242485.89
2020-08-24,0.9997,1.0002,0.9994,0.9998,7475879.07
2020-08-25,0.9998,1.0004,0.9994,0.9996,10683951.58
2020-08-26,0.9996,1.0008,0.999,0.9995,7317853.45
2020-08-27,0.9995,1.0002,0.9993,1.0001,7826360.37
2020-08-28,1.0001,1.0003,0.9991,0.9996,6367796.68
2020-08-29,0.9996,1.0001,0.9992,0.9998,5490162.47
2020-08-30,0.9996,1.0004,0.9996,1.0,8877634.0
2020-08-31,1.0,1.0008,0.9992,0.9997,9321747.07
2020-09-01,0.9997,1.003,0.9985,0.9997,13365638.12
2020-09-02,0.9997,1.0004,0.9984,0.9993,11679087.94
2020-09-03,0.9992,1.0004,0.9984,0.9985,11026388.66
2020-09-04,0.9986,0.9996,0.9984,0.9992,11266430.87
2020-09-05,0.9993,1.0008,0.999,0.9999,9374227.99
2020-09-06,0.9999,1.002,0.9993,0.9999,6350411.62
2020-09-07,0.9999,1.0005,0.9995,0.9998,7362667.66
2020-09-08,0.9999,1.0006,0.9996,1.0003,9962391.82
2020-09-09,1.0003,1.0006,0.9993,0.9997,6937435.8
2020-09-10,0.9997,1.0,0.9992,0.9997,8665626.47
2020-09-11,0.9997,1.002,0.9992,0.9995,6471499.46
2020-09-12,0.9995,1.0003,0.9995,0.9998,5274468.49
2020-09-13,1.0,1.0004,0.9982,0.9999,6400917.09
2020-09-14,0.9999,1.0003,0.9941,0.9997,8821540.33
2020-09-15,0.9997,1.0009,0.9996,1.0,9519088.93
2020-09-16,1.0,1.0006,0.9994,1.0,6512820.85
2020-09-17,1.0001,1.0005,0.9995,0.9999,7351042.57
2020-09-18,0.9999,1.0007,0.9997,0.9998,8394032.93
2020-09-19,0.9998,1.0002,0.9997,1.0,4142752.75
2020-09-20,1.0,1.0005,0.9994,1.0001,5273819.39
2020-09-21,1.0001,1.001,0.9998,1.0001,7788768.48
2020-09-22,1.0001,1.0005,0.9998,1.0001,6009063.29
2020-09-23,1.0,1.0007,0.9997,1.0003,7754397.62
2020-09-24,1.0003,1.0007,0.9997,0.9997,6704789.2
2020-09-25,0.9999,1.0003,0.9994,0.9995,5007167.37
2020-09-26,0.9995,1.0,0.9992,0.9999,3503341.66
2020-09-27,0.9999,1.0001,0.9995,1.0,3019214.01
2020-09-28,0.9999,1.0005,0.9996,1.0002,6139325.39
2020-09-29,1.0002,1.0007,0.9999,1.0,5060502.06
2020-09-30,1.0001,1.0009,0.9999,1.0,5090528.96
2020-10-01,1.0,1.001,0.9995,1.0004,5897419.12
2020-10-02,1.0003,1.0008,0.9997,0.9999,5404074.92
2020-10-03,0.9998,1.0001,0.9995,0.9998,2909683.72
2020-10-04,0.9997,1.0001,0.9996,0.9997,2757412.06
2020-10-05,0.9997,1.0003,0.9996,0.9997,3271197.81
2020-10-06,0.9997,1.0009,0.9996,1.0003,4562765.82
