Date,Open,High,Low,Close,Volume
2020-04-25,0.0136,0.0149,0.01328,0.01465,39322000.1
2020-04-26,0.01457,0.01541,0.01427,0.01438,38015918.6
2020-04-27,0.01438,0.0148,0.01407,0.0144,15741609.5
2020-04-28,0.0144,0.015,0.0141,0.01474,13196890.9
2020-04-29,0.01467,0.01559,0.01467,0.01499,35873624.5
2020-04-30,0.01502,0.01536,0.01381,0.01405,36299576.0
2020-05-01,0.01405,0.01499,0.01405,0.01462,17865120.2
2020-05-02,0.01462,0.0149,0.01452,0.01473,12522156.8
2020-05-03,0.01475,0.01495,0.01411,0.0144,13055093.9
2020-05-04,0.01439,0.01442,0.01345,0.01393,16462018.3
2020-05-05,0.01394,0.01432,0.01335,0.014,11658472.4
2020-05-06,0.014,0.01435,0.0135,0.01357,15483332.5
2020-05-07,0.01353,0.01378,0.01288,0.01321,12423743.6
2020-05-08,0.0133,0.0142,0.013,0.01365,17619887.8
2020-05-09,0.01358,0.01457,0.01344,0.01404,18235718.3
2020-05-10,0.01393,0.01398,0.01131,0.01245,26977244.3
2020-05-11,0.01246,0.0127,0.01147,0.01256,13063442.2
2020-05-12,0.01256,0.01354,0.01243,0.01281,11801041.1
2020-05-13,0.01287,0.01349,0.01285,0.01329,11701079.5
2020-05-14,0.01329,0.01358,0.01304,0.01339,10668550.8
2020-05-15,0.01344,0.0146,0.01312,0.01312,22489227.8
2020-05-16,0.01324,0.01481,0.01312,0.01479,20922868.3
2020-05-17,0.01479,0.01566,0.01443,0.01536,26595336.0
2020-05-18,0.01549,0.01633,0.015,0.01509,29424300.2
2020-05-19,0.01512,0.01516,0.01457,0.01506,15300622.0
2020-05-20,0.01506,0.01566,0.014,0.01468,19249048.4
2020-05-21,0.01472,0.01506,0.01325,0.01405,16536085.2
2020-05-22,0.01406,0.01553,0.01366,0.01534,15449222.8
2020-05-23,0.01542,0.01564,0.01473,0.01507,11272237.6
2020-05-24,0.01513,0.01718,0.01483,0.01559,57321090.0
2020-05-25,0.01551,0.01998,0.01516,0.01876,100656308.1
2020-05-26,0.01882,0.02395,0.01742,0.01757,176712880.5
2020-05-27,0.01758,0.01952,0.01698,0.01732,43390165.6
2020-05-28,0.01717,0.02097,0.01683,0.019,38982855.6
2020-05-29,0.01899,0.02012,0.01878,0.01997,21822703.7
2020-05-30,0.02012,0.02023,0.0177,0.01881,23397326.3
2020-05-31,0.01878,0.01909,0.01501,0.01689,26242691.7
2020-06-01,0.0169,0.01903,0.01682,0.01792,18164653.0
2020-06-02,0.01792,0.02098,0.01674,0.01782,23999550.8
2020-06-03,0.01782,0.01946,0.01728,0.01889,21425150.6
2020-06-04,0.01892,0.01909,0.0177,0.01881,19166087.1
2020-06-05,0.01874,0.01936,0.01839,0.01865,13249072.5
2020-06-06,0.01865,0.0201,0.01844,0.02,16778668.1
2020-06-07,0.02002,0.02143,0.01873,0.01975,39072621.6
2020-06-08,0.01975,0.0207,0.01967,0.0197,17576837.1
2020-06-09,0.01968,0.02043,0.01886,0.02,16199151.8
2020-06-10,0.02001,0.0212,0.01965,0.02109,17467760.2
2020-06-11,0.02107,0.02129,0.01721,0.01827,37869210.2
2020-06-12,0.01821,0.01976,0.0179,0.0195,13660549.3
2020-06-13,0.01959,0.02084,0.01947,0.0205,10531417.9
2020-06-14,0.02054,0.02275,0.02001,0.02066,52525626.6
2020-06-15,0.0207,0.02128,0.01768,0.01984,42189380.6
2020-06-16,0.01984,0.021,0.0193,0.02055,24871985.3
2020-06-17,0.02056,0.02198,0.0192,0.02137,30590380.6
2020-06-18,0.02137,0.02165,0.02025,0.02109,17639799.4
2020-06-19,0.02102,0.02188,0.01994,0.02103,24083605.4
2020-06-20,0.02104,0.02406,0.02096,0.02303,52978185.1
2020-06-21,0.02291,0.02542,0.02229,0.02315,54028006.8
2020-06-22,0.02316,0.02499,0.02175,0.0223,39535917.8
2020-06-23,0.02228,0.02351,0.02222,0.02308,18829823.9
2020-06-24,0.02309,0.0231,0.02018,0.02121,26079593.3
2020-06-25,0.02108,0.02122,0.01952,0.0202,21983298.1
2020-06-26,0.02007,0.02044,0.01901,0.01993,16323056.7
2020-06-27,0.01989,0.02029,0.01651,0.01768,20149896.2
2020-06-28,0.01764,0.019,0.01703,0.01835,16604901.4
2020-06-29,0.01841,0.01933,0.01804,0.01871,8811357.4
2020-06-30,0.01881,0.01943,0.01823,0.0183,5837561.9
2020-07-01,0.01829,0.01877,0.01767,0.01849,9526952.9
2020-07-02,0.01853,0.01869,0.017,0.01788,19828593.9
2020-07-03,0.01787,0.0195,0.01755,0.01846,18940760.1
