Date,Open,High,Low,Close,Volume
2021-03-09,0.1598,0.2,0.1475,0.1652,207071840.83
2021-03-10,0.1654,0.1657,0.1407,0.1426,60616190.22
2021-03-11,0.1429,0.1545,0.1301,0.1477,49242936.17
2021-03-12,0.1476,0.1529,0.1315,0.1361,36823396.09
2021-03-13,0.136,0.1593,0.132,0.1474,45698685.74
2021-03-14,0.1476,0.1998,0.1452,0.1823,135492681.27
2021-03-15,0.182,0.2197,0.16,0.1688,170747931.49
2021-03-16,0.1693,0.1799,0.1495,0.1655,60555982.71
2021-03-17,0.1655,0.179,0.1561,0.1726,40816366.87
2021-03-18,0.1722,0.2013,0.168,0.1714,77607575.59
2021-03-19,0.1714,0.1824,0.1601,0.1665,43852362.55
2021-03-20,0.1665,0.179,0.1617,0.1629,27134759.22
2021-03-21,0.1629,0.1711,0.1497,0.1635,40201012.94
2021-03-22,0.1636,0.175,0.1563,0.158,39833368.61
2021-03-23,0.158,0.1644,0.144,0.1602,34676433.77
2021-03-24,0.1604,0.1695,0.1449,0.1491,34496059.9
2021-03-25,0.1489,0.1501,0.1333,0.1385,25160311.27
2021-03-26,0.1385,0.155,0.1383,0.152,24281562.8
2021-03-27,0.1521,0.165,0.1436,0.1629,35284691.67
2021-03-28,0.1627,0.1995,0.158,0.1897,96521641.72
2021-03-29,0.1897,0.278,0.187,0.2497,401780784.11
2021-03-30,0.2487,0.258,0.2204,0.2268,121858409.93
2021-03-31,0.2265,0.2658,0.205,0.2082,83842644.86
2021-04-01,0.2082,0.249,0.203,0.2312,92728694.62
2021-04-02,0.2315,0.24,0.2052,0.2106,64783435.4
2021-04-03,0.2106,0.2119,0.1881,0.1898,62224728.33
2021-04-04,0.1899,0.25,0.1881,0.2224,86050727.34
2021-04-05,0.2227,0.318,0.2075,0.2608,145016307.99
2021-04-06,0.2619,0.308,0.2266,0.246,241327988.67
2021-04-07,0.2455,0.2546,0.2065,0.2343,144860625.94
2021-04-08,0.2348,0.2616,0.225,0.2446,71260993.23
2021-04-09,0.2441,0.2681,0.2335,0.2467,72594391.38
2021-04-10,0.2469,0.2469,0.2112,0.2193,89169410.18
2021-04-11,0.2193,0.2336,0.2165,0.227,41812731.48
2021-04-12,0.227,0.233,0.2036,0.2122,52424624.76
2021-04-13,0.212,0.2195,0.1959,0.2059,47762575.83
2021-04-14,0.2059,0.2148,0.19,0.2037,40357937.0
2021-04-15,0.204,0.239,0.1976,0.2216,72952389.69
2021-04-16,0.2218,0.227,0.1925,0.2013,63657440.95
2021-04-17,0.2013,0.2249,0.1981,0.2179,82994749.1
2021-04-18,0.218,0.2198,0.1455,0.1731,79845931.97
2021-04-19,0.1732,0.19,0.154,0.1582,70446515.27
2021-04-20,0.1582,0.1797,0.1365,0.1668,53011950.52
2021-04-21,0.1668,0.1754,0.1521,0.1539,44092448.48
2021-04-22,0.1533,0.165,0.1315,0.1369,42736703.54
2021-04-23,0.1367,0.1429,0.1176,0.134,65865304.12
2021-04-24,0.1341,0.142,0.1187,0.122,31338459.46
