Date,Open,High,Low,Close,Volume
2020-12-21,12.88,43.5,10.0,29.936,3825485.08
2020-12-22,29.999,32.342,18.605,21.699,2737099.91
2020-12-23,21.741,26.0,12.6,14.03,1205873.933
2020-12-24,14.039,19.577,12.1,16.675,1186146.153
2020-12-25,16.706,17.5,14.039,14.622,390951.157
2020-12-26,14.73,16.9,13.658,14.369,314585.718
2020-12-27,14.438,16.283,13.65,15.154,252888.794
2020-12-28,15.22,18.64,14.9,16.352,307480.821
2020-12-29,16.367,16.612,14.45,14.95,138724.976
2020-12-30,14.994,15.112,13.55,13.803,147323.936
2020-12-31,13.768,13.956,12.28,12.324,92889.178
2021-01-01,12.41,13.906,11.761,12.479,100247.502
2021-01-02,12.401,13.499,11.547,11.902,53325.864
2021-01-03,11.907,12.3,11.264,11.413,39472.452
2021-01-04,11.483,11.577,9.7,10.37,56125.46
2021-01-05,10.45,11.0,9.6,10.231,41682.329
2021-01-06,10.239,10.85,9.522,9.933,40072.938
2021-01-07,9.933,10.621,8.635,9.799,76916.752
2021-01-08,9.697,12.797,8.79,10.36,117441.099
2021-01-09,10.36,10.98,9.7,10.505,33337.027
2021-01-10,10.508,10.888,9.56,9.85,25789.595
2021-01-11,9.85,10.1,8.1,9.429,43398.665
2021-01-12,9.438,10.069,8.83,9.15,30918.755
2021-01-13,9.21,12.0,9.085,10.512,176947.272
2021-01-14,10.492,10.999,9.8,10.166,92677.228
2021-01-15,10.159,10.284,9.465,9.973,169141.822
2021-01-16,9.99,10.5,9.628,10.088,161456.424
2021-01-17,10.094,10.32,9.62,9.813,106529.374
2021-01-18,9.813,10.249,9.605,9.953,251583.963
2021-01-19,9.952,10.195,9.68,9.682,194529.461
2021-01-20,9.682,9.822,9.2,9.658,63653.825
2021-01-21,9.65,9.729,8.674,8.707,114573.767
2021-01-22,8.703,9.6,8.12,9.215,21018.905
2021-01-23,9.216,9.65,8.915,9.186,21444.346
2021-01-24,9.148,9.623,8.7,9.093,23898.368
2021-01-25,9.094,9.241,8.601,8.75,19322.439
2021-01-26,8.695,8.96,8.293,8.719,42151.251
2021-01-27,8.739,8.812,8.016,8.021,32160.451
2021-01-28,8.021,9.5,7.947,8.36,87035.627
2021-01-29,8.36,8.617,7.932,8.003,59720.707
2021-01-30,8.065,8.545,7.929,8.189,49245.516
2021-01-31,8.131,11.445,7.782,7.977,226784.129
2021-02-01,8.051,8.226,7.688,8.169,93472.253
2021-02-02,8.169,8.498,7.78,8.066,61719.026
2021-02-03,8.066,8.143,7.854,8.016,61440.841
2021-02-04,8.029,8.088,7.7,7.851,55006.411
2021-02-05,7.817,8.7,7.803,8.171,100319.203
2021-02-06,8.171,11.289,7.9,8.51,374506.89
2021-02-07,8.507,8.848,8.19,8.3,102191.55
2021-02-08,8.263,8.781,8.262,8.577,108297.061
2021-02-09,8.552,9.468,8.468,8.994,181531.797
2021-02-10,8.994,10.444,8.41,8.996,279833.357
2021-02-11,9.015,11.316,8.971,9.87,372197.87
2021-02-12,9.869,11.0,9.68,10.995,282667.966
2021-02-13,10.999,14.8,10.729,12.22,608133.949
2021-02-14,12.297,12.8,9.5,11.27,218225.861
2021-02-15,11.336,11.428,9.72,10.474,125901.96
2021-02-16,10.425,11.748,10.135,11.062,146393.386
2021-02-17,11.038,11.86,10.471,11.092,113198.228
2021-02-18,11.181,12.55,10.913,11.994,231691.923
2021-02-19,11.993,13.5,11.941,12.642,228656.323
2021-02-20,12.642,12.863,10.75,11.267,166623.038
2021-02-21,11.267,12.6,10.817,11.903,138497.98
2021-02-22,11.903,11.999,8.52,10.788,152718.647
2021-02-23,10.788,11.299,8.229,9.36,130995.755
2021-02-24,9.361,10.977,8.814,9.745,108605.503
2021-02-25,9.8,10.531,9.56,9.603,66667.488
2021-02-26,9.62,9.718,8.919,9.129,67895.088
2021-02-27,9.15,9.792,9.138,9.354,63056.442
2021-02-28,9.372,11.3,8.441,9.092,362716.292
2021-03-01,9.096,10.15,9.096,9.986,115743.31
2021-03-02,9.999,10.58,9.02,9.612,111386.823
2021-03-03,9.612,10.546,9.6,10.114,73659.505
2021-03-04,10.128,10.382,9.33,9.582,116704.381
2021-03-05,9.576,10.051,8.59,9.411,94627.881
2021-03-06,9.429,10.058,9.307,9.907,93326.576
2021-03-07,9.907,10.685,9.903,10.146,125219.977
2021-03-08,10.145,10.396,9.9,10.2,99975.928
2021-03-09,10.2,11.581,10.139,11.35,262418.777
2021-03-10,11.351,25.567,10.862,17.322,3737069.895
2021-03-11,17.345,21.812,14.87,16.842,2700948.751
2021-03-12,16.927,23.243,16.193,19.836,1500963.895
2021-03-13,19.823,30.0,19.499,26.981,1955472.984
2021-03-14,26.98,27.318,22.927,22.983,712623.238
2021-03-15,22.981,24.538,20.6,20.747,424399.95
2021-03-16,20.762,23.99,19.27,21.884,489194.782
2021-03-17,21.913,24.0,20.829,21.727,403094.053
2021-03-18,21.732,23.26,21.241,21.746,235300.733
2021-03-19,21.713,23.35,21.182,22.085,214038.159
2021-03-20,22.061,22.524,20.409,20.453,196627.12
2021-03-21,20.451,23.5,19.804,20.062,352280.319
2021-03-22,20.059,20.83,18.6,19.278,170704.67
2021-03-23,19.245,21.029,18.5,19.022,365611.665
2021-03-24,19.004,20.293,17.7,17.856,208312.808
2021-03-25,17.857,21.149,16.929,18.157,531695.635
2021-03-26,18.158,19.966,18.133,18.786,221239.709
2021-03-27,18.745,19.341,17.9,18.731,181969.437
2021-03-28,18.735,19.889,18.406,18.786,174931.984
2021-03-29,18.743,19.5,18.388,19.043,166562.671
2021-03-30,19.019,19.446,18.306,18.545,179023.351
2021-03-31,18.482,21.268,17.413,18.072,328185.187
2021-04-01,18.013,19.3,17.943,18.302,162012.106
2021-04-02,18.306,19.0,18.001,18.18,162578.333
2021-04-03,18.18,18.89,17.145,17.184,140717.996
2021-04-04,17.166,18.3,17.03,17.983,114553.097
2021-04-05,17.919,18.18,17.172,17.604,107705.24
2021-04-06,17.603,28.7,17.523,23.02,1506046.995
2021-04-07,23.071,39.452,21.708,27.251,5694584.942
2021-04-08,27.105,29.857,23.214,25.001,1249772.39
2021-04-09,25.037,27.98,24.16,25.901,638050.861
2021-04-10,25.788,28.077,24.595,25.278,547880.579
2021-04-11,25.314,29.975,25.25,29.714,661485.81
2021-04-12,29.825,38.48,28.724,35.439,2436547.495
2021-04-13,35.378,47.27,31.623,31.828,4093958.975
2021-04-14,31.931,34.89,29.95,32.389,1214253.493
