Date,Open,High,Low,Close,Volume
2021-04-09,7.03,9.699,5.201,5.529,33814111.154
2021-04-10,5.529,5.67,4.324,4.774,20726687.085
2021-04-11,4.767,4.8,3.862,4.47,14587275.178
2021-04-12,4.475,5.6,4.431,4.673,20031416.005
2021-04-13,4.663,4.74,4.221,4.532,9383892.564
2021-04-14,4.546,4.789,3.82,4.147,11219570.051
2021-04-15,4.145,4.55,4.04,4.314,8806478.408
2021-04-16,4.31,4.315,3.6,3.835,10420074.231
2021-04-17,3.841,4.241,3.661,3.918,9594438.187
2021-04-18,3.902,3.916,2.83,3.389,8908028.508
2021-04-19,3.39,3.8,2.98,3.129,8359358.621
2021-04-20,3.13,3.54,2.7,3.19,9426138.585
2021-04-21,3.189,3.735,3.135,3.195,12862959.6
2021-04-22,3.196,3.3,2.664,2.692,7371226.894
2021-04-23,2.695,2.788,1.759,2.658,15456619.171
2021-04-24,2.654,2.947,2.364,2.422,6295601.262
