Date,Open,High,Low,Close,Volume
2020-04-25,1.427,1.535,1.407,1.482,1897364.02
2020-04-26,1.482,1.562,1.473,1.532,1626484.961
2020-04-27,1.532,1.547,1.449,1.505,1388430.091
2020-04-28,1.506,1.536,1.467,1.527,864096.143
2020-04-29,1.525,1.656,1.523,1.633,2231114.211
2020-04-30,1.633,1.716,1.511,1.536,2860743.037
2020-05-01,1.537,1.64,1.537,1.585,1423745.646
2020-05-02,1.585,1.649,1.582,1.642,921590.046
2020-05-03,1.643,1.668,1.553,1.584,1373424.477
2020-05-04,1.589,1.594,1.456,1.558,2243091.915
2020-05-05,1.558,1.587,1.511,1.547,1733461.145
2020-05-06,1.546,1.593,1.488,1.508,1567600.539
2020-05-07,1.505,1.618,1.492,1.588,2165144.241
2020-05-08,1.59,1.695,1.548,1.657,2110594.285
2020-05-09,1.655,1.711,1.58,1.594,2934095.347
2020-05-10,1.594,1.595,1.359,1.442,4983810.616
2020-05-11,1.442,1.47,1.354,1.401,3421204.083
2020-05-12,1.401,1.48,1.396,1.468,1650057.031
2020-05-13,1.466,1.505,1.455,1.49,976804.161
2020-05-14,1.491,1.54,1.457,1.536,1858254.545
2020-05-15,1.537,1.567,1.482,1.501,1788185.555
2020-05-16,1.505,1.551,1.493,1.54,1375577.798
2020-05-17,1.54,1.582,1.535,1.547,1241389.163
2020-05-18,1.547,1.606,1.543,1.579,1165580.361
2020-05-19,1.579,1.585,1.526,1.582,926338.194
2020-05-20,1.583,1.619,1.547,1.576,1473756.898
2020-05-21,1.576,1.59,1.459,1.497,1499951.896
2020-05-22,1.495,1.818,1.482,1.763,5408538.387
2020-05-23,1.763,1.785,1.661,1.668,2596631.877
2020-05-24,1.667,1.735,1.557,1.56,2558462.264
2020-05-25,1.56,1.661,1.552,1.657,2404254.65
2020-05-26,1.657,1.674,1.577,1.658,2650765.115
2020-05-27,1.66,1.685,1.609,1.635,1527648.371
2020-05-28,1.636,1.698,1.617,1.689,1567640.517
2020-05-29,1.688,1.718,1.649,1.687,1326791.27
2020-05-30,1.69,1.811,1.662,1.802,2234549.546
2020-05-31,1.802,1.841,1.726,1.747,3183530.0
2020-06-01,1.748,1.908,1.736,1.89,3879050.202
2020-06-02,1.893,1.924,1.707,1.794,3387304.501
2020-06-03,1.795,1.838,1.752,1.829,1548148.235
2020-06-04,1.832,1.878,1.77,1.838,1466462.941
2020-06-05,1.838,1.855,1.789,1.798,1542859.155
