Date,Open,High,Low,Close,Volume
2020-04-25,0.316,0.342,0.3148,0.3381,537195.37
2020-04-26,0.3375,0.342,0.3283,0.336,526304.21
2020-04-27,0.3362,0.3415,0.3207,0.3294,358613.47
2020-04-28,0.3294,0.3749,0.3277,0.354,655309.11
2020-04-29,0.3533,0.3628,0.3439,0.3627,1205724.61
2020-04-30,0.3627,0.3765,0.3358,0.3379,799532.07
2020-05-01,0.3396,0.3604,0.3385,0.3424,418589.66
2020-05-02,0.3419,0.3507,0.3403,0.3438,290768.56
2020-05-03,0.3436,0.3479,0.3173,0.3231,554723.07
2020-05-04,0.3244,0.3335,0.312,0.3255,381280.56
2020-05-05,0.3257,0.3278,0.312,0.317,351376.43
2020-05-06,0.3175,0.3296,0.3066,0.3072,495612.26
2020-05-07,0.305,0.323,0.3026,0.3101,568709.61
2020-05-08,0.3101,0.339,0.31,0.3239,499632.72
2020-05-09,0.324,0.4802,0.3226,0.3913,4389413.65
2020-05-10,0.3915,0.3964,0.306,0.3326,3320525.83
2020-05-11,0.3326,0.3434,0.2971,0.321,1174703.85
2020-05-12,0.321,0.386,0.3148,0.3717,1140357.14
2020-05-13,0.3716,0.4031,0.3681,0.3986,1088791.88
2020-05-14,0.4026,0.4273,0.361,0.3668,1266450.61
2020-05-15,0.3678,0.387,0.3574,0.3675,1226986.96
2020-05-16,0.3683,0.3795,0.3642,0.3698,317903.01
2020-05-17,0.3695,0.3805,0.358,0.3582,350516.09
2020-05-18,0.3588,0.3634,0.3461,0.3579,987439.28
2020-05-19,0.3573,0.3616,0.3487,0.3567,326493.57
2020-05-20,0.3567,0.3683,0.3444,0.3524,430647.61
2020-05-21,0.3512,0.3579,0.325,0.3402,671421.11
2020-05-22,0.3395,0.3656,0.3371,0.3606,398582.28
2020-05-23,0.3616,0.367,0.3462,0.3575,327763.2
2020-05-24,0.3573,0.3742,0.3372,0.3372,519307.4
2020-05-25,0.3372,0.3747,0.3333,0.3579,903071.77
2020-05-26,0.358,0.4048,0.3557,0.3884,1312375.89
2020-05-27,0.3881,0.4317,0.3685,0.3802,1161077.27
2020-05-28,0.379,0.3835,0.3667,0.3763,325671.66
2020-05-29,0.3748,0.406,0.3688,0.3944,416393.86
2020-05-30,0.3948,0.4126,0.3894,0.394,571296.0
2020-05-31,0.394,0.4022,0.3744,0.3744,216380.09
2020-06-01,0.3744,0.4072,0.3724,0.3909,466436.15
2020-06-02,0.3905,0.405,0.3653,0.3804,546557.93
2020-06-03,0.379,0.4424,0.3789,0.4318,930293.6
2020-06-04,0.4335,0.4475,0.4127,0.4351,881930.46
2020-06-05,0.4373,0.5137,0.4291,0.491,2574120.47
2020-06-06,0.4906,0.4996,0.4726,0.4839,632050.39
2020-06-07,0.4861,0.56,0.4736,0.5279,2688647.87
2020-06-08,0.5279,0.5565,0.5177,0.5366,1162414.51
2020-06-09,0.5366,0.5481,0.5178,0.5453,315744.36
2020-06-10,0.5453,0.5484,0.4822,0.5085,1066633.19
2020-06-11,0.5085,0.545,0.4473,0.4653,1478518.68
2020-06-12,0.4609,0.5095,0.4609,0.5001,491794.9
2020-06-13,0.5001,0.5077,0.4849,0.5032,327231.66
2020-06-14,0.5039,0.5326,0.4701,0.4792,775523.58
2020-06-15,0.4793,0.4807,0.425,0.4703,1105845.05
2020-06-16,0.4679,0.4931,0.4626,0.4929,730750.77
2020-06-17,0.4929,0.5699,0.4819,0.5699,1734063.07
2020-06-18,0.5699,0.688,0.5316,0.6223,2758450.29
2020-06-19,0.6222,0.6893,0.598,0.6475,2154848.22
2020-06-20,0.6474,0.6488,0.59,0.6213,750220.79
2020-06-21,0.6213,0.6379,0.5847,0.5899,431905.41
2020-06-22,0.5899,0.6696,0.587,0.6295,813346.32
2020-06-23,0.6295,0.6781,0.6174,0.6563,939492.55
2020-06-24,0.6551,0.6794,0.6047,0.6315,717046.84
2020-06-25,0.6315,0.6999,0.6049,0.6756,1175663.59
2020-06-26,0.6756,0.6798,0.6151,0.6476,890444.57
2020-06-27,0.6474,0.6508,0.51,0.5777,1069612.14
2020-06-28,0.5777,0.6098,0.5508,0.5755,515241.16
2020-06-29,0.5755,0.643,0.5606,0.6198,929881.56
2020-06-30,0.6163,0.6346,0.6009,0.6171,470885.92
2020-07-01,0.6134,0.635,0.573,0.6086,359179.25
2020-07-02,0.6087,0.6251,0.5805,0.5921,549945.9
2020-07-03,0.589,0.6745,0.5857,0.6682,1064276.91
2020-07-04,0.6684,0.77,0.6682,0.7474,1951606.31
2020-07-05,0.7472,0.7592,0.6756,0.7357,811782.0
2020-07-06,0.7357,0.8044,0.7181,0.7835,766343.46
2020-07-07,0.7836,0.845,0.7607,0.8427,935198.98
2020-07-08,0.8435,0.9446,0.7906,0.9311,1421831.13
2020-07-09,0.9307,0.978,0.845,0.9485,1862553.21
2020-07-10,0.946,0.9483,0.8314,0.8787,1233903.66
2020-07-11,0.8769,0.9351,0.8454,0.9005,826119.11
2020-07-12,0.9017,1.088,0.8918,1.0602,2438208.86
2020-07-13,1.0602,1.1063,0.9812,1.0223,1473043.2
2020-07-14,1.0145,1.24,0.9155,1.0553,4255067.31
2020-07-15,1.0553,1.1971,0.9867,1.1846,2278361.49
2020-07-16,1.1859,1.2818,1.0757,1.21,2724690.41
2020-07-17,1.2076,1.95,1.207,1.7698,4688920.89
2020-07-18,1.7671,1.8698,1.5866,1.75,3978890.77
2020-07-19,1.7533,1.7536,1.4704,1.5231,2341119.33
2020-07-20,1.523,1.7946,1.3507,1.3639,2570268.84
2020-07-21,1.3672,1.5549,1.3129,1.4801,2564695.75
2020-07-22,1.4801,1.572,1.2037,1.2793,3726223.72
2020-07-23,1.2801,1.3191,1.2201,1.239,2408185.6
2020-07-24,1.2385,1.31,1.1,1.1245,2227951.73
2020-07-25,1.1234,1.315,1.1142,1.1533,3407472.13
2020-07-26,1.1535,1.2465,1.0501,1.1673,1815977.47
2020-07-27,1.1673,1.1709,0.949,1.0029,2781915.99
2020-07-28,0.9932,1.2198,0.9734,1.1755,2804510.89
2020-07-29,1.1755,1.2394,1.0705,1.0951,1559153.43
2020-07-30,1.0992,1.2989,1.0866,1.1741,2593553.7
2020-07-31,1.174,1.2499,1.1178,1.1814,2489103.02
2020-08-01,1.1768,1.22,1.12,1.1404,1772705.03
2020-08-02,1.1395,1.149,0.899,1.089,3579291.07
2020-08-03,1.089,1.1289,1.0521,1.071,1718136.37
2020-08-04,1.0716,1.2399,1.0652,1.2133,3459647.57
2020-08-05,1.2102,1.2665,1.1309,1.1716,2462552.86
2020-08-06,1.1684,1.3999,1.1656,1.3618,3800470.99
2020-08-07,1.3618,1.3618,1.2111,1.2915,2405592.38
2020-08-08,1.2919,1.5803,1.2773,1.5194,4417137.54
2020-08-09,1.52,1.7844,1.4652,1.7141,4520853.0
2020-08-10,1.7168,1.7692,1.4836,1.5974,4737156.58
2020-08-11,1.5974,1.6354,1.35,1.4679,4106693.86
2020-08-12,1.4652,1.8888,1.4326,1.7837,5063833.79
2020-08-13,1.7785,2.19,1.7711,1.8809,5866073.56
2020-08-14,1.881,1.962,1.8,1.8432,1816804.39
2020-08-15,1.8446,2.07,1.8189,1.8547,1954502.13
2020-08-16,1.8498,1.922,1.7228,1.871,3543086.0
2020-08-17,1.8694,1.9096,1.675,1.6963,2197332.54
2020-08-18,1.6966,1.7769,1.5133,1.568,2894124.97
2020-08-19,1.568,1.6323,1.387,1.4946,2715982.96
2020-08-20,1.4946,1.69,1.4946,1.6877,1819803.56
2020-08-21,1.6877,1.75,1.4017,1.4074,2753249.12
2020-08-22,1.4131,1.5291,1.3453,1.5173,1769602.59
2020-08-23,1.516,1.5997,1.41,1.5629,1764188.82
2020-08-24,1.5604,1.67,1.5113,1.6156,1076834.69
2020-08-25,1.614,1.7906,1.4658,1.4799,2760932.82
2020-08-26,1.4797,1.6309,1.45,1.5862,2034656.14
2020-08-27,1.5862,1.6534,1.3626,1.4573,1923842.69
2020-08-28,1.4562,1.5161,1.4228,1.47,858061.86
2020-08-29,1.4715,1.5916,1.4612,1.5709,1051518.51
2020-08-30,1.5667,1.68,1.5232,1.6254,1234316.06
2020-08-31,1.6286,1.7161,1.58,1.6045,1050365.15
2020-09-01,1.6011,1.6233,1.48,1.4911,1864915.96
2020-09-02,1.4827,1.4927,1.2665,1.3931,1609909.36
2020-09-03,1.3972,1.4061,0.95,1.047,4104614.84
2020-09-04,1.0508,1.1399,0.95,1.086,2971941.0
2020-09-05,1.0862,1.2,0.8167,0.9244,3586217.81
2020-09-06,0.9237,1.0621,0.8543,0.9973,1992478.88
2020-09-07,0.997,1.006,0.8574,0.9851,1640125.93
2020-09-08,0.9854,1.0064,0.8825,0.9109,1262536.95
2020-09-09,0.9083,1.0575,0.8818,1.0239,1641996.01
2020-09-10,1.0263,1.1181,1.0241,1.0351,1503074.13
2020-09-11,1.0362,1.1597,0.98,1.1349,1374966.0
2020-09-12,1.1322,1.2127,1.1052,1.1923,1160925.32
2020-09-13,1.1866,1.1954,1.0898,1.1323,1180130.47
2020-09-14,1.1293,1.1293,1.0414,1.1094,1525013.2
2020-09-15,1.1071,1.19,0.9761,0.983,1152587.56
2020-09-16,0.9801,1.3458,0.9155,1.2035,5029744.23
2020-09-17,1.2013,1.39,1.1431,1.2525,3339752.84
2020-09-18,1.2544,1.2798,1.0723,1.1,2369752.44
2020-09-19,1.0976,1.1059,1.0409,1.0557,760465.27
2020-09-20,1.0529,1.1062,0.9602,0.9881,1183135.57
2020-09-21,0.988,0.9956,0.85,0.8839,2258701.47
2020-09-22,0.8877,0.9875,0.8611,0.9431,2111612.88
2020-09-23,0.9418,0.9557,0.813,0.8191,1584811.77
2020-09-24,0.8216,0.925,0.8085,0.8854,1449542.67
2020-09-25,0.8869,0.9476,0.8412,0.9275,1366599.58
2020-09-26,0.93,0.9808,0.8789,0.9808,1769789.81
2020-09-27,0.9791,0.9977,0.8938,0.9536,1031705.11
2020-09-28,0.9552,0.986,0.8829,0.8944,1101840.75
2020-09-29,0.8946,0.9473,0.866,0.9406,851996.63
2020-09-30,0.9418,0.978,0.8803,0.9046,1138136.56
2020-10-01,0.9069,0.9645,0.85,0.9118,1747622.5
2020-10-02,0.9119,0.9181,0.7891,0.8697,2122991.67
2020-10-03,0.8697,0.89,0.8334,0.8354,831745.76
2020-10-04,0.8355,0.8899,0.8263,0.8641,762359.18
2020-10-05,0.8641,0.9067,0.8277,0.901,1053754.79
2020-10-06,0.9027,0.9027,0.7633,0.7725,1267321.62
2020-10-07,0.7724,0.7958,0.72,0.7949,1195062.76
2020-10-08,0.795,0.8,0.7221,0.7886,1134034.93
2020-10-09,0.7888,0.8494,0.7615,0.8363,1280370.33
2020-10-10,0.8331,0.97,0.825,0.9183,1726468.19
2020-10-11,0.9186,0.9736,0.8962,0.9245,1334202.06
2020-10-12,0.9233,0.9669,0.8939,0.9317,1044115.55
