Date,Open,High,Low,Close,Volume
2020-04-25,0.01788,0.01923,0.01756,0.01909,133223936.3
2020-04-26,0.01913,0.02081,0.01908,0.01998,228836059.4
2020-04-27,0.01999,0.02011,0.01861,0.01932,111173909.6
2020-04-28,0.01932,0.0197,0.01879,0.01953,54897274.4
2020-04-29,0.01946,0.0206,0.01925,0.0204,98076417.3
2020-04-30,0.0204,0.02091,0.01829,0.01901,127619738.2
2020-05-01,0.01897,0.0202,0.01893,0.01971,61268449.5
2020-05-02,0.01968,0.02188,0.0195,0.02141,145134715.7
2020-05-03,0.02141,0.02232,0.02009,0.02048,153823215.1
2020-05-04,0.02051,0.02175,0.01912,0.0214,110317250.9
2020-05-05,0.02134,0.02297,0.02052,0.0221,155200346.8
2020-05-06,0.0221,0.02363,0.02125,0.02145,227239539.7
2020-05-07,0.02145,0.02231,0.02093,0.0216,160969620.8
2020-05-08,0.02163,0.02259,0.02101,0.02189,109594107.8
2020-05-09,0.0218,0.0222,0.02087,0.02098,68421857.4
2020-05-10,0.02096,0.021,0.0168,0.01898,110256770.6
2020-05-11,0.01901,0.01928,0.01704,0.0183,84476396.3
2020-05-12,0.01829,0.02006,0.01805,0.01948,92307320.8
2020-05-13,0.01944,0.02005,0.01924,0.01956,84656107.7
2020-05-14,0.01956,0.01979,0.01895,0.01928,121326438.0
2020-05-15,0.01927,0.01938,0.01825,0.01854,71376930.9
2020-05-16,0.01855,0.01977,0.01834,0.0193,79667905.3
2020-05-17,0.01928,0.01954,0.019,0.01911,62344491.4
2020-05-18,0.0191,0.01963,0.01862,0.01928,63242378.1
2020-05-19,0.01927,0.01989,0.0187,0.0196,84005849.3
2020-05-20,0.01959,0.01982,0.01838,0.01914,74579156.2
2020-05-21,0.01912,0.01943,0.01752,0.01854,87454124.5
2020-05-22,0.01852,0.0198,0.01818,0.01935,94478559.5
2020-05-23,0.01936,0.0198,0.01886,0.0193,71900533.2
2020-05-24,0.0193,0.02099,0.01898,0.01905,174469415.0
2020-05-25,0.01905,0.0207,0.01861,0.02044,170679307.5
2020-05-26,0.02045,0.02155,0.01963,0.02111,208315778.7
2020-05-27,0.02113,0.02161,0.0199,0.02025,144411404.4
2020-05-28,0.0202,0.02076,0.01991,0.02052,90765855.4
2020-05-29,0.02052,0.02091,0.02012,0.02061,69818970.2
2020-05-30,0.02061,0.02137,0.02029,0.02124,105571727.9
2020-05-31,0.02122,0.02195,0.01839,0.01963,168034563.6
2020-06-01,0.0196,0.02087,0.01937,0.02068,120947540.8
2020-06-02,0.02072,0.02103,0.01884,0.02015,143812813.6
2020-06-03,0.0201,0.02056,0.01961,0.0204,46816531.0
2020-06-04,0.0204,0.02061,0.01972,0.0203,72648432.8
2020-06-05,0.02029,0.02041,0.02,0.02,58899246.2
2020-06-06,0.02,0.02037,0.01976,0.02011,28699823.1
2020-06-07,0.0201,0.02029,0.01932,0.0202,44703532.5
2020-06-08,0.0202,0.02133,0.02016,0.02088,109066976.0
2020-06-09,0.02085,0.02139,0.02035,0.0208,63134891.8
2020-06-10,0.0208,0.02171,0.02064,0.02116,101533424.3
2020-06-11,0.02122,0.02206,0.01857,0.01953,177326017.9
2020-06-12,0.01952,0.02033,0.01935,0.02005,64946287.7
2020-06-13,0.02006,0.0208,0.01977,0.02075,62172916.5
2020-06-14,0.02077,0.021,0.01957,0.01994,64189509.8
2020-06-15,0.01994,0.02015,0.0189,0.01994,73439337.4
2020-06-16,0.01995,0.02189,0.01977,0.02172,163789282.1
2020-06-17,0.02172,0.02259,0.02101,0.02195,230869885.0
2020-06-18,0.02201,0.02333,0.0214,0.02183,188379451.4
2020-06-19,0.02183,0.02185,0.02067,0.02089,120297090.8
2020-06-20,0.02089,0.02126,0.02008,0.02074,93494486.8
2020-06-21,0.02077,0.0216,0.0204,0.02049,85923558.1
2020-06-22,0.02047,0.02124,0.02047,0.02108,76644430.5
2020-06-23,0.02108,0.02171,0.02065,0.02135,74023355.2
2020-06-24,0.02135,0.02167,0.02005,0.02041,103441306.3
2020-06-25,0.02039,0.02044,0.01938,0.02,86580948.8
2020-06-26,0.01999,0.02002,0.01917,0.01934,78133310.6
2020-06-27,0.01935,0.01959,0.01733,0.01824,93221900.9
2020-06-28,0.01824,0.01924,0.01787,0.01877,62713621.0
2020-06-29,0.0188,0.01915,0.01864,0.01899,62836637.2
2020-06-30,0.01897,0.01921,0.01871,0.0189,48392673.7
2020-07-01,0.0189,0.01924,0.01866,0.01897,40803157.7
2020-07-02,0.01897,0.01913,0.01783,0.01838,85425473.5
2020-07-03,0.01837,0.01847,0.01806,0.01809,52648907.0
2020-07-04,0.0181,0.01908,0.01809,0.01885,48839457.1
2020-07-05,0.01887,0.01897,0.018,0.0185,36371919.0
2020-07-06,0.01845,0.01919,0.01837,0.01913,63373350.4
2020-07-07,0.01914,0.01935,0.01876,0.0191,64328240.1
2020-07-08,0.0191,0.02063,0.01908,0.0202,119418479.6
2020-07-09,0.0202,0.0206,0.01913,0.01968,99509639.0
2020-07-10,0.0197,0.02003,0.01929,0.01978,55477038.4
2020-07-11,0.01978,0.021,0.01975,0.02028,103149819.8
2020-07-12,0.02031,0.02063,0.01964,0.02012,75546534.3
2020-07-13,0.02015,0.0239,0.01996,0.0231,594740320.0
2020-07-14,0.0231,0.02437,0.0198,0.02137,665130821.5
2020-07-15,0.02141,0.02166,0.02014,0.0205,229201115.8
2020-07-16,0.02053,0.02074,0.01877,0.01975,182167232.9
2020-07-17,0.01972,0.02042,0.01946,0.0201,85041033.8
2020-07-18,0.0201,0.02035,0.01974,0.02017,44267429.4
2020-07-19,0.02018,0.0204,0.01968,0.0201,67151565.1
2020-07-20,0.0201,0.02145,0.01999,0.02071,177112499.2
2020-07-21,0.02069,0.02094,0.02015,0.0205,99392288.3
2020-07-22,0.0205,0.0206,0.02019,0.02037,64702497.4
2020-07-23,0.02037,0.02058,0.02011,0.02029,86115899.2
2020-07-24,0.02026,0.02034,0.0198,0.01997,73541435.8
2020-07-25,0.01993,0.02042,0.01993,0.02034,50904084.0
2020-07-26,0.02033,0.02059,0.02,0.0205,70869887.1
2020-07-27,0.0205,0.0207,0.01836,0.01948,174215862.9
2020-07-28,0.01955,0.0203,0.01933,0.02014,92760649.1
2020-07-29,0.02014,0.02056,0.01955,0.01979,80163905.5
2020-07-30,0.01979,0.02052,0.0196,0.02037,59126341.8
2020-07-31,0.02039,0.0209,0.02003,0.02061,65310393.7
2020-08-01,0.02064,0.02298,0.02058,0.0222,167304803.1
2020-08-02,0.02217,0.02263,0.0192,0.02063,104773566.2
2020-08-03,0.0206,0.0216,0.02038,0.02079,74974330.9
2020-08-04,0.02084,0.02129,0.0201,0.02104,60488244.0
2020-08-05,0.02104,0.02341,0.02082,0.02279,163397159.7
2020-08-06,0.0228,0.0241,0.0225,0.02273,146593251.3
2020-08-07,0.02273,0.02304,0.0213,0.02191,99965901.3
2020-08-08,0.02194,0.0225,0.02168,0.02239,83621506.7
2020-08-09,0.02239,0.02304,0.0221,0.02275,91478948.0
2020-08-10,0.02272,0.02336,0.0219,0.02334,122380134.6
2020-08-11,0.02332,0.02374,0.02121,0.02205,147508453.4
2020-08-12,0.02204,0.02291,0.02116,0.02277,79115672.2
2020-08-13,0.02273,0.0275,0.02172,0.02525,459126791.2
2020-08-14,0.02532,0.02645,0.02425,0.02458,175969024.4
2020-08-15,0.02463,0.02497,0.02377,0.02435,181995962.1
