Date,Open,High,Low,Close,Volume
2021-02-08,0.1,1.9,0.1,1.29,196034244.98
2021-02-09,1.2901,4.45,1.2897,3.4637,381378132.86
2021-02-10,3.4634,3.77,2.4,2.4788,135921672.05
2021-02-11,2.4775,2.9839,2.4699,2.6771,43471450.46
2021-02-12,2.6799,2.9363,2.6,2.732,27308963.5
2021-02-13,2.7325,2.85,2.51,2.62,19995742.96
2021-02-14,2.62,3.4,2.56,2.9044,56700304.19
2021-02-15,2.9,3.0506,2.51,2.74,32007775.08
2021-02-16,2.739,3.18,2.65,2.876,25399773.94
2021-02-17,2.8759,3.37,2.74,3.2424,30469118.42
2021-02-18,3.2424,3.34,2.9947,3.092,21201372.77
2021-02-19,3.0921,3.1516,2.65,2.7931,26936357.56
2021-02-20,2.7969,2.8721,2.508,2.6364,22294492.38
2021-02-21,2.6371,2.9,2.55,2.7715,17268342.47
2021-02-22,2.7716,2.989,1.92,2.455,30111579.72
2021-02-23,2.454,2.4772,1.5705,1.8939,26075725.84
2021-02-24,1.8864,2.2536,1.762,1.9652,19313854.04
2021-02-25,1.9745,2.1711,1.7888,1.8304,19659392.7
2021-02-26,1.8305,1.8841,1.562,1.6995,15440927.36
2021-02-27,1.6944,1.8475,1.65,1.7452,11112449.38
2021-02-28,1.7452,1.7677,1.3666,1.47,13950760.63
2021-03-01,1.47,1.7829,1.4655,1.7718,14556169.16
2021-03-02,1.776,2.29,1.7014,2.1649,36461342.36
2021-03-03,2.1647,2.28,1.9314,1.934,20726437.5
2021-03-04,1.933,2.0218,1.7762,1.8253,16206225.81
2021-03-05,1.8253,1.8253,1.6652,1.78,9595818.81
2021-03-06,1.7799,2.0268,1.7431,1.8878,12454396.32
2021-03-07,1.8867,2.053,1.8756,2.0169,10864137.27
2021-03-08,2.0158,2.18,1.9005,2.1285,16385571.14
2021-03-09,2.1284,2.18,2.0556,2.1549,10975940.81
2021-03-10,2.1559,2.1747,1.8336,1.8691,11787917.2
2021-03-11,1.8674,2.0899,1.8339,1.9209,12782704.76
2021-03-12,1.9204,1.9865,1.7194,1.8242,11848411.24
2021-03-13,1.8228,2.0007,1.7546,1.9315,10955109.44
2021-03-14,1.931,2.945,1.76,2.68,78956755.54
2021-03-15,2.6782,3.2,2.251,2.2875,54754747.61
2021-03-16,2.2875,2.8863,2.11,2.8644,34698983.99
2021-03-17,2.8682,3.047,2.5,2.714,23309148.39
2021-03-18,2.7133,2.9,2.613,2.6739,15055664.88
2021-03-19,2.6737,3.15,2.5413,3.1205,18582800.45
2021-03-20,3.1203,3.5,2.9279,2.9718,32872906.55
2021-03-21,2.9744,3.579,2.8555,3.4816,30961759.32
2021-03-22,3.4802,3.9712,3.2462,3.5345,32052962.83
2021-03-23,3.5233,3.813,3.2179,3.3166,20902209.02
2021-03-24,3.3166,3.4575,2.6366,2.798,21790965.48
2021-03-25,2.7932,2.9503,2.5,2.6869,23059757.76
2021-03-26,2.6877,2.9765,2.6869,2.8593,13593234.48
2021-03-27,2.8617,3.295,2.7749,3.0906,16734448.52
2021-03-28,3.0926,3.45,3.0,3.167,14595934.16
2021-03-29,3.1618,3.2666,3.0336,3.229,8903349.01
2021-03-30,3.2324,3.4457,3.095,3.3469,13505803.24
2021-03-31,3.3498,3.3512,2.8505,3.2344,13009854.19
2021-04-01,3.2345,3.25,2.855,2.9655,10113029.94
2021-04-02,2.9655,3.12,2.8769,3.017,9977443.29
2021-04-03,3.0137,3.15,2.6732,2.7214,12194362.49
2021-04-04,2.7199,2.97,2.678,2.9368,7625985.6
2021-04-05,2.9367,3.22,2.77,3.0738,14391314.61
2021-04-06,3.0741,3.1471,2.8,2.9378,11716387.14
2021-04-07,2.9404,2.9691,2.5283,2.6365,13300711.94
2021-04-08,2.6365,2.9063,2.5999,2.8777,11124632.44
2021-04-09,2.8776,2.967,2.7849,2.8396,8155955.37
2021-04-10,2.8397,3.1575,2.7839,2.9896,13085456.76
2021-04-11,2.993,3.0046,2.85,2.9181,6512249.48
2021-04-12,2.9181,3.3956,2.8852,3.2156,22697441.58
2021-04-13,3.2163,3.625,3.0245,3.3715,22955680.12
2021-04-14,3.3681,3.5335,3.02,3.1922,12392481.78
2021-04-15,3.1863,3.3865,3.1001,3.2392,9155744.22
2021-04-16,3.2379,3.2723,2.9145,3.0596,10057824.86
2021-04-17,3.0633,3.25,2.9709,3.0001,7611135.72
2021-04-18,3.0002,3.0288,2.0844,2.5293,18646659.97
2021-04-19,2.5296,2.7843,2.25,2.2966,13683703.4
2021-04-20,2.2942,2.5612,2.1,2.4528,12194128.96
2021-04-21,2.4471,2.51,2.2096,2.23,10794907.29
2021-04-22,2.2338,2.3718,1.9579,1.9861,13361721.67
2021-04-23,1.9805,2.0655,1.66,2.0654,17919079.45
2021-04-24,2.0616,2.065,1.8198,1.8504,5789468.33
