Date,Open,High,Low,Close,Volume
2021-03-25,2.71,3.19,1.928,2.728,27044183.871
2021-03-26,2.719,3.55,2.439,3.113,25673635.494
2021-03-27,3.107,3.888,3.094,3.447,18654434.185
2021-03-28,3.451,3.6,3.141,3.342,9137645.023
2021-03-29,3.342,3.7,3.225,3.689,6746125.663
2021-03-30,3.69,4.399,3.63,4.207,13884002.124
2021-03-31,4.203,4.77,3.456,3.503,13489609.415
2021-04-01,3.504,3.909,3.217,3.288,10115318.903
2021-04-02,3.289,3.4,2.935,3.152,9577879.928
2021-04-03,3.152,3.259,2.699,2.725,7015137.918
2021-04-04,2.725,3.35,2.65,3.119,9193510.351
2021-04-05,3.12,3.18,2.702,2.793,6098745.223
2021-04-06,2.793,2.905,2.37,2.551,6363507.586
2021-04-07,2.551,2.6,2.1,2.434,7545940.068
2021-04-08,2.432,3.193,2.392,2.765,10298248.229
2021-04-09,2.764,2.848,2.617,2.685,4526905.697
2021-04-10,2.683,3.185,2.478,3.024,10411375.019
2021-04-11,3.021,3.644,2.869,2.973,17011724.262
2021-04-12,2.975,3.09,2.767,2.827,3908190.97
2021-04-13,2.827,2.851,2.55,2.648,3405016.685
2021-04-14,2.651,2.899,2.511,2.592,4850704.19
2021-04-15,2.595,2.845,2.525,2.67,3497363.527
2021-04-16,2.671,2.75,2.401,2.562,3772097.068
2021-04-17,2.562,2.728,2.451,2.476,3707847.537
2021-04-18,2.479,2.507,2.003,2.36,4186605.124
2021-04-19,2.36,2.452,2.091,2.146,2879559.918
2021-04-20,2.146,2.309,1.894,2.115,3243216.285
2021-04-21,2.118,2.209,1.934,2.042,2607001.24
2021-04-22,2.044,2.245,1.816,1.92,3365599.381
2021-04-23,1.92,1.934,1.475,1.749,4067157.948
2021-04-24,1.747,1.753,1.519,1.588,1466359.794
