Date,Open,High,Low,Close,Volume
2020-12-04,1.0,1.018,0.9913,1.0075,226253.7
2020-12-05,1.0075,1.0079,0.9976,1.005,211645.68
2020-12-06,1.005,1.1053,0.995,0.999,255975.19
2020-12-07,0.999,1.0252,0.9963,1.0112,93121.15
2020-12-08,1.0067,1.0658,1.0056,1.008,145384.51
2020-12-09,1.0081,1.02,1.0025,1.0052,34907.8
2020-12-10,1.0053,1.0148,1.0047,1.0118,60955.58
2020-12-11,1.0054,1.8313,0.9814,1.012,653995.26
2020-12-12,1.012,1.0861,0.9955,1.0103,428162.73
2020-12-13,1.0097,1.015,1.0003,1.0056,47083.47
2020-12-14,1.0116,1.0199,1.0056,1.0196,25332.84
2020-12-15,1.0195,1.0196,1.003,1.0103,90884.31
2020-12-16,1.0104,1.0145,1.0041,1.0115,30834.05
2020-12-17,1.0119,1.0175,1.0041,1.0071,80118.82
2020-12-18,1.0071,1.0376,1.004,1.0079,231549.12
2020-12-19,1.0044,1.0183,1.0041,1.0093,121587.56
2020-12-20,1.0055,1.013,1.0041,1.0075,64694.27
2020-12-21,1.0075,1.0159,1.0015,1.0062,133781.71
2020-12-22,1.0062,1.0168,1.0015,1.0057,97290.45
2020-12-23,1.0057,1.0111,1.0015,1.0062,161057.13
2020-12-24,1.0062,1.0096,1.0015,1.006,121090.93
2020-12-25,1.006,1.0131,1.003,1.0031,120423.55
2020-12-26,1.0031,1.009,1.0022,1.0062,52347.17
2020-12-27,1.0044,1.0089,1.0023,1.0045,186978.04
2020-12-28,1.0067,1.01,1.004,1.01,136223.15
2020-12-29,1.0069,1.02,1.004,1.02,211164.83
2020-12-30,1.0205,1.037,1.003,1.017,109563.78
2020-12-31,1.017,1.025,1.0054,1.0112,27712.46
2021-01-01,1.0112,1.0833,1.005,1.0213,122706.4
2021-01-02,1.02,1.07,1.0058,1.0092,128742.78
2021-01-03,1.0092,1.025,1.0,1.0131,195159.84
2021-01-04,1.0165,1.0288,0.8573,0.987,527441.47
2021-01-05,0.9942,1.0063,0.9464,0.9803,240961.79
