Date,Open,High,Low,Close,Volume
2020-12-10,10.0,10.418,8.993,9.78,30974.06
2020-12-11,9.73,9.73,7.201,7.515,80698.69
2020-12-12,7.522,9.48,7.481,9.109,55419.74
2020-12-13,9.119,11.53,8.966,10.817,57103.31
2020-12-14,11.017,13.499,9.622,12.972,79411.95
2020-12-15,13.4,15.683,12.562,14.824,122953.68
2020-12-16,14.824,17.5,12.97,16.144,136245.52
2020-12-17,16.227,17.8,13.677,14.25,58846.92
2020-12-18,14.251,16.631,13.13,16.016,45488.76
2020-12-19,16.016,19.983,14.29,16.818,85354.57
2020-12-20,16.773,17.786,14.084,14.699,70011.72
2020-12-21,14.482,15.665,11.81,12.595,47909.99
2020-12-22,12.844,14.76,10.727,14.724,61603.55
2020-12-23,14.499,14.787,1.462,5.896,1327992.62
2020-12-24,6.05,7.704,4.955,7.541,307650.32
2020-12-25,7.634,8.146,6.475,7.255,276130.38
2020-12-26,7.38,7.4,6.094,6.501,133553.94
2020-12-27,6.542,8.5,6.01,7.82,126891.74
2020-12-28,7.82,9.507,7.59,7.874,130567.62
2020-12-29,7.9,8.044,6.481,7.438,173771.67
2020-12-30,7.258,8.69,6.592,7.744,134896.01
2020-12-31,7.849,9.902,6.918,9.513,93427.3
2021-01-01,9.504,12.221,9.029,12.176,189329.1
2021-01-02,12.219,12.461,10.272,11.292,186026.39
2021-01-03,11.303,13.226,10.0,12.473,262708.91
2021-01-04,12.551,15.849,11.24,13.066,198484.74
2021-01-05,12.982,14.744,10.8,14.16,150762.79
2021-01-06,14.152,15.29,12.766,14.188,117166.18
2021-01-07,14.285,16.5,8.969,12.531,144940.62
2021-01-08,12.539,14.665,7.133,13.07,320057.56
2021-01-09,13.176,18.559,12.312,14.765,294216.77
2021-01-10,14.82,16.759,9.678,11.841,286059.5
2021-01-11,11.974,11.974,5.796,8.95,359103.97
2021-01-12,8.931,13.218,7.709,10.44,408368.03
2021-01-13,10.44,16.91,8.361,16.356,468452.2
2021-01-14,16.258,21.63,15.305,20.414,368124.09
2021-01-15,20.569,31.138,17.805,25.0,352841.25
2021-01-16,25.255,35.685,22.316,32.233,204233.59
2021-01-17,32.217,38.824,28.943,31.398,157915.63
2021-01-18,31.427,37.999,29.0,35.48,91013.7
2021-01-19,35.5,37.819,20.289,24.369,272488.15
2021-01-20,24.369,29.706,20.01,29.536,352097.67
2021-01-21,29.543,29.81,16.0,17.306,328161.29
2021-01-22,17.364,31.0,14.393,28.379,381154.38
2021-01-23,28.134,34.5,26.655,31.212,164280.59
2021-01-24,31.23,44.0,30.4,42.571,181105.74
2021-01-25,42.6,75.242,26.811,28.812,328859.94
2021-01-26,28.816,36.812,21.641,32.432,389915.8
2021-01-27,32.432,32.677,23.0,23.95,283416.51
2021-01-28,24.006,36.722,22.678,32.657,231198.51
2021-01-29,32.75,38.99,28.243,38.427,163029.44
2021-01-30,38.756,52.631,33.182,52.371,150946.84
2021-01-31,52.627,61.924,44.16,49.209,161809.1
2021-02-01,49.191,85.0,45.001,84.375,193027.7
2021-02-02,84.691,95.0,74.0,79.835,99147.01
2021-02-03,80.144,107.198,77.242,98.5,68535.04
2021-02-04,98.458,134.011,96.299,106.415,77532.13
2021-02-05,106.25,114.163,92.0,97.333,60505.04
2021-02-06,96.901,104.0,66.605,77.409,180250.06
2021-02-07,77.307,80.251,48.423,66.678,174524.36
2021-02-08,66.678,82.365,61.409,75.849,156446.42
2021-02-09,75.851,84.89,69.128,75.803,91010.4
2021-02-10,75.987,93.33,66.026,80.562,108816.74
2021-02-11,80.817,105.887,69.128,97.344,106782.01
2021-02-12,97.209,102.624,81.523,93.197,57455.13
2021-02-13,93.175,100.598,80.206,84.326,52838.76
2021-02-14,84.658,89.145,69.0,70.097,67486.35
2021-02-15,70.294,106.5,34.163,93.005,220669.74
2021-02-16,93.366,101.998,72.9,83.078,94387.31
2021-02-17,83.3,87.9,62.244,77.757,137105.9
2021-02-18,77.787,85.776,69.301,72.839,70015.38
2021-02-19,72.448,73.829,55.0,58.319,133481.73
2021-02-20,58.318,83.984,57.492,75.443,325031.41
2021-02-21,75.409,81.848,67.64,70.474,76786.62
2021-02-22,70.543,70.629,41.908,65.438,203859.59
2021-02-23,65.577,69.784,30.562,55.4,375141.48
2021-02-24,55.543,62.347,48.806,55.232,82491.57
2021-02-25,55.107,69.464,51.749,52.959,60590.41
2021-02-26,52.959,70.4,44.76,61.3,113858.83
2021-02-27,61.597,79.562,61.184,68.822,95050.65
2021-02-28,68.606,69.625,48.847,59.091,79107.55
2021-03-01,59.684,87.123,58.698,86.998,125951.44
2021-03-02,87.123,102.044,68.126,77.079,181067.05
2021-03-03,77.279,86.849,73.26,75.124,90301.28
2021-03-04,75.038,85.04,72.0,74.3,85356.06
2021-03-05,74.277,74.277,62.39,69.189,53079.44
2021-03-06,69.499,72.186,63.5,69.083,34906.55
2021-03-07,69.239,79.6,67.268,78.301,46979.61
2021-03-08,78.5,80.199,70.0,73.562,39399.3
2021-03-09,73.79,95.127,72.5,90.767,99119.43
2021-03-10,91.07,91.979,75.079,77.789,47321.64
2021-03-11,77.789,86.98,71.272,82.0,35835.6
2021-03-12,82.43,89.054,77.784,87.555,41008.37
2021-03-13,87.631,118.143,84.571,112.862,59292.17
2021-03-14,113.549,114.792,93.877,95.778,28651.92
2021-03-15,95.758,106.022,86.9,88.867,32380.27
2021-03-16,89.382,97.297,79.7,91.491,25639.49
2021-03-17,91.791,93.374,79.315,87.959,31100.96
2021-03-18,88.375,92.669,84.01,85.569,28476.77
2021-03-19,85.754,95.391,77.411,92.0,26225.79
2021-03-20,91.648,99.832,81.05,81.498,25944.58
2021-03-21,81.24,84.363,69.9,74.1,46178.64
2021-03-22,74.445,76.935,57.17,58.135,58546.27
2021-03-23,58.222,62.413,49.419,49.88,81086.2
2021-03-24,49.88,58.427,34.099,37.5,140445.97
2021-03-25,37.5,40.775,32.06,37.154,216309.3
2021-03-26,37.058,51.651,37.058,51.041,136972.09
2021-03-27,51.009,51.939,43.571,46.019,84725.2
2021-03-28,46.124,48.792,36.165,38.65,116678.91
2021-03-29,38.68,43.499,37.151,41.627,196703.17
2021-03-30,41.678,42.309,38.46,39.116,114268.13
2021-03-31,39.072,40.355,31.517,34.99,218476.41
2021-04-01,34.947,37.639,33.481,35.11,180184.69
2021-04-02,35.295,43.39,33.961,42.977,216014.34
2021-04-03,42.951,43.761,32.526,33.965,145991.01
2021-04-04,33.817,37.12,32.639,35.68,103652.72
2021-04-05,35.75,37.878,32.819,34.29,95777.39
2021-04-06,34.321,39.021,33.0,35.403,145153.53
2021-04-07,35.37,36.284,25.968,27.841,129056.93
2021-04-08,27.88,31.584,27.323,30.402,82260.44
