Date,Open,High,Low,Close,Volume
2020-10-15,10.0,10.091,8.372,8.696,30960.69
2020-10-16,8.692,9.006,7.714,8.232,80387.74
2020-10-17,8.233,9.011,7.849,8.538,17239.12
2020-10-18,8.507,9.0,8.446,8.826,16726.79
2020-10-19,8.858,8.858,8.036,8.222,12676.63
2020-10-20,8.124,8.325,6.39,6.891,86439.77
2020-10-21,6.938,8.031,6.35,7.292,115588.69
2020-10-22,7.292,8.352,6.795,7.505,66087.18
2020-10-23,7.546,7.925,6.2,6.734,75240.77
2020-10-24,6.671,6.869,6.32,6.542,49880.57
2020-10-25,6.422,6.572,6.0,6.073,43867.82
2020-10-26,5.986,6.101,4.033,4.988,248520.71
2020-10-27,4.987,5.224,3.95,4.787,243316.95
2020-10-28,4.788,4.82,2.711,2.979,601291.11
2020-10-29,3.016,3.317,2.393,2.915,1620380.91
2020-10-30,2.894,3.132,2.33,2.714,1069095.55
2020-10-31,2.708,2.967,2.54,2.583,457084.58
2020-11-01,2.588,2.7,2.473,2.607,628925.66
2020-11-02,2.606,2.926,2.435,2.498,938868.84
2020-11-03,2.472,2.5,1.959,2.254,1638781.51
2020-11-04,2.246,2.394,1.892,2.23,1669355.67
2020-11-05,2.236,2.9,2.217,2.547,1009921.09
2020-11-06,2.535,3.66,2.507,3.66,828200.35
2020-11-07,3.675,6.547,2.835,3.471,3981412.61
2020-11-08,3.47,3.947,3.048,3.348,1350567.86
2020-11-09,3.35,3.486,2.622,3.087,970445.46
2020-11-10,3.095,3.753,2.957,3.527,1125210.21
2020-11-11,3.54,3.7,2.914,2.94,1009126.78
2020-11-12,2.98,3.0,2.328,2.469,1168746.27
2020-11-13,2.468,3.148,2.456,2.777,1585737.12
2020-11-14,2.789,2.907,2.426,2.645,1480951.78
2020-11-15,2.649,3.116,2.089,2.233,3195586.14
2020-11-16,2.221,2.911,2.159,2.817,1985577.18
2020-11-17,2.806,3.506,2.653,2.925,2118969.65
2020-11-18,2.923,3.088,2.029,2.361,2275551.51
2020-11-19,2.373,2.413,2.082,2.244,1627311.9
2020-11-20,2.247,2.66,2.212,2.375,1571840.87
2020-11-21,2.38,3.249,2.363,3.17,2297920.25
2020-11-22,3.182,3.315,2.428,2.623,2838518.95
2020-11-23,2.611,3.2,2.527,3.095,3080816.66
2020-11-24,3.1,3.88,2.52,3.383,5271253.08
2020-11-25,3.392,4.099,2.44,2.77,5933736.44
2020-11-26,2.77,3.004,0.819,1.489,21588323.27
2020-11-27,1.495,1.878,1.309,1.536,6247706.05
2020-11-28,1.535,1.635,1.339,1.493,3951441.54
2020-11-29,1.488,1.531,1.372,1.419,3121757.03
2020-11-30,1.43,1.868,1.276,1.511,11029841.18
2020-12-01,1.513,1.734,1.251,1.307,7427964.74
2020-12-02,1.301,1.501,1.225,1.393,4690124.53
2020-12-03,1.403,1.433,1.33,1.373,3472034.17
2020-12-04,1.373,1.393,1.053,1.089,3780363.72
2020-12-05,1.088,1.248,1.034,1.23,3100417.4
2020-12-06,1.234,1.273,1.128,1.202,2660069.56
2020-12-07,1.207,1.269,1.14,1.201,3961415.1
2020-12-08,1.2,1.23,1.018,1.05,4031547.35
