Date,Open,High,Low,Close,Volume
2021-04-07,0.1,10.0,0.1,2.9857,328396782.49
2021-04-08,2.9857,3.2,2.3064,2.3877,80960060.75
2021-04-09,2.3881,2.5564,2.101,2.2719,35034291.57
2021-04-10,2.2773,2.7689,2.25,2.3497,31585295.66
2021-04-11,2.3491,2.4,2.2,2.3032,12930783.9
2021-04-12,2.3045,2.64,2.22,2.3865,22305335.01
2021-04-13,2.3831,2.44,2.0,2.1419,21983209.01
2021-04-14,2.1419,2.22,1.97,2.0509,18898422.24
2021-04-15,2.0481,2.195,1.9901,2.0347,13979888.15
2021-04-16,2.0346,2.0417,1.688,1.7412,19020116.33
2021-04-17,1.741,2.117,1.7291,2.042,24913764.55
2021-04-18,2.0476,3.4815,1.851,2.9251,159620851.82
2021-04-19,2.9334,3.7941,2.7001,2.7515,156541723.79
2021-04-20,2.7482,3.1315,2.3888,2.4338,59490970.97
2021-04-21,2.4394,2.94,2.3748,2.4088,30888491.44
2021-04-22,2.41,2.57,2.12,2.1257,23063308.8
2021-04-23,2.1223,2.31,1.78,2.22,23271737.28
2021-04-24,2.2157,2.45,2.0063,2.1399,16108914.86
