Date,Open,High,Low,Close,Volume
2021-04-13,0.1,5.95,0.1,0.7269,934252520.34
2021-04-14,0.7269,0.9389,0.5502,0.583,710957671.01
2021-04-15,0.5844,0.5844,0.4658,0.4799,205358632.42
2021-04-16,0.48,0.485,0.3726,0.3829,193497182.63
2021-04-17,0.3826,0.4499,0.3783,0.3999,126113529.57
2021-04-18,0.4001,0.4095,0.3038,0.3597,112014126.75
2021-04-19,0.3595,0.415,0.317,0.3211,138152831.42
2021-04-20,0.3211,0.336,0.2912,0.3023,67285521.19
2021-04-21,0.3024,0.3212,0.2782,0.2818,73605111.66
2021-04-22,0.2811,0.298,0.25,0.2542,65269949.0
2021-04-23,0.2532,0.2565,0.1965,0.2253,75171468.8
2021-04-24,0.2266,0.2289,0.196,0.208,41110632.59
