Date,Open,High,Low,Close,Volume
2020-04-25,0.3395,0.3691,0.336,0.3518,1967872.92
2020-04-26,0.3517,0.3601,0.334,0.3507,1363076.51
2020-04-27,0.3507,0.3587,0.3315,0.3451,923978.53
2020-04-28,0.3452,0.3547,0.338,0.348,605131.5
2020-04-29,0.348,0.3826,0.3469,0.3641,2290370.63
2020-04-30,0.3644,0.3842,0.3361,0.3554,2573609.26
2020-05-01,0.3546,0.373,0.3546,0.3598,963024.75
2020-05-02,0.3598,0.3786,0.3586,0.3765,864452.68
2020-05-03,0.376,0.3785,0.3541,0.3571,956548.83
2020-05-04,0.3573,0.376,0.3324,0.3668,1725481.64
2020-05-05,0.3687,0.3741,0.3514,0.3643,500251.1
2020-05-06,0.3643,0.3848,0.357,0.3619,1206053.79
2020-05-07,0.361,0.3991,0.3586,0.3962,2577800.53
2020-05-08,0.3968,0.4431,0.3874,0.4298,3242355.4
2020-05-09,0.4292,0.4477,0.4056,0.4267,2513465.74
2020-05-10,0.4267,0.439,0.2945,0.3872,4731365.02
2020-05-11,0.3847,0.3967,0.347,0.3764,2248700.92
2020-05-12,0.3777,0.3868,0.3722,0.375,1223075.75
2020-05-13,0.375,0.384,0.3663,0.3763,1273697.28
2020-05-14,0.3775,0.3964,0.3676,0.3771,1467547.0
2020-05-15,0.3775,0.385,0.3478,0.364,1252150.26
2020-05-16,0.364,0.3932,0.3593,0.3851,1248705.01
2020-05-17,0.3842,0.4028,0.3821,0.3892,934629.06
2020-05-18,0.3891,0.3934,0.3629,0.3791,1085885.21
2020-05-19,0.3804,0.405,0.3726,0.3832,1164461.38
2020-05-20,0.3831,0.3957,0.3651,0.3771,1044351.41
2020-05-21,0.3761,0.3819,0.3514,0.3699,1241164.78
2020-05-22,0.372,0.3973,0.3564,0.3918,1077165.25
2020-05-23,0.3918,0.4077,0.3795,0.38,1069795.28
2020-05-24,0.3793,0.3989,0.3671,0.3705,1439422.0
2020-05-25,0.37,0.412,0.3662,0.4094,2419338.53
2020-05-26,0.4098,0.426,0.3912,0.4217,1474214.38
2020-05-27,0.4224,0.4249,0.3855,0.4038,1322922.97
2020-05-28,0.403,0.4097,0.3926,0.3995,591787.86
2020-05-29,0.4015,0.4086,0.395,0.398,653453.16
2020-05-30,0.3997,0.434,0.3974,0.4066,1502381.78
2020-05-31,0.4061,0.4109,0.3818,0.3885,792496.43
2020-06-01,0.3881,0.432,0.3856,0.405,2556355.36
2020-06-02,0.407,0.4187,0.3779,0.3995,1503509.45
2020-06-03,0.3986,0.41,0.3895,0.4004,862683.77
2020-06-04,0.3991,0.4052,0.3889,0.3996,688307.48
2020-06-05,0.3998,0.4049,0.3963,0.3997,527986.06
2020-06-06,0.3997,0.4162,0.397,0.4034,950228.93
2020-06-07,0.403,0.4208,0.3902,0.4159,1189137.47
2020-06-08,0.4163,0.4614,0.4138,0.4493,3305676.26
2020-06-09,0.4505,0.4731,0.4347,0.4533,2054928.93
2020-06-10,0.4533,0.5175,0.4418,0.5175,2743239.21
2020-06-11,0.5172,0.5175,0.3828,0.4305,4037612.92
2020-06-12,0.4305,0.465,0.415,0.4494,1661099.3
2020-06-13,0.4493,0.4658,0.4337,0.4386,1222736.9
2020-06-14,0.4386,0.4465,0.4055,0.4136,981484.0
2020-06-15,0.4127,0.42,0.3845,0.4172,1573602.68
2020-06-16,0.419,0.4435,0.4126,0.4293,1451681.9
2020-06-17,0.4314,0.4369,0.4101,0.4292,848796.31
2020-06-18,0.4292,0.4537,0.4222,0.4446,1369439.89
2020-06-19,0.4445,0.4846,0.43,0.4775,2399147.69
2020-06-20,0.4804,0.4804,0.438,0.463,1168535.78
2020-06-21,0.4653,0.4692,0.4311,0.4365,761104.88
2020-06-22,0.4365,0.4531,0.4281,0.4413,896438.67
2020-06-23,0.4414,0.4643,0.4414,0.4516,810066.87
2020-06-24,0.4503,0.47,0.4464,0.4611,1486340.66
2020-06-25,0.461,0.526,0.4372,0.5155,4454614.44
2020-06-26,0.5155,0.5685,0.4808,0.5595,6560820.39
2020-06-27,0.5595,0.5824,0.45,0.4946,4251052.41
2020-06-28,0.49,0.5478,0.4613,0.5049,2584126.68
2020-06-29,0.5036,0.5192,0.4843,0.5122,1405164.8
2020-06-30,0.5141,0.5153,0.4834,0.4879,842159.7
2020-07-01,0.4879,0.541,0.4723,0.5068,2499049.57
2020-07-02,0.5081,0.536,0.4867,0.512,1463414.95
2020-07-03,0.5119,0.5947,0.5049,0.5699,2748585.49
