Date,Open,High,Low,Close,Volume
2020-04-25,0.9992,1.0002,0.9982,0.9992,2550647.42
2020-04-26,0.9992,1.0,0.9982,0.9987,2008825.72
2020-04-27,0.9987,1.0004,0.9981,0.9984,2835125.49
2020-04-28,0.9984,1.0,0.9981,0.9982,3141970.01
2020-04-29,0.9984,0.9995,0.9963,0.9991,8840245.41
2020-04-30,0.9991,1.0006,0.9985,0.9992,8673439.91
2020-05-01,0.9994,1.0005,0.9983,0.9996,5299885.33
2020-05-02,0.9995,0.9999,0.9983,0.999,3250120.88
2020-05-03,0.9992,1.0002,0.9984,0.9989,4022247.61
2020-05-04,0.9989,1.0002,0.9982,0.9987,6281340.54
2020-05-05,0.9987,1.0003,0.9985,0.9995,4651927.94
2020-05-06,0.9996,0.9999,0.998,0.9992,5786391.08
2020-05-07,0.9992,0.9996,0.9975,0.9986,6261539.41
2020-05-08,0.9986,1.0,0.9965,0.9997,6493367.34
2020-05-09,0.9997,1.0014,0.9991,1.0003,6143114.74
2020-05-10,1.0,1.0026,0.9986,0.9996,10188712.89
2020-05-11,0.9995,1.0005,0.9967,0.9996,7972977.45
2020-05-12,0.9996,1.0002,0.999,0.9994,3701548.47
2020-05-13,0.9994,1.0,0.9982,0.9988,4160329.01
2020-05-14,0.9988,1.0014,0.998,0.9996,6609857.37
2020-05-15,0.9996,1.0018,0.9983,1.001,4506164.35
2020-05-16,1.001,1.0012,0.9997,1.0002,2545578.75
2020-05-17,1.0002,1.0009,0.9994,1.0001,3426482.0
2020-05-18,1.0003,1.0015,0.9995,1.0008,4295363.26
2020-05-19,1.0006,1.0015,0.9996,0.9997,4471416.34
2020-05-20,0.9997,1.0017,0.9992,1.0005,5146845.17
2020-05-21,1.0005,1.0023,0.9972,1.0011,4616812.65
2020-05-22,1.0009,1.0016,0.9996,1.0001,4236948.54
2020-05-23,0.9999,1.0003,0.9993,0.9999,2979498.18
2020-05-24,0.9997,1.0009,0.9994,1.0003,4065915.14
2020-05-25,1.0003,1.0013,0.9995,1.0004,3538086.96
2020-05-26,1.0004,1.001,0.9998,1.0001,3013224.85
2020-05-27,1.0001,1.0009,0.9995,1.0,3608419.51
2020-05-28,1.0,1.0007,0.9992,1.0,5110554.09
2020-05-29,1.0,1.0012,0.9996,1.0006,3192674.58
2020-05-30,1.0005,1.0011,0.9994,1.0,4678674.69
2020-05-31,1.0,1.0015,0.9991,1.0007,4212362.24
2020-06-01,1.0007,1.0012,0.9958,0.9995,6692903.08
2020-06-02,0.9996,1.0019,0.9986,1.0001,8397289.37
2020-06-03,1.0,1.0009,0.9995,0.9999,4253835.3
2020-06-04,1.0001,1.001,0.999,1.0,3709060.36
2020-06-05,0.9998,1.0009,0.9996,1.0005,4020808.23
2020-06-06,1.0005,1.0013,0.9999,1.0002,3447489.75
2020-06-07,1.0001,1.0009,0.9992,0.9994,3387960.12
2020-06-08,0.9995,1.0004,0.9993,0.9996,2479433.24
2020-06-09,0.9996,1.0003,0.9991,0.9995,3721697.02
2020-06-10,0.9995,1.0004,0.998,0.9995,3439259.15
2020-06-11,0.9995,1.003,0.9991,1.0014,5524450.58
2020-06-12,1.0014,1.0021,1.0,1.0003,2652061.55
2020-06-13,1.0003,1.0007,0.9997,0.9997,2431546.41
2020-06-14,1.0,1.0013,0.9998,1.001,2402767.11
2020-06-15,1.0007,1.0024,0.9995,0.9997,4593778.9
2020-06-16,0.9997,1.0009,0.9989,1.0002,4198568.62
2020-06-17,1.0002,1.0018,1.0,1.0012,3273424.98
2020-06-18,1.0012,1.0015,1.0003,1.0012,3858407.59
2020-06-19,1.0012,1.0019,1.0006,1.0015,4054961.4
2020-06-20,1.0015,1.0017,1.0004,1.0006,3315664.53
2020-06-21,1.0006,1.0031,1.0002,1.0014,5028758.73
2020-06-22,1.0013,1.0014,0.9996,0.9998,5486720.81
2020-06-23,1.0,1.0009,0.9997,1.0003,4569375.82
2020-06-24,1.0003,1.003,0.9999,1.0012,5924408.44
2020-06-25,1.0014,1.0024,1.0004,1.0011,4806218.58
2020-06-26,1.0011,1.0025,1.0004,1.001,3713930.09
2020-06-27,1.001,1.0019,1.0006,1.0011,3414037.87
2020-06-28,1.0011,1.0014,1.0003,1.0005,1868852.85
2020-06-29,1.0006,1.0014,1.0001,1.0003,3175450.36
2020-06-30,1.0005,1.001,1.0,1.0003,4109822.47
2020-07-01,1.0005,1.0007,0.9971,0.9997,2803012.52
2020-07-02,0.9997,1.0016,0.9994,0.9999,3866783.8
2020-07-03,0.9999,1.0005,0.9997,1.0001,2290766.52
2020-07-04,0.9999,1.0003,0.9996,0.9999,1863077.59
2020-07-05,0.9999,1.0008,0.9995,0.9996,2886771.28
2020-07-06,0.9999,1.0005,0.9996,1.0001,3767912.34
2020-07-07,0.9999,1.0005,0.9996,1.0002,3416348.32
2020-07-08,1.0002,1.0007,0.9994,0.9999,5607573.61
2020-07-09,0.9997,1.0007,0.9994,1.0002,4826370.49
2020-07-10,1.0,1.0012,0.9997,1.0002,5006590.98
2020-07-11,1.0002,1.0004,0.9999,0.9999,3332170.76
2020-07-12,1.0001,1.0005,0.9997,0.9997,3538418.29
2020-07-13,1.0,1.0009,0.9997,1.0006,8217451.91
2020-07-14,1.0006,1.0012,0.9999,1.0003,6394904.9
2020-07-15,1.0002,1.0016,0.9999,1.001,4896343.59
2020-07-16,1.0011,1.0018,1.0001,1.0007,5894919.29
2020-07-17,1.0007,1.0016,1.0,1.0005,4278917.37
2020-07-18,1.0003,1.0006,0.9995,0.9998,3834301.58
2020-07-19,0.9997,1.0004,0.9995,0.9997,3834006.11
2020-07-20,0.9998,1.0004,0.9994,0.9999,3634021.98
2020-07-21,0.9997,1.001,0.9987,0.9993,4610983.74
2020-07-22,0.9993,1.0005,0.9973,0.9982,3899444.33
2020-07-23,0.9984,0.9997,0.9977,0.9991,5760111.74
2020-07-24,0.9991,0.9997,0.9983,0.9985,5543371.46
2020-07-25,0.9987,0.9993,0.9966,0.9989,6664981.38
2020-07-26,0.9989,0.9997,0.9948,0.999,7707518.57
2020-07-27,0.9989,0.9997,0.9969,0.9987,16706645.14
2020-07-28,0.9984,0.9998,0.9822,0.9978,11267507.72
2020-07-29,0.998,1.0,0.9975,0.9991,6358203.52
2020-07-30,0.9993,1.0001,0.9973,0.9987,6801992.1
2020-07-31,0.9986,1.0,0.9977,0.9985,7656290.8
2020-08-01,0.9985,0.9996,0.99,0.9986,11165897.74
2020-08-02,0.9988,1.0019,0.9964,1.0002,12405196.26
2020-08-03,1.0001,1.0004,0.9986,0.999,7212074.51
2020-08-04,0.9991,1.0,0.999,0.9995,7232187.9
2020-08-05,0.9995,1.0003,0.9979,0.9989,8867590.01
2020-08-06,0.999,0.9997,0.9986,0.9992,7847679.78
2020-08-07,0.9993,1.0001,0.9986,0.999,8084347.49
2020-08-08,0.999,0.9998,0.9984,0.9996,4402717.7
2020-08-09,0.9996,0.9999,0.9985,0.9993,3713206.52
2020-08-10,0.9994,1.0,0.9976,0.9991,6354253.2
2020-08-11,0.9991,1.001,0.9983,1.0003,8389451.13
2020-08-12,1.0005,1.0009,0.9983,0.9997,7187576.87
2020-08-13,0.9996,1.0,0.9977,0.9986,10540349.36
2020-08-14,0.9987,0.9995,0.9978,0.9989,8247078.24
2020-08-15,0.9989,1.0,0.9984,0.9994,11889302.1
2020-08-16,0.9994,1.0002,0.9991,0.9996,8384889.1
2020-08-17,0.9996,1.0004,0.9975,0.9988,11794836.39
2020-08-18,0.9988,1.0001,0.9984,0.9995,12909198.55
2020-08-19,0.9995,1.0002,0.999,0.9997,11628684.7
2020-08-20,0.9997,1.0001,0.9989,0.9994,7819415.84
2020-08-21,0.9995,1.0007,0.9977,1.0003,12448239.83
2020-08-22,1.0003,1.0007,0.9995,0.9995,9014629.32
2020-08-23,0.9996,1.0001,0.9993,0.9996,7333298.9
