Date,Open,High,Low,Close,Volume
2020-09-30,10.0,10.239,9.3,10.116,31338.3
2020-10-01,10.02,11.465,8.87,10.315,45381.24
2020-10-02,10.181,10.181,7.968,9.107,94533.15
2020-10-03,8.995,9.99,8.814,9.03,29302.18
2020-10-04,9.075,9.194,7.883,8.331,32582.35
2020-10-05,8.434,8.577,6.0,6.625,131645.52
2020-10-06,6.623,6.653,4.42,4.624,325744.69
2020-10-07,4.619,5.408,3.997,5.32,696802.14
2020-10-08,5.325,6.942,4.486,6.507,586893.31
2020-10-09,6.5,7.483,5.822,6.566,348666.58
2020-10-10,6.621,7.608,6.127,6.17,190423.6
2020-10-11,6.17,6.812,5.8,6.453,181093.35
2020-10-12,6.429,7.45,6.195,6.852,281177.75
2020-10-13,6.852,7.05,6.155,6.395,195760.37
2020-10-14,6.45,6.757,4.768,5.237,729213.83
2020-10-15,5.186,5.389,4.674,5.076,585253.52
2020-10-16,5.113,6.173,4.382,4.927,793891.85
2020-10-17,5.0,5.209,4.769,5.036,159339.02
2020-10-18,5.003,5.612,4.978,5.6,139397.41
2020-10-19,5.6,5.6,5.17,5.335,107412.86
2020-10-20,5.356,5.377,4.253,4.397,386216.91
2020-10-21,4.443,4.95,4.4,4.544,206565.53
2020-10-22,4.572,5.123,4.548,4.822,154974.01
2020-10-23,4.85,5.057,4.663,4.803,149369.02
2020-10-24,4.799,4.946,4.552,4.579,124719.95
2020-10-25,4.55,4.651,3.936,4.11,168394.57
2020-10-26,4.117,4.394,3.444,3.949,188129.78
2020-10-27,3.931,4.463,3.931,4.195,394612.7
2020-10-28,4.159,4.318,3.551,3.807,232173.14
2020-10-29,3.764,4.023,3.2,3.323,164632.82
2020-10-30,3.319,3.4,2.655,2.988,532589.78
2020-10-31,2.976,2.976,2.659,2.719,183323.12
2020-11-01,2.686,3.05,2.614,2.899,260669.99
2020-11-02,2.914,3.043,2.621,2.689,208725.73
2020-11-03,2.662,2.725,2.295,2.455,147064.25
2020-11-04,2.467,2.5,1.977,2.085,492514.41
2020-11-05,2.086,2.94,1.795,2.478,1306242.74
2020-11-06,2.44,3.367,2.417,3.125,1230829.32
2020-11-07,3.124,4.14,2.68,2.79,2072518.56
2020-11-08,2.789,3.68,2.72,3.582,950786.63
2020-11-09,3.56,3.587,2.919,3.132,430936.42
2020-11-10,3.123,4.186,3.031,4.007,1019344.74
2020-11-11,4.0,4.316,3.407,3.553,600260.52
2020-11-12,3.5,4.118,3.278,3.621,503697.4
2020-11-13,3.625,6.038,3.557,5.676,715448.01
2020-11-14,5.654,6.208,4.78,5.632,1277478.63
2020-11-15,5.657,6.767,4.82,5.569,1059211.09
2020-11-16,5.528,5.926,4.33,4.594,992013.09
2020-11-17,4.585,5.23,4.173,4.953,1247083.99
2020-11-18,4.977,5.044,3.674,4.191,786955.01
2020-11-19,4.209,5.24,3.636,4.897,1133459.55
2020-11-20,4.884,5.68,4.736,5.142,791686.94
2020-11-21,5.138,5.355,4.532,5.09,841417.85
2020-11-22,5.09,5.355,4.211,4.745,391837.29
2020-11-23,4.728,5.928,4.625,5.743,868768.49
2020-11-24,5.737,6.432,5.089,5.376,1619908.15
2020-11-25,5.369,5.75,3.945,4.256,799097.43
2020-11-26,4.262,4.501,2.9,3.692,1088005.45
2020-11-27,3.685,3.94,3.05,3.312,818289.8
2020-11-28,3.306,3.569,3.156,3.438,1185722.31
2020-11-29,3.438,3.679,3.237,3.613,547837.71
2020-11-30,3.63,4.18,3.59,4.097,428611.58
2020-12-01,4.091,4.529,3.302,3.573,362142.03
2020-12-02,3.57,4.763,3.476,4.356,589447.93
2020-12-03,4.343,4.494,4.071,4.232,320529.58
2020-12-04,4.226,4.294,3.52,3.58,221203.16
2020-12-05,3.531,3.889,3.43,3.867,105422.86
2020-12-06,3.86,4.048,3.524,3.798,105827.11
2020-12-07,3.8,4.237,3.631,3.984,341933.07
2020-12-08,3.985,3.985,3.045,3.05,239906.21
2020-12-09,3.072,3.263,2.715,3.18,262077.07
2020-12-10,3.196,3.215,2.851,2.965,65024.66
2020-12-11,2.979,2.979,2.331,2.407,394025.48
2020-12-12,2.41,2.772,2.41,2.687,889725.89
2020-12-13,2.703,3.107,2.614,3.056,302267.69
2020-12-14,3.044,3.455,2.88,3.342,210314.02
2020-12-15,3.34,3.427,3.0,3.05,254848.16
2020-12-16,3.037,3.45,2.88,3.45,213049.84
2020-12-17,3.449,4.263,3.235,3.785,675753.36
2020-12-18,3.766,4.0,3.55,3.869,169508.86
2020-12-19,3.85,4.672,3.773,4.145,540844.8
2020-12-20,4.107,4.217,3.599,3.715,376817.48
2020-12-21,3.706,4.01,3.051,3.228,209985.89
2020-12-22,3.214,3.734,2.783,3.638,347036.99
2020-12-23,3.632,3.73,2.255,2.83,193858.67
2020-12-24,2.824,3.25,2.542,3.25,189481.51
2020-12-25,3.254,3.456,2.938,3.202,487162.34
2020-12-26,3.2,3.382,2.899,3.01,84902.38
2020-12-27,3.01,3.784,2.876,3.374,313763.11
2020-12-28,3.384,4.074,3.321,3.63,269448.6
2020-12-29,3.641,3.86,3.152,3.509,211122.03
2020-12-30,3.521,4.871,3.423,4.43,1306360.85
2020-12-31,4.441,6.42,3.991,6.181,1872737.68
2021-01-01,6.18,6.4,5.169,5.418,371579.98
2021-01-02,5.4,6.222,4.924,5.601,748295.52
2021-01-03,5.598,6.921,5.306,6.713,514579.05
2021-01-04,6.759,7.666,5.197,6.171,1307990.35
2021-01-05,6.19,8.204,5.72,7.701,409973.47
2021-01-06,7.709,8.246,7.278,7.954,319176.39
2021-01-07,7.954,8.85,6.267,7.095,303094.71
2021-01-08,7.126,7.289,4.849,5.781,429832.13
2021-01-09,5.84,7.121,5.185,6.715,340970.96
2021-01-10,6.739,7.676,4.771,5.962,419028.83
2021-01-11,5.953,5.978,2.531,3.6,1610106.71
2021-01-12,3.603,4.439,2.946,3.996,487461.14
2021-01-13,4.025,5.42,3.419,5.376,513235.28
2021-01-14,5.351,6.87,5.048,6.509,665276.42
2021-01-15,6.507,7.58,5.445,7.327,912241.52
2021-01-16,7.342,11.738,7.0,8.808,1204926.46
2021-01-17,8.808,10.721,7.853,9.414,684542.24
2021-01-18,9.427,12.45,8.342,10.531,535854.09
2021-01-19,10.577,11.98,8.347,8.655,330979.04
2021-01-20,8.626,9.5,5.872,9.014,763705.04
2021-01-21,9.039,9.148,4.853,5.473,933571.72
2021-01-22,5.478,7.16,4.2,6.536,753168.05
2021-01-23,6.529,8.076,6.19,7.603,710838.17
2021-01-24,7.668,13.65,7.302,12.916,1290597.58
2021-01-25,12.952,15.256,9.576,10.776,838823.18
2021-01-26,10.734,18.562,10.394,17.69,1206909.67
2021-01-27,17.574,21.643,15.598,19.217,775771.56
2021-01-28,19.206,21.393,16.155,17.701,528615.42
2021-01-29,17.701,22.229,17.643,21.888,429764.67
2021-01-30,21.802,50.0,20.293,33.096,418696.47
2021-01-31,33.107,36.363,25.701,26.657,337083.5
2021-02-01,26.597,36.376,23.479,35.073,410073.51
2021-02-02,35.028,35.513,25.51,28.969,210185.8
2021-02-03,28.941,34.299,27.847,31.174,263913.23
2021-02-04,31.146,38.0,28.63,32.013,331766.02
2021-02-05,32.086,41.193,29.82,35.561,262206.37
2021-02-06,35.606,37.829,27.99,28.1,231090.4
2021-02-07,28.091,29.594,20.659,25.673,297479.82
2021-02-08,25.629,30.616,23.949,27.612,181410.35
2021-02-09,27.623,29.464,26.057,27.695,135255.12
2021-02-10,27.68,37.113,27.628,31.619,310365.63
2021-02-11,31.62,35.661,29.862,33.962,136287.29
2021-02-12,33.86,42.0,33.125,36.783,344341.95
2021-02-13,36.759,40.319,28.938,31.382,303233.87
2021-02-14,31.361,34.843,25.808,26.464,151978.2
2021-02-15,26.401,27.239,14.056,21.092,719867.17
2021-02-16,21.123,23.949,19.623,22.104,371940.15
2021-02-17,22.12,25.048,19.149,24.286,170599.84
2021-02-18,24.331,25.986,22.042,23.335,160199.19
2021-02-19,23.29,23.963,18.9,20.623,244165.45
2021-02-20,20.66,55.857,18.26,42.354,1029845.33
2021-02-21,42.599,52.537,39.1,42.475,362565.43
2021-02-22,42.475,43.44,15.8,37.317,705419.11
2021-02-23,37.232,37.5,10.43,22.25,1793311.41
2021-02-24,22.203,26.839,19.095,22.836,638037.65
2021-02-25,22.728,26.7,18.388,19.222,527679.83
2021-02-26,19.114,21.912,14.488,18.278,586293.57
2021-02-27,18.201,21.388,16.092,18.767,513821.69
2021-02-28,18.836,19.999,12.4,15.257,1079675.37
2021-03-01,15.326,21.53,15.021,21.53,729637.25
