Date,Open,High,Low,Close,Volume
2020-04-25,0.9992,0.9999,0.9984,0.9991,8554610.27
2020-04-26,0.9991,1.0004,0.9982,0.9986,7784113.31
2020-04-27,0.9986,0.9992,0.9977,0.998,8364726.57
2020-04-28,0.9981,0.9994,0.998,0.998,7792248.15
2020-04-29,0.998,0.9993,0.9968,0.9991,20911048.29
2020-04-30,0.9991,1.0007,0.9974,0.9994,20425400.46
2020-05-01,0.9994,1.0,0.998,0.9993,11075159.9
2020-05-02,0.9991,0.9998,0.9982,0.9988,10795231.26
2020-05-03,0.999,1.0,0.9986,0.999,12531100.04
2020-05-04,0.9989,1.0,0.9981,0.9984,11644919.12
2020-05-05,0.9986,0.9998,0.9983,0.9992,10093588.94
2020-05-06,0.9994,0.9996,0.9976,0.999,13392451.55
2020-05-07,0.9989,0.9999,0.9976,0.9983,13518279.3
2020-05-08,0.9983,0.9995,0.9979,0.9994,17189763.4
2020-05-09,0.9992,1.0004,0.9987,1.0,12520864.55
2020-05-10,1.0,1.003,0.9981,0.9995,20914792.68
2020-05-11,0.9995,1.0016,0.998,0.9991,13300421.63
2020-05-12,0.9992,1.003,0.9972,0.9993,9447241.75
2020-05-13,0.9992,1.0,0.9982,0.9986,10925885.85
2020-05-14,0.9988,1.0001,0.9982,0.9996,14040840.7
2020-05-15,0.9996,1.0017,0.9993,1.0009,9074878.17
2020-05-16,1.0009,1.0011,0.9997,1.0002,6931548.92
2020-05-17,1.0002,1.001,0.9994,1.0004,6870523.11
2020-05-18,1.0005,1.003,0.9994,1.0005,10708615.35
2020-05-19,1.0005,1.0044,0.9989,0.9997,10655053.67
2020-05-20,0.9997,1.003,0.9991,1.0004,9607222.47
2020-05-21,1.0005,1.004,1.0002,1.0009,13142365.42
2020-05-22,1.0008,1.0018,0.9996,1.0,10266091.32
2020-05-23,1.0,1.0007,0.9989,0.9999,7375871.49
2020-05-24,0.9998,1.0014,0.9992,1.0005,7021503.34
2020-05-25,1.0004,1.0015,0.9995,1.0002,7695770.76
2020-05-26,1.0002,1.001,0.9996,1.0003,7299825.11
2020-05-27,1.0003,1.0012,0.9992,1.0001,10625188.73
2020-05-28,1.0001,1.0014,0.998,0.9998,11769095.08
2020-05-29,0.9997,1.0012,0.9996,1.0003,7211268.3
2020-05-30,1.0004,1.0008,0.9984,0.9998,15805536.81
2020-05-31,0.9998,1.0017,0.9994,1.0007,8067729.29
2020-06-01,1.0007,1.003,0.989,0.9992,14552967.37
2020-06-02,0.9991,1.0025,0.9981,1.0,23132723.58
2020-06-03,1.0,1.0007,0.9995,1.0001,8913650.12
2020-06-04,0.9999,1.0011,0.9994,1.0001,9894049.12
2020-06-05,1.0001,1.0009,0.9997,1.0007,7487958.8
2020-06-06,1.0007,1.0016,0.9997,1.0001,5989606.17
2020-06-07,1.0002,1.001,0.9986,0.9995,9953941.17
2020-06-08,0.9994,1.0016,0.9986,0.9995,8651475.56
2020-06-09,0.9995,1.0005,0.9987,0.9995,9287252.33
2020-06-10,0.9993,1.0003,0.9979,0.9994,10387806.52
