Date,Open,High,Low,Close,Volume
2020-04-25,0.9969,0.998,0.9923,0.9965,25049.08
2020-04-26,0.9965,0.9982,0.995,0.9955,18397.7
2020-04-27,0.9957,0.9975,0.9922,0.9922,7811.6
2020-04-28,0.9922,0.9954,0.9851,0.9891,23602.88
2020-04-29,0.9891,0.9952,0.9876,0.9876,24423.71
2020-04-30,0.9919,0.9946,0.9879,0.9939,32769.13
2020-05-01,0.9939,0.9944,0.9899,0.9899,25209.17
2020-05-02,0.9899,0.992,0.9875,0.9911,28204.99
2020-05-03,0.9916,0.9934,0.9916,0.9933,41058.4
2020-05-04,0.9933,0.9936,0.99,0.9902,37619.67
2020-05-05,0.9904,0.9929,0.99,0.9901,1687.66
2020-05-06,0.9904,0.9935,0.9889,0.9934,88240.79
2020-05-07,0.9934,0.9939,0.9934,0.9935,30608.03
2020-05-08,0.9935,0.9939,0.9935,0.9938,11446.93
2020-05-09,0.9938,0.998,0.9938,0.9977,11230.27
2020-05-10,0.9955,0.9977,0.9857,0.988,11532.42
2020-05-11,0.9897,0.9962,0.9897,0.9962,5706.76
2020-05-12,0.9962,0.9971,0.9939,0.9971,5182.73
2020-05-13,0.9971,0.9982,0.9958,0.9981,2907.29
2020-05-14,0.9978,0.9978,0.9959,0.9977,5002.31
2020-05-15,0.9969,0.9985,0.9967,0.9985,2639.65
2020-05-16,0.9985,0.9998,0.9985,0.9995,2178.91
2020-05-17,0.9995,0.9999,0.9973,0.9973,1498.21
2020-05-18,0.9973,0.9999,0.9973,0.9973,4962.3
2020-05-19,0.9996,0.9999,0.9943,0.9983,3939.66
2020-05-20,0.997,0.9983,0.9943,0.995,6517.24
2020-05-21,0.9972,0.9999,0.9943,0.9999,7326.98
2020-05-22,0.9997,0.9999,0.9975,0.9999,1392.26
2020-05-23,0.9999,1.0,0.9976,0.9999,10391.82
2020-05-24,0.9978,1.0,0.9977,1.0,2352.06
2020-05-25,0.9999,1.0,0.9976,0.9981,5799.35
2020-05-26,0.9977,0.9999,0.9977,0.9977,2843.41
2020-05-27,0.9998,1.0,0.9973,0.9973,7430.45
2020-05-28,0.9996,1.0001,0.9973,0.9974,5223.35
2020-05-29,0.9974,1.0001,0.9974,1.0001,2450.01
2020-05-30,0.9976,1.0007,0.9976,1.0007,2443.32
2020-05-31,1.0007,1.0007,0.9974,0.9974,1980.25
2020-06-01,0.9975,0.9985,0.995,0.995,3246.11
2020-06-02,0.9951,1.0001,0.9951,0.9983,6463.49
2020-06-03,0.9982,0.9983,0.998,0.998,1613.08
2020-06-04,0.9983,0.9999,0.998,0.9999,910.62
2020-06-05,0.998,0.9999,0.998,0.9999,968.15
2020-06-06,0.9999,0.9999,0.998,0.998,1205.7
2020-06-07,0.9999,0.9999,0.9953,0.9966,4746.04
2020-06-08,0.9966,0.9996,0.9966,0.9996,1769.72
2020-06-09,0.9988,0.9996,0.9982,0.9982,745.41
2020-06-10,0.9982,0.9996,0.9982,0.9995,917.11
2020-06-11,0.9995,0.9996,0.9953,0.9996,2235.59
2020-06-12,0.9996,1.0002,0.9954,1.0002,2432.36
2020-06-13,1.0002,1.0005,0.9979,0.9979,4805.16
2020-06-14,0.9979,1.001,0.9959,0.9992,3371.94
2020-06-15,0.9967,0.9995,0.9967,0.9995,846.11
2020-06-16,0.9995,0.9995,0.9967,0.9995,1307.0
2020-06-17,0.9995,1.001,0.9951,0.9951,9401.52
2020-06-18,0.9985,1.0006,0.9973,0.9973,1993.84
2020-06-19,0.9973,1.0005,0.9973,1.0004,385.33
2020-06-20,1.0004,1.001,0.9974,1.0005,2441.33
2020-06-21,0.9998,1.001,0.9981,1.0009,1811.79
2020-06-22,0.9981,1.0009,0.9978,0.9979,5747.72
2020-06-23,1.0008,1.0008,0.9978,0.998,1410.46
2020-06-24,0.998,0.998,0.9963,0.9968,3817.02
